,Accepted_Name,knapsack_snippet,Source
0,Catharanthus roseus,"""['Ajmalicine', 'Gallic acid', 'Quercetin']""",KNApSAcK
1,Nerium oleander,"""['Quercetin']""",KNApSAcK
2,Ochrosia moorei,"""['Desoxycordifoline']""",KNApSAcK
3,Rauvolfia serpentina,"""['Ajmalicine']""",KNApSAcK
4,Rauvolfia verticillata,"""['Robinin']""",KNApSAcK
5,Rhazya stricta,"""['Robinin']""",KNApSAcK
6,Tabernaemontana arborea,"""['Voacamine']""",KNApSAcK
7,Tabernaemontana oppositifolia,"""['Voacamine']""",KNApSAcK
8,Tabernaemontana pachysiphon,"""['Voacamine']""",KNApSAcK
9,Voacanga africana,"""['Voacamine']""",KNApSAcK
10,Voacanga globosa,"""['Voacamine']""",KNApSAcK
11,Voacanga thouarsii,"""['Voacamine']""",KNApSAcK
12,Adina cordifolia,"""['Cadambine']""",KNApSAcK
13,Chimarrhis turbinata,"""['Desoxycordifoline']""",KNApSAcK
14,Coelospermum reticulatum,"""['Lucidin']""",KNApSAcK
15,Coffea arabica,"""['Caffeic acid', 'Acetic acid']""",KNApSAcK
16,Coffea canephora,"""['Acetic acid']""",KNApSAcK
17,Coprosma propinqua,"""['Scopoletin']""",KNApSAcK
18,Coprosma robusta,"""['Scopoletin']""",KNApSAcK
19,Coprosma rotundifolia,"""['Lucidin', 'Scopoletin']""",KNApSAcK
20,Coprosma tenuicaulis,"""['Scopoletin']""",KNApSAcK
21,Coussarea macrophylla,"""['Scopoletin']""",KNApSAcK
22,Cruciata taurica,"""['Quercetin', 'Scopoletin']""",KNApSAcK
23,Mitragyna inermis,"""['Quercetin']""",KNApSAcK
24,Mitragyna rotundifolia,"""['Caffeic acid']""",KNApSAcK
25,Mitragyna speciosa,"""['Quercetin', 'Caffeic acid']""",KNApSAcK
26,Morinda citrifolia,"""['Lucidin', 'Scopoletin', 'Alizarin']""",KNApSAcK
27,Morinda morindoides,"""['Quercetin']""",KNApSAcK
28,Nauclea diderrichii,"""['Desoxycordifoline', 'Desoxycordifolinic acid']""",KNApSAcK
29,Nauclea latifolia,"""['17-Epinaucleidinal', '18,19-Dihydroangustine']""",KNApSAcK
30,Rubia cordifolia,"""['Alizarin']""",KNApSAcK
31,Rubia tinctorum,"""['Lucidin', 'Alizarin']""",KNApSAcK
32,Rubia wallichiana,"""['Lucidin', 'Scopoletin']""",KNApSAcK
33,Uncaria africana,"""['Ajmalicine']""",KNApSAcK
34,Uncaria elliptica,"""['Ajmalicine']""",KNApSAcK
35,Uncaria gambir,"""['Gallic acid']""",KNApSAcK
36,Uncaria orientalis,"""['Ajmalicine']""",KNApSAcK
37,Uncaria rhynchophylla,"""['Cadambine', '3alpha-Dihydrocadambine', 'Angustidine']""",KNApSAcK
38,Uncaria sinensis,"""['Caffeic acid', 'Scopoletin', '3alpha-Dihydrocadambine']""",KNApSAcK
