fullname,CHELSA_bio1_1981.2010_V.2.1,CHELSA_bio12_1981.2010_V.2.1,nitrogen_0.5cm_mean,phh2o_0.5cm_mean,fullname,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
Aganosma breviloba var. breviloba,18.75,1111.55,342.0,57.0,Aganosma breviloba var. breviloba,Aganosma breviloba,Aganosma breviloba,76383-1,76383-1,Species
Aganosma cymosa,24.15,1375.05,228.0,56.5,Aganosma cymosa,Aganosma cymosa,Aganosma cymosa,76388-1,76388-1,Species
Aganosma cymosa var. cymosa,24.45,1737.9,362.0,56.0,Aganosma cymosa var. cymosa,Aganosma cymosa var. cymosa,Aganosma cymosa,76388-1,77167439-1,Variety
Aganosma cymosa var. elegans,26.45,1424.7,473.0,58.0,Aganosma cymosa var. elegans,Aganosma cymosa var. elegans,Aganosma cymosa,76388-1,77189723-1,Variety
Aganosma cymosa var. glabra,24.85,3134.9,178.0,56.0,Aganosma cymosa var. glabra,Aganosma cymosa,Aganosma cymosa,76388-1,76388-1,Species
Aganosma heynei,25.7500000000001,1555.7,161.0,63.0,Aganosma heynei,Aganosma heynei,Aganosma heynei,77125846-1,77125846-1,Species
Aganosma schlechteriana,18.05,1213.7,323.0,58.0,Aganosma schlechteriana,Aganosma schlechteriana,Aganosma schlechteriana,76410-1,76410-1,Species
Aganosma siamensis,21.7,1407.25,231.5,56.5,Aganosma siamensis,Aganosma siamensis,Aganosma siamensis,76411-1,76411-1,Species
Aganosma wallichii,26.1,2789.5,393.0,52.0,Aganosma wallichii,Aganosma wallichii,Aganosma wallichii,76413-1,76413-1,Species
Agathisanthemum bojeri,22.95,1087.5,183.5,59.0,Agathisanthemum bojeri,Agathisanthemum bojeri,Agathisanthemum bojeri,742948-1,742948-1,Species
Agathisanthemum bojeri subsp. angolense,23.65,1070.7,142.0,63.0,Agathisanthemum bojeri subsp. angolense,Agathisanthemum bojeri subsp. angolense,Agathisanthemum bojeri,742948-1,955218-1,Subspecies
Agathisanthemum bojeri subsp. australe,19.95,581.3,114.5,64.0,Agathisanthemum bojeri subsp. australe,Agathisanthemum bojeri,Agathisanthemum bojeri,742948-1,742948-1,Species
Agathisanthemum bojeri subsp. bojeri,20.65,814.7,164.0,61.0,Agathisanthemum bojeri subsp. bojeri,Agathisanthemum bojeri subsp. bojeri,Agathisanthemum bojeri,742948-1,77167442-1,Subspecies
Agathisanthemum bojeri var. bojeri,21.75,1133.8,225.0,58.5,Agathisanthemum bojeri var. bojeri,Agathisanthemum bojeri subsp. bojeri,Agathisanthemum bojeri,742948-1,77167442-1,Subspecies
Agathisanthemum chlorophyllum,18.200000000000003,896.3,259.0,58.0,Agathisanthemum chlorophyllum,Agathisanthemum chlorophyllum,Agathisanthemum chlorophyllum,742949-1,742949-1,Species
Agathisanthemum chlorophyllum var. chlorophyllum,18.60000000000005,853.5,287.0,59.5,Agathisanthemum chlorophyllum var. chlorophyllum,Agathisanthemum chlorophyllum,Agathisanthemum chlorophyllum,742949-1,742949-1,Species
Agathisanthemum globosum,21.2500000000001,1252.75,167.0,55.0,Agathisanthemum globosum,Agathisanthemum globosum,Agathisanthemum globosum,742950-1,742950-1,Species
Agouticarpa curviflora,24.85,2517.5,383.0,50.0,Agouticarpa curviflora,Agouticarpa curviflora,Agouticarpa curviflora,1011811-2,1011811-2,Species
Agouticarpa grandistipula,16.35,3173.0,489.0,51.0,Agouticarpa grandistipula,Agouticarpa grandistipula,Agouticarpa grandistipula,327794-2,327794-2,Species
Agouticarpa hirsuta,17.85,3602.9,736.0,49.0,Agouticarpa hirsuta,Agouticarpa hirsuta,Agouticarpa hirsuta,327795-2,327795-2,Species
Agouticarpa isernii,24.35,3211.4,466.0,48.0,Agouticarpa isernii,Agouticarpa isernii,Agouticarpa isernii,1095647-2,1095647-2,Species
Agouticarpa spinosa,15.15,1968.0,754.0,53.0,Agouticarpa spinosa,Agouticarpa spinosa,Agouticarpa spinosa,77095110-1,77095110-1,Species
Agouticarpa velutina,24.85,3062.8,482.0,48.0,Agouticarpa velutina,Agouticarpa velutina,Agouticarpa velutina,327796-2,327796-2,Species
Agouticarpa williamsii,23.35,3612.4,515.0,52.0,Agouticarpa williamsii,Agouticarpa williamsii,Agouticarpa williamsii,1182589-2,1182589-2,Species
Aidia abeidii,24.70000000000005,1249.0,264.5,57.0,Aidia abeidii,Aidia abeidii,Aidia abeidii,60455146-2,60455146-2,Species
Aidia acuminata,25.0,2994.5,421.0,52.0,Aidia acuminata,Aidia acuminata,Aidia acuminata,77176661-1,77176661-1,Species
Aidia acutipetala,26.549999999999997,2822.3,423.0,50.0,Aidia acutipetala,Aidia acutipetala,Aidia acutipetala,989529-1,989529-1,Species
Aidia auriculata,26.45,2597.4,450.0,51.0,Aidia auriculata,Aidia auriculata,Aidia auriculata,989530-1,989530-1,Species
Aidia auriculata var. auriculata,24.2500000000001,2341.7,325.0,50.0,Aidia auriculata var. auriculata,Aidia auriculata var. auriculata,Aidia auriculata,989530-1,77167506-1,Variety
Aidia bakeri,23.85000000000005,3310.95,546.5,53.5,Aidia bakeri,Aidia bakeri,Aidia bakeri,989533-1,989533-1,Species
Aidia beccariana,26.35,3639.5,461.0,49.0,Aidia beccariana,Aidia beccariana,Aidia beccariana,989526-1,989526-1,Species
Aidia borneensis,25.80000000000005,2913.15,453.0,51.0,Aidia borneensis,Aidia borneensis,Aidia borneensis,989513-1,989513-1,Species
Aidia bracteata,19.1,3451.05,585.0,48.0,Aidia bracteata,Aidia bracteata,Aidia bracteata,989539-1,989539-1,Species
Aidia canthioides,22.35,2574.1,419.0,52.0,Aidia canthioides,Aidia canthioides,Aidia canthioides,742956-1,742956-1,Species
Aidia chantonea,24.90000000000005,2451.25,252.5,54.0,Aidia chantonea,Aidia chantonea,Aidia chantonea,931123-1,931123-1,Species
Aidia cochinchinensis,19.70000000000005,1760.55,332.0,57.0,Aidia cochinchinensis,Aidia cochinchinensis,Aidia cochinchinensis,742957-1,742957-1,Species
Aidia congesta,19.85,1847.4,386.0,52.0,Aidia congesta,Aidia congesta,Aidia congesta,989516-1,989516-1,Species
Aidia corymbosa,25.450000000000003,3002.3,467.0,52.0,Aidia corymbosa,Aidia corymbosa,Aidia corymbosa,913621-1,913621-1,Species
Aidia cowleyi,23.55,1937.6999999999998,176.5,54.0,Aidia cowleyi,Aidia cowleyi,Aidia cowleyi,20001138-1,20001138-1,Species
Aidia crassifolia,19.85,1856.7,347.0,55.0,Aidia crassifolia,Aidia crassifolia,Aidia crassifolia,60455147-2,60455147-2,Species
Aidia densiflora,26.1,2813.8,362.0,50.0,Aidia densiflora,Aidia densiflora,Aidia densiflora,742958-1,742958-1,Species
Aidia dilleniacea,26.15,3718.7,460.0,49.5,Aidia dilleniacea,Aidia dilleniacea,Aidia dilleniacea,989532-1,989532-1,Species
Aidia foveata,24.85,4256.2,477.0,50.0,Aidia foveata,Aidia foveata,Aidia foveata,989534-1,989534-1,Species
Aidia gardneri,24.70000000000005,1692.65,503.0,53.0,Aidia gardneri,Aidia gardneri,Aidia gardneri,742959-1,742959-1,Species
Aidia genipiflora,25.2500000000001,1851.4,329.0,53.0,Aidia genipiflora,Aidia genipiflora,Aidia genipiflora,742960-1,742960-1,Species
Aidia glabra,22.7500000000001,3897.3,563.0,54.0,Aidia glabra,Aidia glabra,Aidia glabra,989520-1,989520-1,Species
Aidia glabra var. glabra,26.65,2233.1,,,Aidia glabra var. glabra,Aidia glabra var. glabra,Aidia glabra,989520-1,77167498-1,Variety
Aidia glabra var. rubiginosa,22.85000000000005,3890.0,570.0,54.0,Aidia glabra var. rubiginosa,Aidia glabra var. rubiginosa,Aidia glabra,989520-1,989521-1,Variety
Aidia gyropetala,19.2500000000001,1843.9,338.0,47.0,Aidia gyropetala,Aidia gyropetala,Aidia gyropetala,77150140-1,77150140-1,Species
Aidia halleri,25.2,4345.25,500.0,47.5,Aidia halleri,Aidia halleri,Aidia halleri,989536-1,989536-1,Species
Aidia henryi,17.950000000000003,2376.4,354.0,55.5,Aidia henryi,Aidia henryi,Aidia henryi,742961-1,742961-1,Species
Aidia heterophylla,18.85,3835.5,407.0,49.0,Aidia heterophylla,Aidia heterophylla,Aidia heterophylla,989540-1,989540-1,Species
Aidia impressinervis,25.65,4256.2,501.0,50.0,Aidia impressinervis,Aidia impressinervis,Aidia impressinervis,989535-1,989535-1,Species
Aidia jambosoides,26.35,4071.5,493.0,49.0,Aidia jambosoides,Aidia jambosoides,Aidia jambosoides,989527-1,989527-1,Species
Aidia kinabaluensis,19.35000000000005,3036.75,533.0,53.0,Aidia kinabaluensis,Aidia kinabaluensis,Aidia kinabaluensis,989545-1,989545-1,Species
Aidia lancifolia,25.6,3899.35,477.0,49.0,Aidia lancifolia,Aidia lancifolia,Aidia lancifolia,903488-1,903488-1,Species
Aidia longiflora,26.45,3978.7,573.0,51.0,Aidia longiflora,Aidia longiflora,Aidia longiflora,989528-1,989528-1,Species
Aidia magnifolia,25.35000000000005,2341.35,464.5,50.5,Aidia magnifolia,Aidia magnifolia,Aidia magnifolia,989543-1,989543-1,Species
Aidia micrantha,23.95,1811.2,285.0,49.0,Aidia micrantha,Aidia micrantha,Aidia micrantha,742963-1,742963-1,Species
Aidia micrantha var. acarophyta,25.0,1771.6999999999998,233.0,51.0,Aidia micrantha var. acarophyta,Aidia micrantha var. acarophyta,Aidia micrantha,742963-1,77188590-1,Variety
Aidia micrantha var. congolana,24.35,1853.9,296.0,49.0,Aidia micrantha var. congolana,Aidia micrantha var. congolana,Aidia micrantha,742963-1,77188581-1,Variety
Aidia micrantha var. micrantha,24.2500000000001,1739.3,253.0,50.0,Aidia micrantha var. micrantha,Aidia micrantha var. micrantha,Aidia micrantha,742963-1,77167550-1,Variety
Aidia micrantha var. msonju,20.85,1363.7,256.0,54.0,Aidia micrantha var. msonju,Aidia micrantha var. msonju,Aidia micrantha,742963-1,77188587-1,Variety
Aidia micrantha var. zenkeri,23.85,1821.5,271.0,50.0,Aidia micrantha var. zenkeri,Aidia micrantha var. zenkeri,Aidia micrantha,742963-1,77188572-1,Variety
Aidia moluccana,25.05000000000005,2824.95,286.0,51.0,Aidia moluccana,Aidia moluccana,Aidia moluccana,989542-1,989542-1,Species
Aidia ochroleuca,23.7500000000001,1803.0,259.0,49.0,Aidia ochroleuca,Aidia ochroleuca,Aidia ochroleuca,742964-1,742964-1,Species
Aidia oxyodonta,22.65,3068.4,457.5,56.0,Aidia oxyodonta,Aidia oxyodonta,Aidia oxyodonta,742965-1,742965-1,Species
Aidia paiei,26.45,3141.75,438.0,51.0,Aidia paiei,Aidia paiei,Aidia paiei,989544-1,989544-1,Species
Aidia parvifolia,26.85,2667.1,382.5,53.5,Aidia parvifolia,Aidia parvifolia,Aidia parvifolia,913623-1,913623-1,Species
Aidia polystachya,26.15,3260.8,495.0,52.0,Aidia polystachya,Aidia polystachya,Aidia polystachya,989522-1,989522-1,Species
Aidia pulcherrima,23.60000000000005,3013.95,406.5,52.5,Aidia pulcherrima,Aidia pulcherrima,Aidia pulcherrima,989541-1,989541-1,Species
Aidia pycnantha,22.4,1980.25,314.5,55.0,Aidia pycnantha,Aidia pycnantha,Aidia pycnantha,911694-1,911694-1,Species
Aidia quintasii,24.7500000000001,1624.3,451.0,53.0,Aidia quintasii,Aidia quintasii,Aidia quintasii,742967-1,742967-1,Species
Aidia racemosa,26.45,1509.35,175.0,59.0,Aidia racemosa,Aidia racemosa,Aidia racemosa,911695-1,911695-1,Species
Aidia rhacodosepala,23.55,3828.7,335.0,50.0,Aidia rhacodosepala,Aidia rhacodosepala,Aidia rhacodosepala,742968-1,742968-1,Species
Aidia rubens,24.35,3101.6,311.0,49.0,Aidia rubens,Aidia rubens,Aidia rubens,742969-1,742969-1,Species
Aidia salicifolia,22.45,1869.9,181.0,61.0,Aidia salicifolia,Aidia salicifolia,Aidia salicifolia,742971-1,742971-1,Species
Aidia solomonensis,26.7500000000001,3877.2,504.0,54.0,Aidia solomonensis,Aidia solomonensis,Aidia solomonensis,989523-1,989523-1,Species
Aidia tomentosa,23.95,4479.2,484.0,47.0,Aidia tomentosa,Aidia tomentosa,Aidia tomentosa,989537-1,989537-1,Species
Aidia tomentosa var. sundaica,22.7500000000001,1979.5,421.0,50.0,Aidia tomentosa var. sundaica,Aidia tomentosa var. sundaica,Aidia tomentosa,989537-1,989538-1,Variety
Aidia vieillardii,20.85,2080.1,356.0,53.0,Aidia vieillardii,Aidia vieillardii,Aidia vieillardii,989515-1,989515-1,Species
Aidia vitiensis,24.7500000000001,3115.4,467.0,52.0,Aidia vitiensis,Aidia vitiensis,Aidia vitiensis,20001139-1,20001139-1,Species
Aidia wattii,24.55,1506.3,349.0,52.0,Aidia wattii,Aidia wattii,Aidia wattii,742975-1,742975-1,Species
Aidia waugia,19.85,1881.0,467.0,53.0,Aidia waugia,Aidia waugia,Aidia waugia,989519-1,989519-1,Species
Aidia yunnanensis,23.75,1390.5,306.0,57.0,Aidia yunnanensis,Aidia yunnanensis,Aidia yunnanensis,742976-1,742976-1,Species
Aidia zippeliana,25.7500000000001,3286.4,453.0,52.5,Aidia zippeliana,Aidia zippeliana,Aidia zippeliana,989524-1,989524-1,Species
Aidiopsis orophila,23.05,3007.6,444.0,48.0,Aidiopsis orophila,Aidiopsis orophila,Aidiopsis orophila,989548-1,989548-1,Species
Airosperma grandifolia,24.05000000000005,3209.3,410.0,51.5,Airosperma grandifolia,Airosperma grandifolia,Airosperma grandifolia,742978-1,742978-1,Species
Airosperma psychotrioides,24.35,3346.6499999999996,448.0,54.0,Airosperma psychotrioides,Airosperma psychotrioides,Airosperma psychotrioides,742979-1,742979-1,Species
Airosperma ramuensis,19.35,4783.1,617.0,55.0,Airosperma ramuensis,Airosperma ramuensis,Airosperma ramuensis,742980-1,742980-1,Species
Airosperma trichotomum,20.6,2804.55,497.0,51.0,Airosperma trichotomum,Airosperma trichotomum,Airosperma trichotomum,742981-1,742981-1,Species
Alafia alba,23.70000000000005,2550.9,305.0,53.0,Alafia alba,Alafia alba,Alafia alba,76416-1,76416-1,Species
Alafia barteri,26.35,1265.6999999999998,273.5,58.0,Alafia barteri,Alafia barteri,Alafia barteri,76417-1,76417-1,Species
Alafia benthamii,26.65,1230.3,247.0,57.0,Alafia benthamii,Alafia benthamii,Alafia benthamii,76418-1,76418-1,Species
Alafia calophylla,23.70000000000005,1873.2,284.0,55.0,Alafia calophylla,Alafia calophylla,Alafia calophylla,76421-1,76421-1,Species
Alafia caudata,24.55,1583.4,237.0,49.0,Alafia caudata,Alafia caudata,Alafia caudata,76422-1,76422-1,Species
Alafia caudata subsp. latiloba,25.45,1031.3,137.5,62.0,Alafia caudata subsp. latiloba,Alafia caudata,Alafia caudata,76422-1,76422-1,Species
Alafia erythrophthalma,23.15000000000005,2225.95,297.0,49.5,Alafia erythrophthalma,Alafia erythrophthalma,Alafia erythrophthalma,991376-1,991376-1,Species
Alafia falcata,24.80000000000005,2131.0,236.0,47.0,Alafia falcata,Alafia falcata,Alafia falcata,991377-1,991377-1,Species
Alafia fuscata,25.1,1592.35,211.0,59.5,Alafia fuscata,Alafia fuscata,Alafia fuscata,76427-1,76427-1,Species
Alafia landolphioides,26.45000000000005,1141.9,162.5,61.5,Alafia landolphioides,Alafia landolphioides,Alafia landolphioides,77176689-1,77176689-1,Species
Alafia lucida,24.20000000000005,1857.4,301.0,50.5,Alafia lucida,Alafia lucida,Alafia lucida,76437-1,76437-1,Species
Alafia microstylis,24.049999999999997,1299.35,248.0,57.0,Alafia microstylis,Alafia microstylis,Alafia microstylis,76441-1,76441-1,Species
Alafia multiflora,25.35,1726.3,262.0,54.0,Alafia multiflora,Alafia multiflora,Alafia multiflora,76446-1,76446-1,Species
Alafia nigrescens,23.95,2763.6499999999996,246.0,56.0,Alafia nigrescens,Alafia nigrescens,Alafia nigrescens,76447-1,76447-1,Species
Alafia orientalis,20.450000000000003,1758.2,352.0,53.0,Alafia orientalis,Alafia orientalis,Alafia orientalis,76448-1,76448-1,Species
Alafia parciflora,25.2500000000001,2695.9,379.0,50.0,Alafia parciflora,Alafia parciflora,Alafia parciflora,76449-1,76449-1,Species
Alafia pauciflora,25.05,1637.65,232.5,61.0,Alafia pauciflora,Alafia pauciflora,Alafia pauciflora,76451-1,76451-1,Species
Alafia perrieri,23.25,2091.95,259.0,58.0,Alafia perrieri,Alafia perrieri,Alafia perrieri,76452-1,76452-1,Species
Alafia perrieri var. perrieri,23.45,2684.9,342.0,57.0,Alafia perrieri var. perrieri,Alafia perrieri var. perrieri,Alafia perrieri,76452-1,77167516-1,Variety
