fullname,CHELSA_bio1_1981.2010_V.2.1,CHELSA_bio12_1981.2010_V.2.1,nitrogen_0.5cm_mean,phh2o_0.5cm_mean,fullname,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
Acokanthera laevigata,14.8,1499.8,154.0,53.0,Acokanthera laevigata,Acokanthera laevigata,Acokanthera laevigata,899079-1,899079-1,Species
Acokanthera oblongifolia,20.55000000000005,932.15,255.0,59.5,Acokanthera oblongifolia,Acokanthera oblongifolia,Acokanthera oblongifolia,77164695-1,77164695-1,Species
Acokanthera oppositifolia,17.6,729.7,216.5,60.5,Acokanthera oppositifolia,Acokanthera oppositifolia,Acokanthera oppositifolia,76349-1,76349-1,Species
Acokanthera rotundata,19.15,803.0,192.0,59.0,Acokanthera rotundata,Acokanthera rotundata,Acokanthera rotundata,909903-1,909903-1,Species
Acokanthera rotundata var. rotundata,20.35,869.2,194.0,58.0,Acokanthera rotundata var. rotundata,Acokanthera rotundata,Acokanthera rotundata,909903-1,909903-1,Species
Acokanthera schimperi,19.05,908.3,261.0,69.0,Acokanthera schimperi,Acokanthera schimperi,Acokanthera schimperi,60447729-2,60447729-2,Species
Acranthera abbreviata,26.55,3089.9,344.0,52.0,Acranthera abbreviata,Acranthera abbreviata,Acranthera abbreviata,742822-1,742822-1,Species
Acranthera anamallica,25.15,1308.5,156.0,72.0,Acranthera anamallica,Acranthera anamallica,Acranthera anamallica,742823-1,742823-1,Species
Acranthera athroophlebia,19.05,3118.3,499.0,52.0,Acranthera athroophlebia,Acranthera athroophlebia,Acranthera athroophlebia,742824-1,742824-1,Species
Acranthera atropella,19.799999999999997,3172.4,496.0,53.0,Acranthera atropella,Acranthera atropella,Acranthera atropella,742825-1,742825-1,Species
Acranthera capitata,23.65,2703.8,456.0,53.0,Acranthera capitata,Acranthera capitata,Acranthera capitata,742829-1,742829-1,Species
Acranthera ceylanica,24.55000000000005,3045.8,443.5,52.0,Acranthera ceylanica,Acranthera ceylanica,Acranthera ceylanica,77176981-1,77176981-1,Species
Acranthera endertii,25.65,2823.1,392.0,47.0,Acranthera endertii,Acranthera endertii,Acranthera endertii,742831-1,742831-1,Species
Acranthera frutescens,25.85,3601.3,469.0,51.0,Acranthera frutescens,Acranthera frutescens,Acranthera frutescens,742832-1,742832-1,Species
Acranthera grandiflora,25.15,1308.5,156.0,72.0,Acranthera grandiflora,Acranthera grandiflora,Acranthera grandiflora,742833-1,742833-1,Species
Acranthera involucrata,25.700000000000003,4426.950000000001,540.5,50.0,Acranthera involucrata,Acranthera involucrata,Acranthera involucrata,742837-1,742837-1,Species
Acranthera johannis-winkleri,25.7500000000001,4275.3,545.0,48.0,Acranthera johannis-winkleri,Acranthera johannis-winkleri,Acranthera johannis-winkleri,742838-1,742838-1,Species
Acranthera lanceolata,22.45,4936.9,443.0,49.0,Acranthera lanceolata,Acranthera lanceolata,Acranthera lanceolata,742839-1,742839-1,Species
Acranthera megaphylla,25.7500000000001,4188.8,419.0,46.0,Acranthera megaphylla,Acranthera megaphylla,Acranthera megaphylla,742845-1,742845-1,Species
Acranthera parviflora,22.35,6145.2,596.0,50.0,Acranthera parviflora,Acranthera parviflora,Acranthera parviflora,742852-1,742852-1,Species
Acranthera ruttenii,26.95,3452.1,,,Acranthera ruttenii,Acranthera ruttenii,Acranthera ruttenii,742854-1,742854-1,Species
Acranthera salmonea,26.65,2657.4,325.0,47.0,Acranthera salmonea,Acranthera salmonea,Acranthera salmonea,742855-1,742855-1,Species
Acranthera siamensis,26.15,2710.8,510.0,50.0,Acranthera siamensis,Acranthera siamensis,Acranthera siamensis,742856-1,742856-1,Species
Acranthera simalurensis,26.95,3896.2,363.0,49.0,Acranthera simalurensis,Acranthera simalurensis,Acranthera simalurensis,742858-1,742858-1,Species
Acranthera sinensis,17.65,2053.7,463.5,57.0,Acranthera sinensis,Acranthera sinensis,Acranthera sinensis,742859-1,742859-1,Species
Acranthera velutinervia,24.35,2754.6,451.5,51.0,Acranthera velutinervia,Acranthera velutinervia,Acranthera velutinervia,742864-1,742864-1,Species
Acrosynanthus jamaicensis,24.05,1866.7,495.0,56.0,Acrosynanthus jamaicensis,Acrosynanthus jamaicensis,Acrosynanthus jamaicensis,3865-2,3865-2,Species
Acrosynanthus latifolius,25.05,1964.4,613.0,57.0,Acrosynanthus latifolius,Acrosynanthus latifolius,Acrosynanthus latifolius,3866-2,3866-2,Species
Acrosynanthus ovatus,20.45,2068.0,821.0,57.0,Acrosynanthus ovatus,Acrosynanthus ovatus,Acrosynanthus ovatus,3869-2,3869-2,Species
Acrosynanthus parvifolius,23.95,2031.3,659.0,60.0,Acrosynanthus parvifolius,Acrosynanthus parvifolius,Acrosynanthus parvifolius,3870-2,3870-2,Species
Acrosynanthus revolutus,24.700000000000003,1973.15,674.5,58.0,Acrosynanthus revolutus,Acrosynanthus revolutus,Acrosynanthus revolutus,3871-2,3871-2,Species
Acrosynanthus trachyphyllus,25.45,1978.6,693.5,57.5,Acrosynanthus trachyphyllus,Acrosynanthus trachyphyllus,Acrosynanthus trachyphyllus,3872-2,3872-2,Species
Acunaeanthus tinifolius,23.799999999999997,1559.85,533.5,59.0,Acunaeanthus tinifolius,Acunaeanthus tinifolius,Acunaeanthus tinifolius,4173-2,4173-2,Species
Adenium obesum,26.65,585.4,133.0,67.0,Adenium obesum,Adenium obesum,Adenium obesum,76369-1,76369-1,Species
Adenium obesum subsp. socotranum,25.7500000000001,244.2,225.0,79.0,Adenium obesum subsp. socotranum,Adenium obesum,Adenium obesum,76369-1,76369-1,Species
Adenium obesum subsp. sokotranum,25.70000000000005,239.05,225.0,79.0,Adenium obesum subsp. sokotranum,Adenium obesum,Adenium obesum,76369-1,76369-1,Species
Adenorandia kalbreyeri,25.55,2030.6,266.0,50.0,Adenorandia kalbreyeri,Adenorandia kalbreyeri,Adenorandia kalbreyeri,979701-1,979701-1,Species
Adina cordifolia,25.7500000000001,1627.9,241.0,58.0,Adina cordifolia,Adina cordifolia,Adina cordifolia,742903-1,742903-1,Species
Adina dissimilis,23.05,2065.8,309.0,54.0,Adina dissimilis,Adina dissimilis,Adina dissimilis,742904-1,742904-1,Species
Adina eurhyncha,26.45,3021.25,419.0,51.0,Adina eurhyncha,Adina eurhyncha,Adina eurhyncha,77142551-1,77142551-1,Species
Adina fagifolia,26.299999999999997,2170.45,333.5,51.0,Adina fagifolia,Adina fagifolia,Adina fagifolia,742905-1,742905-1,Species
Adina malaccensis,23.049999999999997,3569.15,509.5,50.5,Adina malaccensis,Adina malaccensis,Adina malaccensis,77142552-1,77142552-1,Species
Adina metcalfii,20.950000000000003,1807.25,289.0,56.0,Adina metcalfii,Adina metcalfii,Adina metcalfii,742916-1,742916-1,Species
Adina metcalfii var. glabra,21.95,1656.2,277.0,57.0,Adina metcalfii var. glabra,Adina metcalfii,Adina metcalfii,742916-1,742916-1,Species
Adina multifolia,26.049999999999997,3072.4,418.0,52.0,Adina multifolia,Adina multifolia,Adina multifolia,742920-1,742920-1,Species
Adina pilulifera,20.05,1935.1,323.0,55.0,Adina pilulifera,Adina pilulifera,Adina pilulifera,742927-1,742927-1,Species
Adina rubella,18.0,1715.35,313.0,57.0,Adina rubella,Adina rubella,Adina rubella,742932-1,742932-1,Species
Adina trichotoma,21.95,1884.25,319.0,55.0,Adina trichotoma,Adina trichotoma,Adina trichotoma,742939-1,742939-1,Species
Aeschynanthus perrottetii,22.15,3794.3,379.5,56.0,Aeschynanthus perrottetii,,,,,
Afrocanthium burttii,20.95,788.4,126.0,58.0,Afrocanthium burttii,Afrocanthium burttii,Afrocanthium burttii,77062248-1,77062248-1,Species
Afrocanthium burttii subsp. burttii,19.65,916.9,90.0,57.0,Afrocanthium burttii subsp. burttii,Afrocanthium burttii subsp. burttii,Afrocanthium burttii,77062248-1,77167807-1,Subspecies
Afrocanthium burttii subsp. glabrum,21.65,758.6,119.0,61.0,Afrocanthium burttii subsp. glabrum,Afrocanthium burttii subsp. glabrum,Afrocanthium burttii,77062248-1,77190026-1,Subspecies
Afrocanthium gilfillanii,16.7500000000001,721.8,159.0,60.0,Afrocanthium gilfillanii,Afrocanthium gilfillanii,Afrocanthium gilfillanii,77062249-1,77062249-1,Species
Afrocanthium keniense,18.55,865.1,213.0,61.5,Afrocanthium keniense,Afrocanthium keniense,Afrocanthium keniense,77062250-1,77062250-1,Species
Afrocanthium kilifiense,25.85,1022.4,204.0,57.0,Afrocanthium kilifiense,Afrocanthium kilifiense,Afrocanthium kilifiense,77062251-1,77062251-1,Species
Afrocanthium lactescens,20.95,905.6,158.5,58.0,Afrocanthium lactescens,Afrocanthium lactescens,Afrocanthium lactescens,77062252-1,77062252-1,Species
Afrocanthium mundianum,17.4,744.45,229.0,60.0,Afrocanthium mundianum,Afrocanthium mundianum,Afrocanthium mundianum,77062253-1,77062253-1,Species
Afrocanthium ngonii,20.65,1221.6,219.0,60.0,Afrocanthium ngonii,Afrocanthium ngonii,Afrocanthium ngonii,77062254-1,77062254-1,Species
Afrocanthium parasiebenlistii,21.35,1148.1,169.0,54.0,Afrocanthium parasiebenlistii,Afrocanthium parasiebenlistii,Afrocanthium parasiebenlistii,77062255-1,77062255-1,Species
Afrocanthium peteri,26.05,927.9,132.0,62.0,Afrocanthium peteri,Afrocanthium peteri,Afrocanthium peteri,77062256-1,77062256-1,Species
Afrocanthium pseudorandii,22.7500000000001,659.2,112.0,63.0,Afrocanthium pseudorandii,Afrocanthium pseudorandii,Afrocanthium pseudorandii,77062257-1,77062257-1,Species
Afrocanthium pseudoverticillatum,25.2500000000001,1156.95,188.0,59.0,Afrocanthium pseudoverticillatum,Afrocanthium pseudoverticillatum,Afrocanthium pseudoverticillatum,77062258-1,77062258-1,Species
Afrocanthium racemulosum,24.45,1000.9,174.5,58.5,Afrocanthium racemulosum,Afrocanthium racemulosum,Afrocanthium racemulosum,77062259-1,77062259-1,Species
Afrocanthium racemulosum var. nanguanum,24.80000000000005,911.9000000000001,117.0,60.0,Afrocanthium racemulosum var. nanguanum,Afrocanthium racemulosum,Afrocanthium racemulosum,77062259-1,77062259-1,Species
Afrocanthium rondoense,21.4,1243.9499999999998,145.0,54.0,Afrocanthium rondoense,Afrocanthium rondoense,Afrocanthium rondoense,77062260-1,77062260-1,Species
Afrocanthium salubenii,18.2500000000001,1029.5,126.0,59.0,Afrocanthium salubenii,Afrocanthium salubenii,Afrocanthium salubenii,77062261-1,77062261-1,Species
Afrocanthium shabanii,17.45000000000005,1440.0,354.0,55.5,Afrocanthium shabanii,Afrocanthium shabanii,Afrocanthium shabanii,77062262-1,77062262-1,Species
Afrocanthium siebenlistii,18.4,1497.7,269.5,56.0,Afrocanthium siebenlistii,Afrocanthium siebenlistii,Afrocanthium siebenlistii,77062263-1,77062263-1,Species
Afrocanthium vollesenii,26.15,650.3499999999999,120.5,61.0,Afrocanthium vollesenii,Afrocanthium vollesenii,Afrocanthium vollesenii,77062264-1,77062264-1,Species
Aganosma breviloba,18.7500000000001,1284.9,291.0,55.0,Aganosma breviloba,Aganosma breviloba,Aganosma breviloba,76383-1,76383-1,Species
