Column1,Column2,Column3,Column4,Column5,Column6
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,muricu,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,mururu,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,olmorijoi,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,pfeilspitzen-schöngift,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,boesmangif,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,bushman poison,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,echuja,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,eshuwo,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,impalalelie,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,!khores,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,ngava-ngava,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,okavole,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,oudiyo,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,oudyo,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,ouviyo,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,ouzuwo,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,pfeilgiftbusch,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,pfeilgiftpflanze,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,pylgif,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,rylgif,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,unguiu,common
wcs3021,Apocynaceae,Adenium boehmianum,Schinz,uuzigo,common
wcs3027,Apocynaceae,Adenium multiflorum,Klotzsch,impala lily,common
wcs3027,Apocynaceae,Adenium multiflorum,Klotzsch,megoza,common
wcs3027,Apocynaceae,Adenium multiflorum,Klotzsch,sabi star,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,adan,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,adana,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,baobab chacal,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,baobab du chacal,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,baobab of the jackal,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,baobá exótica,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,baobá-exótica,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,desert rose,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,desert-rose,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,djindje pété,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,djindje-pété,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,egales,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,faux baobab,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,feyid,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,gewöhnliche wüstenrose,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,halubu,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,impala lily,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,impala-lily,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,ipirintai,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,kaluny,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,koliya,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,lgandaiyu,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,lis des impalas,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,marud,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,mdagu,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,mdaguwande,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,mock azalea,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,muk-fadjie,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,mwandiga,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,mwanja,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,obbe,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,ökenros,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,oleteti,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,pied d'éléphant,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,rosa do deserto,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,rosa-do-deserto,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,rose du désert,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,seyfid,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,tulata,common
wcs3030,Apocynaceae,Adenium obesum,(Forssk.) Roem. & Schult.,uba,common
wcs3038,Apocynaceae,Adenium oleifolium,Stapf,bitterkambro,common
wcs3038,Apocynaceae,Adenium oleifolium,Stapf,ouheip,common
wcs3038,Apocynaceae,Adenium oleifolium,Stapf,pylgif,common
wcs4408,Apocynaceae,Aganosma cymosa,(Roxb.) G.Don,anaikaita,common
wcs4408,Apocynaceae,Aganosma cymosa,(Roxb.) G.Don,anakkayyerram,common
wcs4408,Apocynaceae,Aganosma cymosa,(Roxb.) G.Don,chidaralanabilu,common
wcs4408,Apocynaceae,Aganosma cymosa,(Roxb.) G.Don,chithra leena balli,common
wcs4408,Apocynaceae,Aganosma cymosa,(Roxb.) G.Don,citrelinaballi,common
wcs4408,Apocynaceae,Aganosma cymosa,(Roxb.) G.Don,manimalaankodi,common
wcs4408,Apocynaceae,Aganosma cymosa,(Roxb.) G.Don,paarivengipatchilai,common
wcs4408,Apocynaceae,Aganosma cymosa,(Roxb.) G.Don,sellakkodi,common
wcs4408,Apocynaceae,Aganosma cymosa,(Roxb.) G.Don,tsjeria-pu-pal-valli,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,asanamallika,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,asphota,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,bhadramunja,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,bhadravalli,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,cerupaval,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,cherupaval,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,chitraleena balli,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,eri yadalalli,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,gudapalathige,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,gudapalatige,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,gurapalatige,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,jati,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,kavettavalli,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,kayerravalli,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,kemettivalli,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,kemmatti balli,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,maalathi,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,maalathi latha,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,maalathi lathe,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,malajiti,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,malathi lathe,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,malati,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,malatilata,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,mogari,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,paalamalle,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,palamalle,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,pala malle,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,sna ma i me tog,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,srid sin,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,sri sin gi me tog,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,sumana,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,sumanaa,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,vasanti,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,visalyakrit,common
wcs316895,Apocynaceae,Aganosma heynei,(Spreng.) I.M.Turner,yuvati,common
wcs4439,Apocynaceae,Aganosma wallichii,G.Don,malati,common
wcs4439,Apocynaceae,Aganosma wallichii,G.Don,palamalle,common
wcs5464,Apocynaceae,Alafia barteri,Oliv.,agbari etu ,common
wcs6154,Apocynaceae,Allamanda blanchetii,A.DC.,leiteiro,common
wcs6154,Apocynaceae,Allamanda blanchetii,A.DC.,quatro-patacas-foxa,common
wcs6154,Apocynaceae,Allamanda blanchetii,A.DC.,rosa-mole,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,allamaande gida,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,allamandagide,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,allemandatheega,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,arasinahu,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,arishina hoo,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,bothi,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,campanilla,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,dedal-de-dama,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,dumári raüwa,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,golden trumpet,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,haladi hoo,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,haladilu,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,kanagnee hoo,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,kolaambi,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,mittaayi hoo,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,saitanapu,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,the cup of gold,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,tumi lalahka,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,wel rukaththana,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,willow leaved allamanda,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,yellow alamanda,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,yellow bell,common
wcs6157,Apocynaceae,Allamanda cathartica,L.,වැල් රුක්අත්තන,common
wcs7001,Apocynaceae,Alstonia angustiloba,Miq.,pulai,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,adawura,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,alstonia,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,alstonia bark,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,alstonia boonei,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,awun,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,bakunin,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,boone's. alstonia,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,cheesewood,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,egbu,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,ekouk,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,emenle,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,emie,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,emien,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,nyamenlebaka,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,nyemi dua,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,onyame dua,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,osen-nuro,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,patternwood,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,pattern wood,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,siaketekre,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,sinduro,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,sinu,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,sinuro,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,stoolwood,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,stool wood,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,ukhu,common
wcs7007,Apocynaceae,Alstonia boonei,De Wild.,ukpo,common
wcs7014,Apocynaceae,Alstonia congensis,Engl.,ahun ,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,alstonia constricta,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,alstonia cortex,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,australian fever bark,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,australian fever bark tree,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,australian feverbark-tree,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,bitterbark,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,bitter bark,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,bitterrinde,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,devil's tree,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,dita bark,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,feverbark,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,fever bark,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,kaippup pattai,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,native quinine bark,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,peruvian-bark,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,quininebush,common
wcs7016,Apocynaceae,Alstonia constricta,F.Muell.,quininetree,common
wcs7060,Apocynaceae,Alstonia longifolia,(A.DC.) Pichon,quina,common
wcs7064,Apocynaceae,Alstonia macrophylla,Wall. ex G.Don,batino,common
wcs7064,Apocynaceae,Alstonia macrophylla,Wall. ex G.Don,hard alstonia,common
wcs7064,Apocynaceae,Alstonia macrophylla,Wall. ex G.Don,hard milkwood,common
wcs7064,Apocynaceae,Alstonia macrophylla,Wall. ex G.Don,havari nuga,common
wcs7064,Apocynaceae,Alstonia macrophylla,Wall. ex G.Don,janthaala mara,common
wcs7064,Apocynaceae,Alstonia macrophylla,Wall. ex G.Don,match stick tree,common
wcs7064,Apocynaceae,Alstonia macrophylla,Wall. ex G.Don,seeme saptha parni,common
wcs7064,Apocynaceae,Alstonia macrophylla,Wall. ex G.Don,thungfaa,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,aelele haale,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,ajan,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,alstonia,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,alstonia scholaris,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,ayugmachchhada,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,ayugmaparna,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,ayukachhada,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,azhilaip-palai,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,bahuparna,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,bantale,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,blackboardtree,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,blackboard tree,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,brihattvaka,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,brihatvaka,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,captaparanam,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,captaparani,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chaitan,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chataan,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chatian,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chatiana,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chatim,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chatin,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chatiun,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chatiyan,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chatraparna,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chattiyan,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chbatiana,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chhatamain,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chhatan,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chhataun,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chhatium,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chhativan,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chhatiwan,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chhityon,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chitavan,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,chithon,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,daevasurippi,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,daivapala,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,daivaphal,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,daivappala,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,dalegandhi,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,deng tai ye,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,devasurippi,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,devavriksha,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,devil's tree,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,deviltree,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,devil tree,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,dhalthuna,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,dita,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,ditabark,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,dita bark,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,dita bark tree,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,dita-bark tree,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,doddapala,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,doddapale,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,echite,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,edaakulapaala,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,edaakulaponna,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,edakula,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,edakulaariti,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,edakula-ariti,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,edakulapala,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,edakula-pala,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,edakulaponna,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,edakula ponna,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,edakula-ponna,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,edakularati,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elaaramu,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elalaipalai,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elaramu,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elelebale,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elelehale,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elelepale,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,eleyalaga,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elilaippalai,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elilai-ppalai,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elilai-p-palai,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elilampala,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elilapala,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elilapalei,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,elilappalai,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,erilampala,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,ezhilai palai,common
wcs7103,Apocynaceae,Alstonia scholaris,(L.) R.Br.,ezhilai-palai,common
