Column1,Column2,Column3,Column4,Column5,Column6
plant_id,family,taxon_name,authority,non_sci_name,non_sci_name_type
wcs2164,Apocynaceae,Acokanthera oblongifolia,(Hochst.) Benth. & Hook.f. ex B.D.Jacks.,dune poison bush,common
wcs2164,Apocynaceae,Acokanthera oblongifolia,(Hochst.) Benth. & Hook.f. ex B.D.Jacks.,wintersweet,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,arrow-poison tree,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,boesmansgif,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,buschmanns schöngift,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,bushman poison,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,bushman's-poison,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,common poison bush,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,common-poisonbush,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,ibai,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,intlungunyembe,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,kikweo,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,kiururu,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,msungusungu,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,msunguti,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,mubai,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,mukweu,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,mururu,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,musungusungu,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,muva-wa-ngo,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,ngweo,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,olmorijoi,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,rumbara,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,ubuhlungu,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,ubuhlungu benamba,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,ubuhlungu benyoka,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,ubuhlungu bomthwa,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,usungu,common
wcs2165,Apocynaceae,Acokanthera oppositifolia,(Lam.) Codd,wintersweet,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,acokanthera,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,arrow-poison plant,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,arrow-poison tree,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,arrow-poison-tree,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,common poison bush,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,common-poisonbush,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,ilmorijoi,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,k'arraaru,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,karraru,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,kelion,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,keliot,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,kelyon,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,kelyot,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,kivai,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,marid,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,msungu,common
wcs2171,Apocynaceae,Acokanthera schimperi,(A.DC.) Schweinf.,msunguti,common
