"X","Symbol","Synonym.Symbol","Scientific.Name.with.Author","Common.Name","Family","Accepted_ID","Accepted_Name","Accepted_Rank","Accepted_Species","Accepted_Species_ID"
3144,"AMCIT",NA,"Amsonia ciliata Walter var. tenuifolia (Raf.) Woodson","fringed bluestar","Apocynaceae","77189627-1","Amsonia ciliata var. filifolia","Variety","Amsonia ciliata","76904-1"
3146,"AMCIT2",NA,"Amsonia ciliata Walter var. texana (A. Gray) J.M. Coult.","Texas bluestar","Apocynaceae","11959-2","Amsonia ciliata var. texana","Variety","Amsonia ciliata","76904-1"
3231,"AMFU",NA,"Amsonia fugatei S.P. McLaughlin","San Antonio bluestar","Apocynaceae","272089-2","Amsonia fugatei","Species","Amsonia fugatei","272089-2"
3245,"AMGR4",NA,"Amsonia grandiflora Alexander","Arizona bluestar","Apocynaceae","12082-2","Amsonia grandiflora","Species","Amsonia grandiflora","12082-2"
3262,"AMHU",NA,"Amsonia hubrichtii Woodson","Hubricht's bluestar","Apocynaceae","12085-2","Amsonia hubrichtii","Species","Amsonia hubrichtii","12085-2"
3278,"AMIL",NA,"Amsonia illustris Woodson","Ozark bluestar","Apocynaceae","77197401-1","Amsonia tabernaemontana var. illustris","Variety","Amsonia tabernaemontana","76931-1"
3287,"AMJO",NA,"Amsonia jonesii Woodson","Jones' bluestar","Apocynaceae","76914-1","Amsonia jonesii","Species","Amsonia jonesii","76914-1"
3288,"AMKE",NA,"Amsonia kearneyana Woodson","Kearney's bluestar","Apocynaceae","12087-2","Amsonia kearneyana","Species","Amsonia kearneyana","12087-2"
3311,"AMLO",NA,"Amsonia longiflora Torr.","tubular bluestar","Apocynaceae","76919-1","Amsonia longiflora","Species","Amsonia longiflora","76919-1"
3312,"AMLOL",NA,"Amsonia longiflora Torr. var. longiflora","tubular bluestar","Apocynaceae","77167494-1","Amsonia longiflora var. longiflora","Variety","Amsonia longiflora","76919-1"
3313,"AMLOS",NA,"Amsonia longiflora Torr. var. salpignantha (Woodson) S.P. McLaughlin","tubular bluestar","Apocynaceae","12090-2","Amsonia longiflora var. salpignantha","Variety","Amsonia longiflora","76919-1"
3316,"AMLU2",NA,"Amsonia ludoviciana Vail","Louisiana bluestar","Apocynaceae",NA,NA,NA,NA,NA
3394,"AMPA5",NA,"Amsonia palmeri A. Gray","Palmer's bluestar","Apocynaceae","76922-1","Amsonia palmeri","Species","Amsonia palmeri","76922-1"
3400,"AMPE",NA,"Amsonia peeblesii Woodson","Peebles' bluestar","Apocynaceae","12092-2","Amsonia peeblesii","Species","Amsonia peeblesii","12092-2"
3462,"AMRE3",NA,"Amsonia repens Shinners","creeping bluestar","Apocynaceae","77197403-1","Amsonia tabernaemontana var. repens","Variety","Amsonia tabernaemontana","76931-1"
3463,"AMRI",NA,"Amsonia rigida Shuttlw. ex Small","stiff bluestar","Apocynaceae","12095-2","Amsonia rigida","Species","Amsonia rigida","12095-2"
3497,"AMSON",NA,"Amsonia Walter","bluestar","Apocynaceae","2194-1","Amsonia","Genus",NA,NA
3509,"AMTA2",NA,"Amsonia tabernaemontana Walter","eastern bluestar","Apocynaceae","76931-1","Amsonia tabernaemontana","Species","Amsonia tabernaemontana","76931-1"
3510,"AMTAG",NA,"Amsonia tabernaemontana Walter var. gattingeri Woodson","eastern bluestar","Apocynaceae","12102-2","Amsonia tabernaemontana var. salicifolia","Variety","Amsonia tabernaemontana","76931-1"
3511,"AMTAS",NA,"Amsonia tabernaemontana Walter var. salicifolia (Pursh) Woodson","eastern bluestar","Apocynaceae","12102-2","Amsonia tabernaemontana var. salicifolia","Variety","Amsonia tabernaemontana","76931-1"
3513,"AMTAT",NA,"Amsonia tabernaemontana Walter var. tabernaemontana","eastern bluestar","Apocynaceae","77167446-1","Amsonia tabernaemontana var. tabernaemontana","Variety","Amsonia tabernaemontana","76931-1"
3526,"AMTH",NA,"Amsonia tharpii Woodson","feltleaf bluestar","Apocynaceae","12105-2","Amsonia tharpii","Species","Amsonia tharpii","12105-2"
3529,"AMTO2",NA,"Amsonia tomentosa Torr. & Frém.","woolly bluestar","Apocynaceae","76934-1","Amsonia tomentosa","Species","Amsonia tomentosa","76934-1"
3536,"AMTOS",NA,"Amsonia tomentosa Torr. & Frém. var. stenophylla Kearney & Peebles","woolly bluestar","Apocynaceae","12107-2","Amsonia tomentosa var. stenophylla","Variety","Amsonia tomentosa","76934-1"
3539,"AMTOT",NA,"Amsonia tomentosa Torr. & Frém. var. tomentosa","woolly bluestar","Apocynaceae","77167486-1","Amsonia tomentosa var. tomentosa","Variety","Amsonia tomentosa","76934-1"
3603,"ANAC4",NA,"Antirhea acutata (DC.) Urb.","placa chiquitu","Rubiaceae","767116-1","Stenostomum acutatum","Species","Stenostomum acutatum","767116-1"
3751,"ANBE2",NA,"Angadenia berteroi (A. DC.) Miers","pineland golden trumpet","Apocynaceae","77012-1","Angadenia berteroi","Species","Angadenia berteroi","77012-1"
3844,"ANCO3",NA,"Antirhea coriacea (Vahl) Urb.","pegwood","Rubiaceae","767120-1","Stenostomum coriaceum","Species","Stenostomum coriaceum","767120-1"
3911,"ANECH",NA,"Anechites Griseb.","anechites","Apocynaceae","2200-1","Anechites","Genus",NA,NA
3972,"ANGAD",NA,"Angadenia Miers","pineland golden trumpet","Apocynaceae","2201-1","Angadenia","Genus",NA,NA
4154,"ANLU3",NA,"Antirhea lucida (Sw.) Hook. f.","palo iloron","Rubiaceae",NA,NA,NA,NA,NA
