"X","Symbol","Synonym.Symbol","Scientific.Name.with.Author","Common.Name","Family","Accepted_ID","Accepted_Name","Accepted_Rank","Accepted_Species","Accepted_Species_ID"
37057,"FUEL",NA,"Funtumia elastica (Preuss) Stapf","silkrubber","Apocynaceae","79099-1","Funtumia elastica","Species","Funtumia elastica","79099-1"
37117,"FUNTU",NA,"Funtumia Stapf","funtumia","Apocynaceae","295871-2","Funtumia","Genus",NA,NA
37191,"GAAL",NA,"Galium album Mill.","white bedstraw","Rubiaceae","749481-1","Galium album","Species","Galium album","749481-1"
37193,"GAAM2",NA,"Galium ambiguum W. Wight","Yolla Bolly bedstraw","Rubiaceae","77176969-1","Galium stebbinsii","Species","Galium stebbinsii","77176969-1"
37197,"GAAMA",NA,"Galium ambiguum W. Wight ssp. ambiguum","Yolla Bolly bedstraw","Rubiaceae",NA,NA,NA,NA,NA
37199,"GAAMS2",NA,"Galium ambiguum W. Wight ssp. siskiyouense (Ferris) Dempster & Stebbins","Siskiyou bedstraw","Rubiaceae","77190056-1","Galium stebbinsii subsp. siskiyouense","Subspecies","Galium stebbinsii","77176969-1"
37201,"GAAN",NA,"Galium andrewsii A. Gray","phloxleaf bedstraw","Rubiaceae","749501-1","Galium andrewsii","Species","Galium andrewsii","749501-1"
37202,"GAAN2",NA,"Galium angustifolium Nutt. ex A. Gray","narrowleaf bedstraw","Rubiaceae",NA,NA,NA,NA,NA
37207,"GAANA",NA,"Galium andrewsii A. Gray ssp. andrewsii","Andrews' bedstraw","Rubiaceae","77168425-1","Galium andrewsii subsp. andrewsii","Subspecies","Galium andrewsii","749501-1"
37208,"GAANA2",NA,"Galium angustifolium Nutt. ex A. Gray ssp. angustifolium","narrowleaf bedstraw","Rubiaceae","77168426-1","Galium angustifolium subsp. angustifolium","Subspecies","Galium angustifolium","749505-1"
37215,"GAANB",NA,"Galium angustifolium Nutt. ex A. Gray ssp. borregoense Dempster & Stebbins","Borrego bedstraw","Rubiaceae","106910-2","Galium angustifolium subsp. borregoense","Subspecies","Galium angustifolium","749505-1"
37216,"GAANF",NA,"Galium angustifolium Nutt. ex A. Gray ssp. foliosum (Hilend & J.T. Howell) Dempster & Stebbins","narrowleaf bedstraw","Rubiaceae","106921-2","Galium angustifolium subsp. foliosum","Subspecies","Galium angustifolium","749505-1"
37218,"GAANG",NA,"Galium andrewsii A. Gray ssp. gatense (Dempster) Dempster & Stebbins","serpentine bedstraw","Rubiaceae","106906-2","Galium andrewsii subsp. gatense","Subspecies","Galium andrewsii","749501-1"
37220,"GAANG2",NA,"Galium angustifolium Nutt. ex A. Gray ssp. gabrielense (Munz & I.M. Johnst.) Dempster & Stebbins","San Antoinio Canyon bedstraw","Rubiaceae","106923-2","Galium angustifolium subsp. gabrielense","Subspecies","Galium angustifolium","749505-1"
37223,"GAANG3",NA,"Galium angustifolium Nutt. ex A. Gray ssp. gracillimum Dempster & Stebbins","slender bedstraw","Rubiaceae","106924-2","Galium angustifolium subsp. gracillimum","Subspecies","Galium angustifolium","749505-1"
37224,"GAANI",NA,"Galium andrewsii A. Gray ssp. intermedium Dempster & Stebbins","phloxleaf bedstraw","Rubiaceae","106908-2","Galium andrewsii subsp. intermedium","Subspecies","Galium andrewsii","749501-1"
37225,"GAANJ",NA,"Galium angustifolium Nutt. ex A. Gray ssp. jacinticum Dempster & Stebbins","San Jacinto bedstraw","Rubiaceae","106925-2","Galium angustifolium subsp. jacinticum","Subspecies","Galium angustifolium","749505-1"
37226,"GAANN",NA,"Galium angustifolium Nutt. ex A. Gray ssp. nudicaule Dempster & Stebbins","narrowleaf bedstraw","Rubiaceae","106926-2","Galium angustifolium subsp. nudicaule","Subspecies","Galium angustifolium","749505-1"
37227,"GAANO",NA,"Galium angustifolium Nutt. ex A. Gray ssp. onycense (Dempster) Dempster & Stebbins","Onyx Peak bedstraw","Rubiaceae","106927-2","Galium angustifolium subsp. onycense","Subspecies","Galium angustifolium","749505-1"
37229,"GAAP2",NA,"Galium aparine L.","stickywilly","Rubiaceae","30007294-2","Galium aparine","Species","Galium aparine","30007294-2"
37247,"GAAR3",NA,"Galium argense Dempster & Ehrend.","Argus bedstraw","Rubiaceae","106941-2","Galium argense","Species","Galium argense","106941-2"
37248,"GAAR4",NA,"Galium arkansanum A. Gray","Arkansas bedstraw","Rubiaceae","749542-1","Galium arkansanum","Species","Galium arkansanum","749542-1"
37250,"GAAR5",NA,"Galium aristatum L.","awned bedstraw","Rubiaceae","749540-1","Galium aristatum","Species","Galium aristatum","749540-1"
37254,"GAAS2",NA,"Galium asprellum Michx.","rough bedstraw","Rubiaceae","749561-1","Galium asprellum","Species","Galium asprellum","749561-1"
37266,"GABI",NA,"Galium bifolium S. Watson","twinleaf bedstraw","Rubiaceae","749610-1","Galium bifolium","Species","Galium bifolium","749610-1"
37271,"GABO",NA,"Galium bolanderi A. Gray","Bolander's bedstraw","Rubiaceae","749624-1","Galium bolanderi","Species","Galium bolanderi","749624-1"
37278,"GABO2",NA,"Galium boreale L.","northern bedstraw","Rubiaceae","749626-1","Galium boreale","Species","Galium boreale","749626-1"
37289,"GABR",NA,"Gardenia brighamii Gardenia brighamii","forest gardenia","Rubiaceae","750931-1","Gardenia brighamii","Species","Gardenia brighamii","750931-1"
37292,"GABR6",NA,"Galium brevipes Fernald & Wiegand","limestone swamp bedstraw","Rubiaceae","107227-2","Galium trifidum subsp. brevipes","Subspecies","Galium trifidum","750768-1"
37294,"GABU",NA,"Galium buxifolium Greene","box bedstraw","Rubiaceae","106959-2","Galium buxifolium","Species","Galium buxifolium","106959-2"
37298,"GACA3",NA,"Galium californicum Hook. & Arn.","California bedstraw","Rubiaceae","749666-1","Galium californicum","Species","Galium californicum","749666-1"
37299,"GACA4",NA,"Galium catalinense A. Gray","Santa Catalina Island bedstraw","Rubiaceae","106974-2","Galium catalinense","Species","Galium catalinense","106974-2"
37300,"GACAA",NA,"Galium catalinense A. Gray ssp. acrispum Dempster","Santa Clemente Island bedstraw","Rubiaceae","106975-2","Galium catalinense subsp. acrispum","Subspecies","Galium catalinense","106974-2"
37301,"GACAC",NA,"Galium californicum Hook. & Arn. ssp. californicum","California bedstraw","Rubiaceae","77168432-1","Galium californicum subsp. californicum","Subspecies","Galium californicum","749666-1"
37302,"GACAC2",NA,"Galium catalinense A. Gray ssp. catalinense","Santa Catalina Island bedstraw","Rubiaceae","77168440-1","Galium catalinense subsp. catalinense","Subspecies","Galium catalinense","106974-2"
37303,"GACAF",NA,"Galium californicum Hook. & Arn. ssp. flaccidum (Greene) Dempster & Stebbins","California bedstraw","Rubiaceae","106961-2","Galium californicum subsp. flaccidum","Subspecies","Galium californicum","749666-1"
37308,"GACAL",NA,"Galium californicum Hook. & Arn. ssp. luciense Dempster & Stebbins","Cone Peak bedstraw","Rubiaceae","106962-2","Galium californicum subsp. luciense","Subspecies","Galium californicum","749666-1"
37309,"GACAM",NA,"Galium californicum Hook. & Arn. ssp. maritimum Dempster & Stebbins","California bedstraw","Rubiaceae","106963-2","Galium californicum subsp. maritimum","Subspecies","Galium californicum","749666-1"
37310,"GACAM2",NA,"Galium californicum Hook. & Arn. ssp. miguelense (Greene) Dempster & Stebbins","San Miguel Island bedstraw","Rubiaceae","106964-2","Galium californicum subsp. miguelense","Subspecies","Galium californicum","749666-1"
37313,"GACAP",NA,"Galium californicum Hook. & Arn. ssp. primum Dempster & Stebbins","California bedstraw","Rubiaceae","106966-2","Galium californicum subsp. primum","Subspecies","Galium californicum","749666-1"
37314,"GACAS",NA,"Galium californicum Hook. & Arn. ssp. sierrae Dempster & Stebbins","El Dorado bedstraw","Rubiaceae","106967-2","Galium californicum subsp. sierrae","Subspecies","Galium californicum","749666-1"
37316,"GACI2",NA,"Galium circaezans Michx.","licorice bedstraw","Rubiaceae","749731-1","Galium circaezans","Species","Galium circaezans","749731-1"
37317,"GACIC",NA,"Galium circaezans Michx. var. circaezans","licorice bedstraw","Rubiaceae",NA,NA,NA,NA,NA
37325,"GACIH",NA,"Galium circaezans Michx. var. hypomalacum Fernald","licorice bedstraw","Rubiaceae","749731-1","Galium circaezans","Species","Galium circaezans","749731-1"
37326,"GACL",NA,"Galium clementis Eastw.","Santa Lucia bedstraw","Rubiaceae","106996-2","Galium clementis","Species","Galium clementis","106996-2"
37327,"GACL2",NA,"Galium cliftonsmithii (Dempster) Dempster & Stebbins","Santa Barbara bedstraw","Rubiaceae","106997-2","Galium cliftonsmithii","Species","Galium cliftonsmithii","106997-2"
37329,"GACO",NA,"Galium collomiae J.T. Howell","Fossil Hill Creek bedstraw","Rubiaceae","107000-2","Galium collomiae","Species","Galium collomiae","107000-2"
37333,"GACO2",NA,"Galium coloradoense W. Wight","Colorado bedstraw","Rubiaceae","107001-2","Galium coloradoense","Species","Galium coloradoense","107001-2"
37335,"GACO3",NA,"Galium concinnum Torr. & A. Gray","shining bedstraw","Rubiaceae","749751-1","Galium concinnum","Species","Galium concinnum","749751-1"
37336,"GACO6",NA,"Galium correllii Dempster","cliff bedstraw","Rubiaceae","107006-2","Galium correllii","Species","Galium correllii","107006-2"
37342,"GADE3",NA,"Galium desereticum Dempster & Ehrend.","desert bedstraw","Rubiaceae","107013-2","Galium desereticum","Species","Galium desereticum","107013-2"
37344,"GADI",NA,"Galium divaricatum Pourr. ex Lam.","Lamarck's bedstraw","Rubiaceae","749836-1","Galium divaricatum","Species","Galium divaricatum","749836-1"
37379,"GAEM",NA,"Galium emeryense Dempster & Ehrend.","Emery County bedstraw","Rubiaceae","296177-2","Galium emeryense","Species","Galium emeryense","296177-2"
37380,"GAEME",NA,"Galium emeryense Dempster & Ehrend. ssp. emeryense","Emery County bedstraw","Rubiaceae","77168439-1","Galium emeryense subsp. emeryense","Subspecies","Galium emeryense","296177-2"
37384,"GAEMP",NA,"Galium emeryense Dempster & Ehrend. ssp. protoscabriusculum (Dempster & Ehrend.) Dempster & Ehrend.","Emery County bedstraw","Rubiaceae","107016-2","Galium emeryense subsp. protoscabriusculum","Subspecies","Galium emeryense","296177-2"
37395,"GAFE",NA,"Galium fendleri A. Gray","Fendler's bedstraw","Rubiaceae","749883-1","Galium fendleri","Species","Galium fendleri","749883-1"
37414,"GAGL2",NA,"Galium glabrescens (Ehrend.) Dempster & Ehrend.","Castle Lake bedstraw","Rubiaceae","107044-2","Galium glabrescens","Species","Galium glabrescens","107044-2"
37415,"GAGL3",NA,"Galium glaucum L.","waxy bedstraw","Rubiaceae","327111-2","Galium glaucum","Species","Galium glaucum","327111-2"
37420,"GAGLG",NA,"Galium glabrescens (Ehrend.) Dempster & Ehrend. ssp. glabrescens","Castle Lake bedstraw","Rubiaceae","77168451-1","Galium glabrescens subsp. glabrescens","Subspecies","Galium glabrescens","107044-2"
37422,"GAGLH",NA,"Galium glabrescens (Ehrend.) Dempster & Ehrend. ssp. harticum Dempster & Ehrend.","Castle Lake bedstraw","Rubiaceae","107045-2","Galium glabrescens subsp. harticum","Subspecies","Galium glabrescens","107044-2"
37423,"GAGLJ",NA,"Galium glabrescens (Ehrend.) Dempster & Ehrend. ssp. josephinense Dempster & Ehrend.","Castle Lake bedstraw","Rubiaceae","107046-2","Galium glabrescens subsp. josephinense","Subspecies","Galium glabrescens","107044-2"
37424,"GAGLM",NA,"Galium glabrescens (Ehrend.) Dempster & Ehrend. ssp. modocense Dempster & Ehrend.","Modoc bedstraw","Rubiaceae","107047-2","Galium glabrescens subsp. modocense","Subspecies","Galium glabrescens","107044-2"
37426,"GAGR2",NA,"Galium grayanum Ehrend.","Gray's bedstraw","Rubiaceae","107050-2","Galium grayanum","Species","Galium grayanum","107050-2"
37429,"GAGR5",NA,"Galium grande McClatchie","San Gabriel bedstraw","Rubiaceae","107049-2","Galium grande","Species","Galium grande","107049-2"
37431,"GAGRG",NA,"Galium grayanum Ehrend. var. grayanum","Gray's bedstraw","Rubiaceae","77168446-1","Galium grayanum var. grayanum","Variety","Galium grayanum","107050-2"
37432,"GAGRN",NA,"Galium grayanum Ehrend. var. nanum Dempster & Ehrend.","Gray's bedstraw","Rubiaceae","107052-2","Galium grayanum var. nanum","Variety","Galium grayanum","107050-2"
37433,"GAHA",NA,"Galium hallii Munz & I.M. Johnst.","Hall's bedstraw","Rubiaceae","107053-2","Galium hallii","Species","Galium hallii","107053-2"
37434,"GAHA2",NA,"Galium hardhamiae Dempster","Hardham's bedstraw","Rubiaceae","107054-2","Galium hardhamiae","Species","Galium hardhamiae","107054-2"
37444,"GAHI",NA,"Galium hispidulum Michx.","coastal bedstraw","Rubiaceae","277293-2","Galium bermudense","Species","Galium bermudense","277293-2"
37455,"GAHI3",NA,"Galium hilendiae Dempster & Ehrend.","Hilend's bedstraw","Rubiaceae","107055-2","Galium hilendiae","Species","Galium hilendiae","107055-2"
37456,"GAHIC",NA,"Galium hilendiae Dempster & Ehrend. ssp. carneum (Hilend & J.T. Howell) Dempster & Ehrend.","Panamint Mountains bedstraw","Rubiaceae","107056-2","Galium hilendiae subsp. carneum","Subspecies","Galium hilendiae","107055-2"
37458,"GAHIH",NA,"Galium hilendiae Dempster & Ehrend. ssp. hilendiae","Hilend's bedstraw","Rubiaceae","77168442-1","Galium hilendiae subsp. hilendiae","Subspecies","Galium hilendiae","107055-2"
37459,"GAHIK",NA,"Galium hilendiae Dempster & Ehrend. ssp. kingstonense (Dempster) Dempster & Ehrend.","Kingston Mountains bedstraw","Rubiaceae","107057-2","Galium hilendiae subsp. kingstonense","Subspecies","Galium hilendiae","107055-2"
37465,"GAHU3",NA,"Galium humifusum M. Bieb.","spreading bedstraw","Rubiaceae","750032-1","Galium humifusum","Species","Galium humifusum","750032-1"
37467,"GAHY",NA,"Galium hypotrichium A. Gray","alpine bedstraw","Rubiaceae","750044-1","Galium hypotrichium","Species","Galium hypotrichium","750044-1"
37468,"GAHYE",NA,"Galium hypotrichium A. Gray ssp. ebbettsense Dempster & Ehrend.","Ebbett's bedstraw","Rubiaceae","107066-2","Galium hypotrichium subsp. ebbettsense","Subspecies","Galium hypotrichium","750044-1"
37469,"GAHYH",NA,"Galium hypotrichium A. Gray ssp. hypotrichium","alpine bedstraw","Rubiaceae","77168458-1","Galium hypotrichium subsp. hypotrichium","Subspecies","Galium hypotrichium","750044-1"
37470,"GAHYI",NA,"Galium hypotrichium A. Gray ssp. inyoense Dempster & Ehrend.","Inyo bedstraw","Rubiaceae","107067-2","Galium hypotrichium subsp. inyoense","Subspecies","Galium hypotrichium","750044-1"
37471,"GAHYN",NA,"Galium hypotrichium A. Gray ssp. nevadense Dempster & Ehrend.","Nevada bedstraw","Rubiaceae","107068-2","Galium hypotrichium subsp. nevadense","Subspecies","Galium hypotrichium","750044-1"
37472,"GAHYS",NA,"Galium hypotrichium A. Gray ssp. subalpinum (Hilend & J.T. Howell) Ehrend.","subalpine bedstraw","Rubiaceae","107070-2","Galium hypotrichium subsp. subalpinum","Subspecies","Galium hypotrichium","750044-1"
37475,"GAHYT",NA,"Galium hypotrichium A. Gray ssp. tomentellum Ehrend.","alpine bedstraw","Rubiaceae","107071-2","Galium hypotrichium subsp. tomentellum","Subspecies","Galium hypotrichium","750044-1"
37479,"GAJA",NA,"Gardenia jasminoides Ellis","Cape jasmine","Rubiaceae","751073-1","Gardenia jasminoides","Species","Gardenia jasminoides","751073-1"
37483,"GAJE",NA,"Galium jepsonii Hilend & J.T. Howell","Jepson's bedstraw","Rubiaceae","107080-2","Galium jepsonii","Species","Galium jepsonii","107080-2"
37485,"GAJO",NA,"Galium johnstonii Dempster & Stebbins","Johnston's bedstraw","Rubiaceae","107081-2","Galium johnstonii","Species","Galium johnstonii","107081-2"
37488,"GAKA",NA,"Galium kamtschaticum Steller ex Schult. & Schult. f.","boreal bedstraw","Rubiaceae","750102-1","Galium kamtschaticum","Species","Galium kamtschaticum","750102-1"
37496,"GALA2",NA,"Galium labradoricum (Wiegand) Wiegand","northern bog bedstraw","Rubiaceae","107086-2","Galium labradoricum","Species","Galium labradoricum","107086-2"
37498,"GALA3",NA,"Galium lanceolatum Torr.","lanceleaf wild licorice","Rubiaceae","750136-1","Galium lanceolatum","Species","Galium lanceolatum","750136-1"
37502,"GALA4",NA,"Galium latifolium Michx.","purple bedstraw","Rubiaceae","750148-1","Galium latifolium","Species","Galium latifolium","750148-1"
37524,"GALIU",NA,"Galium L.","bedstraw","Rubiaceae","325955-2","Galium","Genus",NA,NA
37532,"GAMA3",NA,"Galium magnifolium (Dempster) Dempster","largeleaf bedstraw","Rubiaceae","107096-2","Galium magnifolium","Species","Galium magnifolium","107096-2"
37534,"GAMA4",NA,"Galium matthewsii A. Gray","bushy bedstraw","Rubiaceae","750215-1","Galium matthewsii","Species","Galium matthewsii","750215-1"
37535,"GAMA6",NA,"Gardenia mannii H. St. John & Kuykend.","Oahu gardenia","Rubiaceae","751121-1","Gardenia mannii","Species","Gardenia mannii","751121-1"
37538,"GAME3",NA,"Galium mexicanum Kunth","Mexican bedstraw","Rubiaceae","750229-1","Galium mexicanum","Species","Galium mexicanum","750229-1"
37539,"GAMEA",NA,"Galium mexicanum Kunth ssp. asperrimum (A. Gray) Dempster","Mexican bedstraw","Rubiaceae","106652-2","Galium mexicanum subsp. asperrimum","Subspecies","Galium mexicanum","750229-1"
37542,"GAMEA2",NA,"Galium mexicanum Kunth ssp. asperulum (A. Gray) Dempster","Mexican bedstraw","Rubiaceae","106653-2","Galium mexicanum subsp. asperulum","Subspecies","Galium mexicanum","750229-1"
37547,"GAMEF",NA,"Galium mexicanum Kunth ssp. flexicum Dempster","Mexican bedstraw","Rubiaceae","106654-2","Galium mexicanum subsp. flexicum","Subspecies","Galium mexicanum","750229-1"
37548,"GAMEM",NA,"Galium mexicanum Kunth ssp. mexicanum","Mexican bedstraw","Rubiaceae","77168457-1","Galium mexicanum subsp. mexicanum","Subspecies","Galium mexicanum","750229-1"
37549,"GAMI",NA,"Galium microphyllum A. Gray","bracted bedstraw","Rubiaceae","750235-1","Galium microphyllum","Species","Galium microphyllum","750235-1"
37555,"GAMO",NA,"Galium mollugo L.","false baby's breath","Rubiaceae","750253-1","Galium mollugo","Species","Galium mollugo","750253-1"
37565,"GAMU2",NA,"Galium multiflorum Kellogg","shrubby bedstraw","Rubiaceae","750276-1","Galium multiflorum","Species","Galium multiflorum","750276-1"
37570,"GAMU3",NA,"Galium munzii Hilend & J.T. Howell","Munz's bedstraw","Rubiaceae","107116-2","Galium munzii","Species","Galium munzii","107116-2"
37571,"GAMU4",NA,"Galium murale (L.) All.","yellow wall bedstraw","Rubiaceae","750280-1","Galium murale","Species","Galium murale","750280-1"
37572,"GAMU5",NA,"Galium muricatum W. Wight","Humboldt bedstraw","Rubiaceae","107121-2","Galium muricatum","Species","Galium muricatum","107121-2"
37575,"GAMUA",NA,"Galium munzii Hilend & J.T. Howell ssp. ambivalens Dempster & Ehrend.","Munz's bedstraw","Rubiaceae","77188585-1","Galium munzii subsp. ambivalens","Subspecies","Galium munzii","107116-2"
37578,"GAMUM3",NA,"Galium munzii Hilend & J.T. Howell ssp. munzii","Munz's bedstraw","Rubiaceae","77168455-1","Galium munzii subsp. munzii","Subspecies","Galium munzii","107116-2"
37584,"GANU",NA,"Galium nuttallii A. Gray","climbing bedstraw","Rubiaceae","750320-1","Galium nuttallii","Species","Galium nuttallii","750320-1"
37587,"GANUI",NA,"Galium nuttallii A. Gray ssp. insulare Ferris","climbing bedstraw","Rubiaceae","107126-2","Galium nuttallii subsp. insulare","Subspecies","Galium nuttallii","750320-1"
37588,"GANUN",NA,"Galium nuttallii A. Gray ssp. nuttallii","climbing bedstraw","Rubiaceae","77168461-1","Galium nuttallii subsp. nuttallii","Subspecies","Galium nuttallii","750320-1"
37590,"GAOB",NA,"Galium obtusum Bigelow","bluntleaf bedstraw","Rubiaceae","750329-1","Galium obtusum","Species","Galium obtusum","750329-1"
37591,"GAOBA",NA,"Galium obtusum Bigelow ssp. australe Puff","bluntleaf bedstraw","Rubiaceae",NA,NA,NA,NA,NA
37592,"GAOBF2",NA,"Galium obtusum Bigelow ssp. filifolium (Wiegand) Puff","bluntleaf bedstraw","Rubiaceae","107133-2","Galium obtusum subsp. filifolium","Subspecies","Galium obtusum","750329-1"
37596,"GAOBO",NA,"Galium obtusum Bigelow ssp. obtusum","bluntleaf bedstraw","Rubiaceae","77168453-1","Galium obtusum subsp. obtusum","Subspecies","Galium obtusum","750329-1"
37599,"GAOD3",NA,"Galium odoratum (L.) Scop.","sweetscented bedstraw","Rubiaceae","750339-1","Galium odoratum","Species","Galium odoratum","750339-1"
37603,"GAOR",NA,"Galium oreganum Britton","Oregon bedstraw","Rubiaceae","107137-2","Galium oreganum","Species","Galium oreganum","107137-2"
37605,"GAOR2",NA,"Galium orizabense Hemsl.","bald bedstraw","Rubiaceae","107139-2","Galium orizabense","Species","Galium orizabense","107139-2"
37606,"GAORL",NA,"Galium orizabense Hemsl. ssp. laevicaule (Weath. & S.F. Blake) Dempster","bald bedstraw","Rubiaceae","107140-2","Galium orizabense subsp. laevicaule","Subspecies","Galium orizabense","107139-2"
37620,"GAPA3",NA,"Galium palustre L.","common marsh bedstraw","Rubiaceae","750370-1","Galium palustre","Species","Galium palustre","750370-1"
37621,"GAPA4",NA,"Galium parishii Hilend & J.T. Howell","Parish's bedstraw","Rubiaceae","107143-2","Galium parishii","Species","Galium parishii","107143-2"
37624,"GAPA5",NA,"Galium parisiense L.","wall bedstraw","Rubiaceae","750384-1","Galium parisiense","Species","Galium parisiense","750384-1"
37638,"GAPI2",NA,"Galium pilosum Aiton","hairy bedstraw","Rubiaceae","750432-1","Galium pilosum","Species","Galium pilosum","750432-1"
37641,"GAPIP",NA,"Galium pilosum Aiton var. puncticulosum (Michx.) Torr. & A. Gray","hairy bedstraw","Rubiaceae","750432-1","Galium pilosum","Species","Galium pilosum","750432-1"
37649,"GAPIP3",NA,"Galium pilosum Aiton var. pilosum","hairy bedstraw","Rubiaceae",NA,NA,NA,NA,NA
37651,"GAPO",NA,"Galium porrigens Dempster","graceful bedstraw","Rubiaceae","296179-2","Galium porrigens","Species","Galium porrigens","296179-2"
37656,"GAPO3",NA,"Galium pomeranicum Retz.","bedstraw","Rubiaceae","77072445-1","Galium × pomeranicum","Species","Galium × pomeranicum","77072445-1"
37658,"GAPOP",NA,"Galium porrigens Dempster var. porrigens","graceful bedstraw","Rubiaceae","77168468-1","Galium porrigens var. porrigens","Variety","Galium porrigens","296179-2"
37661,"GAPOT",NA,"Galium porrigens Dempster var. tenue (Dempster) Dempster","graceful bedstraw","Rubiaceae","107157-2","Galium porrigens var. tenue","Variety","Galium porrigens","296179-2"
37664,"GAPR",NA,"Galium proliferum A. Gray","limestone bedstraw","Rubiaceae","750459-1","Galium proliferum","Species","Galium proliferum","750459-1"
37696,"GARDE",NA,"Gardenia Ellis","gardenia","Rubiaceae","331627-2","Gardenia","Genus",NA,NA
37697,"GARE",NA,"Gardenia remyi H. Mann","Remy's gardenia","Rubiaceae","751214-1","Gardenia remyi","Species","Gardenia remyi","751214-1"
37706,"GARU",NA,"Galium rubioides L.","European bedstraw","Rubiaceae","750553-1","Galium rubioides","Species","Galium rubioides","750553-1"
37710,"GASA2",NA,"Galium saxatile L.","heath bedstraw","Rubiaceae","750586-1","Galium saxatile","Species","Galium saxatile","750586-1"
37711,"GASC2",NA,"Galium schultesii Vest","Schultes' bedstraw","Rubiaceae","750067-1","Galium intermedium","Species","Galium intermedium","750067-1"
37713,"GASE2",NA,"Galium serpenticum Dempster","Intermountain bedstraw","Rubiaceae","107188-2","Galium serpenticum","Species","Galium serpenticum","107188-2"
37717,"GASED",NA,"Galium serpenticum Dempster ssp. dayense Dempster & Ehrend.","Day's bedstraw","Rubiaceae","107189-2","Galium serpenticum subsp. dayense","Subspecies","Galium serpenticum","107188-2"
37718,"GASEM",NA,"Galium serpenticum Dempster ssp. malheurense Dempster & Ehrend.","Malheur bedstraw","Rubiaceae","107190-2","Galium serpenticum subsp. malheurense","Subspecies","Galium serpenticum","107188-2"
37719,"GASEO",NA,"Galium serpenticum Dempster ssp. okanoganense Dempster & Ehrend.","Okanoga bedstraw","Rubiaceae","107191-2","Galium serpenticum subsp. okanoganense","Subspecies","Galium serpenticum","107188-2"
37720,"GASEP",NA,"Galium serpenticum Dempster ssp. puberulum (Piper) Dempster & Ehrend.","Intermountain bedstraw","Rubiaceae","107192-2","Galium serpenticum subsp. puberulum","Subspecies","Galium serpenticum","107188-2"
37724,"GASES",NA,"Galium serpenticum Dempster ssp. scabridum (Ehrend.) Dempster & Ehrend.","Intermountain bedstraw","Rubiaceae","107194-2","Galium serpenticum subsp. scabridum","Subspecies","Galium serpenticum","107188-2"
37725,"GASES2",NA,"Galium serpenticum Dempster ssp. scotticum Dempster & Ehrend.","Scott Mountain bedstraw","Rubiaceae","107195-2","Galium serpenticum subsp. scotticum","Subspecies","Galium serpenticum","107188-2"
37726,"GASES3",NA,"Galium serpenticum Dempster ssp. serpenticum","Intermountain bedstraw","Rubiaceae","77168464-1","Galium serpenticum subsp. serpenticum","Subspecies","Galium serpenticum","107188-2"
37727,"GASEW",NA,"Galium serpenticum Dempster ssp. warnerense Dempster & Ehrend.","Warner Mountains bedstraw","Rubiaceae","107196-2","Galium serpenticum subsp. warnerense","Subspecies","Galium serpenticum","107188-2"
37728,"GASEW2",NA,"Galium serpenticum Dempster ssp. wenatchicum Dempster & Ehrend.","Intermountain bedstraw","Rubiaceae","107197-2","Galium serpenticum subsp. wenatchicum","Subspecies","Galium serpenticum","107188-2"
37736,"GASP2",NA,"Galium sparsiflorum W. Wight","Sequoia bedstraw","Rubiaceae","107201-2","Galium sparsiflorum","Species","Galium sparsiflorum","107201-2"
37744,"GASPG",NA,"Galium sparsiflorum W. Wight ssp. glabrius Dempster & Stebbins","Sequoia bedstraw","Rubiaceae","107202-2","Galium sparsiflorum subsp. glabrius","Subspecies","Galium sparsiflorum","107201-2"
37745,"GASPS",NA,"Galium sparsiflorum W. Wight ssp. sparsiflorum","Sequoia bedstraw","Rubiaceae","77168465-1","Galium sparsiflorum subsp. sparsiflorum","Subspecies","Galium sparsiflorum","107201-2"
37746,"GAST",NA,"Galium stellatum Kellogg","starry bedstraw","Rubiaceae","750671-1","Galium stellatum","Species","Galium stellatum","750671-1"
37753,"GASTE2",NA,"Galium stellatum Kellogg ssp. eremicum (Hilend & J.T. Howell) Ehrend.","starry bedstraw","Rubiaceae","750671-1","Galium stellatum","Species","Galium stellatum","750671-1"
37759,"GASY",NA,"Galium sylvaticum L.","Scotch mist","Rubiaceae","750701-1","Galium sylvaticum","Species","Galium sylvaticum","750701-1"
37760,"GATA",NA,"Gardenia taitensis DC.","Tahitian gardenia","Rubiaceae","751281-1","Gardenia taitensis","Species","Gardenia taitensis","751281-1"
37764,"GATE3",NA,"Galium texense A. Gray","Texas bedstraw","Rubiaceae","750734-1","Galium texense","Species","Galium texense","750734-1"
37769,"GATH",NA,"Gardenia thunbergia L. f.","Thunberg's gardenia","Rubiaceae",NA,NA,NA,NA,NA
37770,"GATI",NA,"Galium tinctorium (L.) Scop.","stiff marsh bedstraw","Rubiaceae","744208-1","Asperula tinctoria","Species","Asperula tinctoria","744208-1"
37781,"GATR2",NA,"Galium trifidum L.","threepetal bedstraw","Rubiaceae","750768-1","Galium trifidum","Species","Galium trifidum","750768-1"
37782,"GATR3",NA,"Galium triflorum Michx.","fragrant bedstraw","Rubiaceae","750771-1","Galium triflorum","Species","Galium triflorum","750771-1"
37787,"GATR6",NA,"Galium tricornutum Dandy","roughfruit corn bedstraw","Rubiaceae","107226-2","Galium tricornutum","Species","Galium tricornutum","107226-2"
