,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Manual_snippet,Sources
1,Adenium,,,2172-1,Genus,r,Manual check
2,Alafia,,,2180-1,Genus,r,Manual check
6,Amphineurion,,,2193-1,Genus,r,Manual check
7,Apteranthes,,,3206-1,Genus,r,Manual check
9,Calotropis,,,30369062-2,Genus,r,Manual check
12,Catharanthus,,,2251-1,Genus,r,Manual check
13,Caudanthera,,,986774-1,Genus,r,Manual check
16,Cryptolepis,,,3291-1,Genus,r,Manual check
17,Desmidorchis,,,3319-1,Genus,r,Manual check
20,Funtumia,,,295871-2,Genus,r,Manual check
22,Gomphocarpus,,,30051534-2,Genus,r,Manual check
23,Gongronema,,,3384-1,Genus,r,Manual check
25,Gymnema,,,3398-1,Genus,r,Manual check
27,Hemidesmus,,,3409-1,Genus,r,Manual check
29,Holarrhena,,,2371-1,Genus,r,Manual check
31,Kanahia,,,3453-1,Genus,r,Manual check
34,Leptadenia,,,3469-1,Genus,r,Manual check
36,Marsdenia,,,331758-2,Genus,r,Manual check
37,Mondia,,,3516-1,Genus,r,Manual check
38,Monolluma,,,986816-1,Genus,r,Manual check
39,Motandra,,,2442-1,Genus,r,Manual check
42,Pentalinon,,,2502-1,Genus,r,Manual check
43,Pergularia,,,3585-1,Genus,r,Manual check
44,Periploca,,,3588-1,Genus,r,Manual check
50,Secamone,,,30167675-2,Genus,r,Manual check
51,Streptocaulon,,,3733-1,Genus,r,Manual check
52,Strophanthus,,,2582-1,Genus,r,Manual check
54,Vallaris,,,2616-1,Genus,r,Manual check
56,Vincetoxicum,,,30010004-2,Genus,r,Manual check
59,Xysmalobium,,,3801-1,Genus,r,Manual check
129,Pachypodium,,,30028643-2,Genus,r,Manual check
130,Hoodia,,,3425-1,Genus,r,Manual check
