,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Manual_snippet,Sources
0,Acokanthera,,,2171-1,Genus,l,Manual check
3,Allamanda,,,2182-1,Genus,l,Manual check
4,Alstonia,,,331333-2,Genus,l,Manual check
5,Alyxia,,,331334-2,Genus,l,Manual check
8,Aspidosperma,,,2217-1,Genus,l,Manual check
11,Cascabela,,,2250-1,Genus,l,Manual check
14,Chilocarpus,,,2260-1,Genus,l,Manual check
15,Condylocarpon,,,328988-2,Genus,l,Manual check
18,Diplorhynchus,,,2301-1,Genus,l,Manual check
19,Dyera,,,2308-1,Genus,l,Manual check
21,Geissospermum,,,2340-1,Genus,l,Manual check
24,Gonioma,,,2342-1,Genus,l,Manual check
26,Hancornia,,,328990-2,Genus,l,Manual check
28,Himatanthus,,,30058664-2,Genus,l,Manual check
30,Hunteria,,,2377-1,Genus,l,Manual check
32,Kopsia,,,328837-2,Genus,l,Manual check
33,Landolphia,,,331696-2,Genus,l,Manual check
35,Leuconotis,,,2410-1,Genus,l,Manual check
40,Ochrosia,,,2461-1,Genus,l,Manual check
41,Parahancornia,,,2490-1,Genus,l,Manual check
45,Picralima,,,2513-1,Genus,l,Manual check
46,Pleiocarpa,,,2516-1,Genus,l,Manual check
47,Plumeria,,,30001863-2,Genus,l,Manual check
48,Rauvolfia,,,328992-2,Genus,l,Manual check
49,Schizozygia,,,2563-1,Genus,l,Manual check
53,Tabernaemontana,,,328993-2,Genus,l,Manual check
55,Vallesia,,,2617-1,Genus,l,Manual check
57,Voacanga,,,2620-1,Genus,l,Manual check
58,Wrightia,,,60443770-2,Genus,l,Manual check
