,taxa,knapsack_snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
16,Coffea canephora,"""['Acetic acid']""",KNApSAcK,Coffea canephora,Coffea canephora,747068-1,747068-1,Species
17,Coprosma propinqua,"""['Scopoletin']""",KNApSAcK,Coprosma propinqua,Coprosma propinqua,747476-1,747476-1,Species
18,Coprosma robusta,"""['Scopoletin']""",KNApSAcK,Coprosma robusta,Coprosma robusta,747499-1,747499-1,Species
19,Coprosma rotundifolia,"""['Lucidin', 'Scopoletin']""",KNApSAcK,Coprosma rotundifolia,Coprosma rotundifolia,747500-1,747500-1,Species
20,Coprosma tenuicaulis,"""['Scopoletin']""",KNApSAcK,Coprosma tenuicaulis,Coprosma tenuicaulis,747520-1,747520-1,Species
21,Coussarea macrophylla,"""['Scopoletin']""",KNApSAcK,Coussarea macrophylla,Coussarea macrophylla,747706-1,747706-1,Species
22,Cruciata taurica,"""['Quercetin', 'Scopoletin']""",KNApSAcK,Cruciata taurica,Cruciata taurica,747968-1,747968-1,Species
23,Mitragyna inermis,"""['Quercetin']""",KNApSAcK,Mitragyna inermis,Mitragyna inermis,756296-1,756296-1,Species
24,Mitragyna rotundifolia,"""['Caffeic acid']""",KNApSAcK,Mitragyna rotundifolia,Mitragyna rotundifolia,756301-1,756301-1,Species
25,Mitragyna speciosa,"""['Quercetin', 'Caffeic acid']""",KNApSAcK,Mitragyna speciosa,Mitragyna speciosa,756303-1,756303-1,Species
26,Morinda citrifolia,"""['Lucidin', 'Scopoletin', 'Alizarin']""",KNApSAcK,Morinda citrifolia,Morinda citrifolia,756359-1,756359-1,Species
27,Morinda morindoides,"""['Quercetin']""",KNApSAcK,Morinda morindoides,Morinda morindoides,756428-1,756428-1,Species
28,Nauclea diderrichii,"""['Desoxycordifoline', 'Desoxycordifolinic acid']""",KNApSAcK,Nauclea diderrichii,Nauclea diderrichii,757089-1,757089-1,Species
29,Nauclea latifolia,"""['17-Epinaucleidinal', '18,19-Dihydroangustine']""",KNApSAcK,Nauclea latifolia,Nauclea latifolia,757144-1,757144-1,Species
30,Rubia cordifolia,"""['Alizarin']""",KNApSAcK,Rubia cordifolia,Rubia cordifolia,765218-1,765218-1,Species
31,Rubia tinctorum,"""['Lucidin', 'Alizarin']""",KNApSAcK,Rubia tinctorum,Rubia tinctorum,765369-1,765369-1,Species
32,Rubia wallichiana,"""['Lucidin', 'Scopoletin']""",KNApSAcK,Rubia wallichiana,Rubia wallichiana,765383-1,765383-1,Species
33,Uncaria africana,"""['Ajmalicine']""",KNApSAcK,Uncaria africana,Uncaria africana,768207-1,768207-1,Species
34,Uncaria elliptica,"""['Ajmalicine']""",KNApSAcK,Uncaria elliptica,Uncaria elliptica,768231-1,768231-1,Species
35,Uncaria gambir,"""['Gallic acid']""",KNApSAcK,Uncaria gambir,Uncaria gambir,60458896-2,60458896-2,Species
36,Uncaria orientalis,"""['Ajmalicine']""",KNApSAcK,Uncaria orientalis,Uncaria orientalis,768281-1,768281-1,Species
37,Uncaria rhynchophylla,"""['Cadambine', '3alpha-Dihydrocadambine', 'Angustidine']""",KNApSAcK,Uncaria rhynchophylla,Uncaria rhynchophylla,768297-1,768297-1,Species
38,Uncaria sinensis,"""['Caffeic acid', 'Scopoletin', '3alpha-Dihydrocadambine']""",KNApSAcK,Uncaria sinensis,Uncaria sinensis,768314-1,768314-1,Species
