,taxa,knapsack_snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Catharanthus roseus,"""['Ajmalicine', 'Gallic acid', 'Quercetin']""",KNApSAcK,Catharanthus roseus,Catharanthus roseus,77880-1,77880-1,Species
1,Nerium oleander,"""['Quercetin']""",KNApSAcK,Nerium oleander,Nerium oleander,80460-1,80460-1,Species
2,Ochrosia moorei,"""['Desoxycordifoline']""",KNApSAcK,Ochrosia moorei,Ochrosia moorei,80527-1,80527-1,Species
3,Rauvolfia serpentina,"""['Ajmalicine']""",KNApSAcK,Rauvolfia serpentina,Rauvolfia serpentina,81648-1,81648-1,Species
4,Rauvolfia verticillata,"""['Robinin']""",KNApSAcK,Rauvolfia verticillata,Rauvolfia verticillata,81667-1,81667-1,Species
5,Rhazya stricta,"""['Robinin']""",KNApSAcK,Rhazya stricta,Rhazya stricta,81712-1,81712-1,Species
6,Tabernaemontana arborea,"""['Voacamine']""",KNApSAcK,Tabernaemontana arborea,Tabernaemontana arborea,248839-2,248839-2,Species
7,Tabernaemontana oppositifolia,"""['Voacamine']""",KNApSAcK,Tabernaemontana oppositifolia,Tabernaemontana oppositifolia,248887-2,248887-2,Species
8,Tabernaemontana pachysiphon,"""['Voacamine']""",KNApSAcK,Tabernaemontana pachysiphon,Tabernaemontana pachysiphon,82263-1,82263-1,Species
9,Voacanga africana,"""['Voacamine']""",KNApSAcK,Voacanga africana,Voacanga africana,82719-1,82719-1,Species
10,Voacanga globosa,"""['Voacamine']""",KNApSAcK,Voacanga globosa,Voacanga globosa,82738-1,82738-1,Species
11,Voacanga thouarsii,"""['Voacamine']""",KNApSAcK,Voacanga thouarsii,Voacanga thouarsii,82760-1,82760-1,Species
12,Adina cordifolia,"""['Cadambine']""",KNApSAcK,Adina cordifolia,Adina cordifolia,742903-1,742903-1,Species
13,Chimarrhis turbinata,"""['Desoxycordifoline']""",KNApSAcK,Chimarrhis turbinata,Chimarrhis turbinata,308173-2,308173-2,Species
14,Coelospermum reticulatum,"""['Lucidin']""",KNApSAcK,Coelospermum reticulatum,Coelospermum reticulatum,747019-1,747019-1,Species
15,Coffea arabica,"""['Caffeic acid', 'Acetic acid']""",KNApSAcK,Coffea arabica,Coffea arabica,747038-1,747038-1,Species
