,taxa,knapsack_snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
10,Alstonia mairei,"""['Sarpagine', 'Skimmianine', 'Tetrahydroalstonine']""",KNApSAcK,Alstonia mairei,Alstonia mairei,76557-1,76557-1,Species
11,Alstonia muelleriana,"""['(+)-Quebrachidine', 'Alstonisine', 'Alstonerine']""",KNApSAcK,Alstonia muelleriana,Alstonia muelleriana,76562-1,76562-1,Species
12,Alstonia odontophora,"""['(+)-Quebrachidine', '(-)-Vincamajine']""",KNApSAcK,Alstonia odontophora,Alstonia odontophora,76565-1,76565-1,Species
13,Alstonia quaternata,"""['(-)-Vincamajine', 'Quaternine', 'Quaternatine']""",KNApSAcK,Alstonia quaternata,Alstonia quaternata,76580-1,76580-1,Species
14,Alstonia scholaris,"""['Stemmadenine', 'Strictosidine', '4,21-Dehydrogeissoschizine', '(E)-Geissoschizine', 'Echitamine', 'Echitamidine', 'Akuammiline', 'Picraline', 'Tetrahydroalstonine', '(-)-Akuammicine:Akuammicine', 'Akuammidine', 'Salutaridine', 'Cantleyine', 'Leuconoxine', 'Hydroxy-19,20-dihydroakuammicine', 'N(4)-Demethylechitamine', 'Picrinine', 'Pseudoakuammigine', 'Tubotaiwine', '(+)-Dicentrine', 'Vallesamine', 'Vallesiachotamine', '(-)-Discretamine', 'Corypalmine', 'Deacetylakuammiline', '6,7-seco-Angustilobine B', 'Manilamine', 'Akuammicine N-oxide', 'Echitamidine N-oxide', 'Echitamidine-N-oxide 19-O-beta-D-glucopyranoside', 'Nb-Demethylalstogustine N-oxide', 'Isogentialutine']""",KNApSAcK,Alstonia scholaris,Alstonia scholaris,60445977-2,60445977-2,Species
15,Alstonia spatulata,"""['Echitamine']""",KNApSAcK,Alstonia spatulata,Alstonia spatulata,76595-1,76595-1,Species
16,Alstonia spectabilis,"""['(+)-Quebrachidine', '(-)-Vincamajine', 'Echitamine']""",KNApSAcK,Alstonia spectabilis,Alstonia spectabilis,76597-1,76597-1,Species
17,Alstonia sphaerocapitata,"""['(+)-Quebrachidine', '(-)-Vincamedine', '(-)-10-Methoxyvincamedine', '(-)-10-Methoxyvincamedine N-oxide']""",KNApSAcK,Alstonia sphaerocapitata,Alstonia sphaerocapitata,76598-1,76598-1,Species
18,Alstonia venenata,"""['(+)-Raucaffrinoline', '(-)-Echitoveniline', '(-)-Kopsinine', '19-Epi-(+)-echitoveniline', 'Alstovenine', 'Venenatine', 'Venoxidine']""",KNApSAcK,Alstonia venenata,Alstonia venenata,76602-1,76602-1,Species
19,Alstonia vieillardii,"""['Vincamajine 17-O-veratrate']""",KNApSAcK,Alstonia vieillardii,Alstonia vieillardii,76604-1,76604-1,Species
20,Alstonia yunnanensis,"""['Normacusine B', 'Lochnericine', 'Picraline', 'Sarpagine', 'Tetrahydroalstonine', 'Picrinine', 'Pseudoakuammigine', '(+)-Raucaffrinoline', '(-)-Echitoveniline', 'Reserpine', 'Tabersonine', '(+)-Perakine', '(-)-Vinorine', '(-)-Hazuntine', '11-Methoxytabersonine', '19R-Hydroxy-11-methoxy-tabersonine', '19-Epiajmalicine', 'Compactinervine', 'Vellosimine', '19-Acetoxy-11-methoxytabersonine', 'Alstoyunine A', 'Alstoyunine B', 'Alstoyunine C', 'Alstoyunine D', 'Alstoyunine E', 'Alstoyunine F', 'Alstoyunine G', 'Alstoyunine H', 'Echitoserpidine']""",KNApSAcK,Alstonia yunnanensis,Alstonia yunnanensis,76608-1,76608-1,Species
21,Amsonia elliptica,"""['3-Oxotabersonine', 'Tabersonine N-oxide', '(+)-14,15-Dehydro-16-epivincamine']""",KNApSAcK,Amsonia elliptica,Amsonia elliptica,76906-1,76906-1,Species
22,Amsonia tabernaemontana,"""['Tabersonine', '(-)-Eburnamine', 'Vincadine']""",KNApSAcK,Amsonia tabernaemontana,Amsonia tabernaemontana,76931-1,76931-1,Species
23,Araujia sericifera,"""['Rostratamine']""",KNApSAcK,Araujia sericifera,Araujia sericifera,30117279-2,30117279-2,Species
24,Asclepias syriaca,"""['Nicotine']""",KNApSAcK,Asclepias syriaca,Asclepias syriaca,319076-2,319076-2,Species
25,Aspidosperma album,"""['(+)-Aspidospermidine', '(+)-Fendlerine', 'Alalakine', 'Aspidolimidine', 'Limaspermine', 'N-Acetylaspidospermidine']""",KNApSAcK,Aspidosperma album,Aspidosperma album,77325-1,77325-1,Species
26,Aspidosperma carapanauba,"""['Carapanaubine']""",KNApSAcK,Aspidosperma carapanauba,Aspidosperma carapanauba,290346-2,290346-2,Species
27,Aspidosperma cylindrocarpon,"""['Cylindrocarpidine']""",KNApSAcK,Aspidosperma cylindrocarpon,Aspidosperma cylindrocarpon,21952-2,21952-2,Species
28,Aspidosperma discolor,"""['Isoreserpiline']""",KNApSAcK,Aspidosperma discolor,Aspidosperma discolor,77354-1,77354-1,Species
29,Aspidosperma eburneum,"""['(-)-Apparicine']""",KNApSAcK,Aspidosperma eburneum,Aspidosperma eburneum,77361-1,77361-1,Species
30,Aspidosperma excelsum,"""['N-Acetylaspidospermidine', 'Excelsinine', 'O-Acetylyohimbine']""",KNApSAcK,Aspidosperma excelsum,Aspidosperma excelsum,77367-1,77367-1,Species
31,Aspidosperma limae,"""['Compactinervine', 'Aspidolimidine', 'Limaspermine']""",KNApSAcK,Aspidosperma limae,Aspidosperma limae,21994-2,21994-2,Species
32,Aspidosperma megalocarpon,"""['Aspidocarpine']""",KNApSAcK,Aspidosperma megalocarpon,Aspidosperma megalocarpon,77405-1,77405-1,Species
33,Aspidosperma multiflorum,"""['(-)-Kopsinine', 'Compactinervine', '(-)-Apparicine']""",KNApSAcK,Aspidosperma multiflorum,Aspidosperma multiflorum,77410-1,77410-1,Species
34,Aspidosperma nigricans,"""['Compactinervine', 'Olivacine']""",KNApSAcK,Aspidosperma nigricans,Aspidosperma nigricans,22012-2,22012-2,Species
35,Aspidosperma oblongum,"""['10-Methoxy-17-epi-alloyohimbine', '10-Methoxy-alpha-yohimbine', '10-Methoxy-beta-yohimbine', '17-Epialloyohimbine', '19,20-Dehydro-alpha-yohimbine', '3,4-Dehydro-beta-yohimbine', 'beta-Yohimbine N-oxide']""",KNApSAcK,Aspidosperma oblongum,Aspidosperma oblongum,77418-1,77418-1,Species
36,Aspidosperma olivaceum,"""['Compactinervine', '(-)-Apparicine', 'Olivacine']""",KNApSAcK,Aspidosperma olivaceum,Aspidosperma olivaceum,22020-2,22020-2,Species
37,Aspidosperma polyneuron,"""['Normacusine B', 'Polyneuridine']""",KNApSAcK,Aspidosperma polyneuron,Aspidosperma polyneuron,77433-1,77433-1,Species
38,Aspidosperma pyrifolium,"""['(-)-Aspidospermine']""",KNApSAcK,Aspidosperma pyrifolium,Aspidosperma pyrifolium,77437-1,77437-1,Species
39,Aspidosperma quebracho-blanco,"""['(+)-Quebrachidine', '(-)-Aspidospermine', '(-)-Quebrachamine', 'Aspidochibine', '(+)-Eburnamenine', 'Aspidospermatine', 'Rhazidigenine Nb-oxide', 'Rhazidigenine']""",KNApSAcK,Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco,77440-1,77440-1,Species
40,Aspidosperma ramiflorum,"""['beta-Yohimbine', 'Ramiflorine A', 'Ramiflorine B']""",KNApSAcK,Aspidosperma ramiflorum,Aspidosperma ramiflorum,77443-1,77443-1,Species
41,Aspidosperma spruceanum,"""['Compactinervine']""",KNApSAcK,Aspidosperma spruceanum,Aspidosperma spruceanum,22069-2,22069-2,Species
42,Aspidosperma subincanum,"""['Ellipticine', '(+/-)-Epiuleine']""",KNApSAcK,Aspidosperma subincanum,Aspidosperma subincanum,77465-1,77465-1,Species
43,Callichilia barteri,"""['Callichiline']""",KNApSAcK,Callichilia barteri,Callichilia barteri,77635-1,77635-1,Species
44,Catharanthus lanceus,"""['Leurosine', 'Cathovaline']""",KNApSAcK,Catharanthus lanceus,Catharanthus lanceus,77876-1,77876-1,Species
45,Catharanthus longifolius,"""['Leurosine', 'Antirhine', 'Vindoline', 'Vindolinine']""",KNApSAcK,Catharanthus longifolius,Catharanthus longifolius,77877-1,77877-1,Species
46,Catharanthus ovalis,"""['Leurosine', 'Cathovaline', 'Vindoline', 'Vindolinine', '(-)-Venalstonidine', '(-)-Venalstonine', '14-Hydroxycathovaline', '19-Epivindolinine', '19R-Hydroxytabersonine', '19S-Hydroxytabersonine', 'Cathovalinine', 'Deacetylcathovaline', 'Kitraline', 'Kitramine', 'Vindorosine']""",KNApSAcK,Catharanthus ovalis,Catharanthus ovalis,77878-1,77878-1,Species
47,Catharanthus pusillus,"""['Lochnericine', 'Leurosine', 'Vindoline', 'Vindorosine']""",KNApSAcK,Catharanthus pusillus,Catharanthus pusillus,77879-1,77879-1,Species
48,Catharanthus roseus,"""['16R,19E-Isositsirikine', '10-O-Methylsarpagine', 'Sitsirikine', 'Stemmadenine', 'Strictosidine', '4,21-Dehydrogeissoschizine', '(E)-Geissoschizine', 'Alstonine', 'Lochnericine', 'Tetrahydroalstonine', '(-)-Akuammicine:Akuammicine', 'Tabersonine', '(-)-Hazuntine', '11-Methoxytabersonine', '19R-Hydroxy-11-methoxy-tabersonine', 'Leurosine', 'Cathovaline', 'Vindoline', 'Vindolinine', '(-)-Venalstonine', '19-Epivindolinine', '19R-Hydroxytabersonine', 'Vindorosine', 'L-Phenylalanine', 'Tryptamine', 'Ajmalicine', 'Catharanthine', '(-)-Coronaridine', 'Ibogamine', 'Leurosidine', 'Mitraphylline', 'Serpentine', 'Vinblastine', 'Vincamine', 'Vincristine', '(+)-Minovincinine', '(-)-Vincadifformine', '11-Hydroxytabersonine', '14,15-Didehydro-epivincadine', '19-Epivindolinine N-oxide', 'Bannucine', 'Deacetylvindoline', 'Vincoline', 'Vindolinine N-oxide', 'Voacangine', 'Pericyclivine', 'Perivine', 'Pleiocarpamine', 'Isoleurosine', 'Lochneridine', '16-Methoxy-2,3-dihydro-3hydro-3-hydroxytabersoine', 'Minovincinine', ""3',4'-Anhydrovinblastine"", 'Cathenamine', 'Desacetoxyvindoline', 'Epicathenamine', '(16R)-Z-Isositsirikine', 'Echitovenine', 'Vinorelbine', 'hoerhammericine']""",KNApSAcK,Catharanthus roseus,Catharanthus roseus,77880-1,77880-1,Species
49,Catharanthus trichophyllus,"""['Lochnericine', '(-)-Echitoveniline', 'Vindolinine', '19-Epivindolinine', '(+)-Minovincinine', 'Trichophylline']""",KNApSAcK,Catharanthus trichophyllus,Catharanthus trichophyllus,77882-1,77882-1,Species
50,Craspidospermum verticillatum,"""['(-)-Craspidospermine', '(+)-Andrangine', '14,15-Dehydro-16-epi-vincine']""",KNApSAcK,Craspidospermum verticillatum,Craspidospermum verticillatum,78180-1,78180-1,Species
51,Crioceras dipladeniiflorus,"""['(+)-14,15-Dehydro-16-epivincamine', '(+)-Andrangine', '(-)-Criocerine', '14,15-Dehydro-12-methoxyvincamine']""",KNApSAcK,Crioceras dipladeniiflorus,Crioceras dipladeniiflorus,78181-1,78181-1,Species
52,Cryptolepis sanguinolenta,"""['Cryptolepine', '5-Methyl-5H-indolo[2,3-b]quinoline', 'Isocryptolepine', '11-Isopropylcryptolepine', 'Cryptomisrine', 'Biscryptolepine', '11-Hydroxycryptolepine', 'Cryptoheptine', 'Cryptospirolepine']""",KNApSAcK,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,95951-1,95951-1,Species
53,Cynanchum otophyllum,"""['Rostratamine']""",KNApSAcK,Cynanchum otophyllum,Cynanchum otophyllum,96460-1,96460-1,Species
54,Cynanchum wallichii,"""['Rostratamine']""",KNApSAcK,Cynanchum wallichii,Cynanchum wallichii,96692-1,96692-1,Species
55,Diplorhynchus condylocarpon,"""['Normacusine B', 'Norfluorocurarine', 'Condylocarpine', 'Stemmadenine']""",KNApSAcK,Diplorhynchus condylocarpon,Diplorhynchus condylocarpon,78310-1,78310-1,Species
56,Dyera costulata,"""['Ochrolifuanine A']""",KNApSAcK,Dyera costulata,Dyera costulata,78323-1,78323-1,Species
57,Funtumia elastica,"""['Funtumine', 'Irehine']""",KNApSAcK,Funtumia elastica,Funtumia elastica,79099-1,79099-1,Species
58,Geissospermum argenteum,"""['N-Acetylaspidospermidine', 'Aspidocarpine', '(-)-Aspidospermine']""",KNApSAcK,Geissospermum argenteum,Geissospermum argenteum,108063-2,108063-2,Species
59,Geissospermum sericeum,"""['Geissoschizoline', 'Geissospermine', 'Flavopereirine', 'Geissoschizoline N4-oxide']""",KNApSAcK,Geissospermum sericeum,Geissospermum sericeum,1006780-1,1006780-1,Species
60,Gonioma kamassi,"""['Rhazidine']""",KNApSAcK,Gonioma kamassi,Gonioma kamassi,79133-1,79133-1,Species
61,Gonioma malagasy,"""['Goniomitine']""",KNApSAcK,Gonioma malagasy,Gonioma malagasy,79134-1,79134-1,Species
62,Haplophyton cimicidum,"""['(-)-Eburnamine', 'Cimicidine', 'Cimicine', 'Haplocidine', '(-)-O-Methyleburnamine', '(+)-Isoeburnamine', 'Haplophytine']""",KNApSAcK,Haplophyton cimicidum,Haplophyton cimicidum,79244-1,79244-1,Species
63,Haplophyton crooksii,"""['Akuammidine', 'Tubotaiwine', 'beta-Yohimbine', 'Cimicidine', 'Cimicine', 'Haplophytine', 'Yohimbine', 'Crooksidine', '10-Methoxy-Na-methylpericyclivine', '16-Decarbomethoxyvinervinine', '19alpha,20alpha-Epoxyakuammicine', 'Crooksiine', 'Lanceomigine']""",KNApSAcK,Haplophyton crooksii,Haplophyton crooksii,117868-2,117868-2,Species
64,Heterostemma brownii,"""['Heteromine D', 'Heteromine E', 'Heteromine F', 'Heteromine G', 'Heteromine H']""",KNApSAcK,Heterostemma brownii,Heterostemma brownii,98277-1,98277-1,Species
65,Holarrhena congolensis,"""['Funtumine', 'Conessine', 'Kisantamine']""",KNApSAcK,Holarrhena congolensis,Holarrhena congolensis,79294-1,79294-1,Species
66,Holarrhena curtisii,"""['Holacurtine', '15alpha-Hydroxyholamine', '17-epi-holacurtine', 'Holamine', 'N-Demethylholacurtine']""",KNApSAcK,Holarrhena curtisii,Holarrhena curtisii,79297-1,79297-1,Species
67,Holarrhena floribunda,"""['Conessine', 'Holamine', 'Holadienine', 'Holaline', 'Holaphyllidine', 'Holaromine', 'Holarrheline', 'Holarrhesine']""",KNApSAcK,Holarrhena floribunda,Holarrhena floribunda,79302-1,79302-1,Species
68,Holarrhena mitis,"""['Mitiphylline', 'N-Demethylmitiphylline']""",KNApSAcK,Holarrhena mitis,Holarrhena mitis,79311-1,79311-1,Species
69,Holarrhena pubescens,"""['Conessine', 'Kurchessine', 'Isoconessimine']""",KNApSAcK,Holarrhena pubescens,Holarrhena pubescens,79318-1,79318-1,Species
70,Hunteria congolana,"""['(-)-Eburnamine', '(+)-Eburnamenine', '(-)-Vincadifformine', '(+)-Isoeburnamine', '(-)-Umbellamine']""",KNApSAcK,Hunteria congolana,Hunteria congolana,79342-1,79342-1,Species
71,Hunteria umbellata,"""['(-)-Umbellamine']""",KNApSAcK,Hunteria umbellata,Hunteria umbellata,79368-1,79368-1,Species
72,Hunteria zeylanica,"""['(-)-Kopsinine', '(-)-Eburnamine', '(+)-Eburnamenine', 'Perivine', '(-)-O-Methyleburnamine', '(+)-Isoeburnamine', 'Vobasine', 'Tuboxenine', '(-)-Norpleiomutine', 'Bisnicalaterine A']""",KNApSAcK,Hunteria zeylanica,Hunteria zeylanica,79369-1,79369-1,Species
73,Kibatalia gitingensis,"""['Gitingensine', 'Lanitine']""",KNApSAcK,Kibatalia gitingensis,Kibatalia gitingensis,79454-1,79454-1,Species
74,Kopsia arborea,"""['Mersicarpine', 'Prunifoline D', 'Prunifoline F', '19(R)-Methoxytubotaiwine', '19(S)-Methoxytubotaiwine', 'Arboflorine', 'Arboloscine', 'Arbophylline', 'Arboricine', 'Arboricinine', 'Kopsamidine A', 'Kopsamidine B', 'Kopsinidine A', 'Kopsinidine B', 'Paucidactine C', 'Pericine N-oxide', 'Rhazinaline', 'Valparicine', 'Kopsiyunnanine C1', 'Kopsiyunnanine C2', 'Kopsiyunnanine C3', 'Kopsiyunnanine D']""",KNApSAcK,Kopsia arborea,Kopsia arborea,79490-1,79490-1,Species
75,Kopsia dasyrachis,"""['Tetrahydroalstonine', 'Leuconoxine', '(-)-Kopsinine', 'Pleiocarpamine', '(+)-Isoeburnamine', '(-)-Norpleiomutine', 'Rhazinaline', 'Kopsirachine', 'Kopsamine', 'Kopsidasine', 'Kopsidasine N-oxide', 'Kopsidasinine', 'Paucidactine B', 'Pleiocarpine', '(+)-Eburnamonine', 'Kopsilongine', '(-)-Demethylnorpleiomutine', '11,12-Methylenedioxykopsine', '11-Methoxykopsilongine N(4)-oxide', '12-Methoxypleiocarpine', 'Danuphylline', 'Dasyrachine', 'Decarbomethoxykopsifine', 'Kinabalurine G', 'Kopsifine', 'Kopsiflorine', 'Kopsiflorine N(4)-oxide', 'Kopsinarine', 'Kopsine']""",KNApSAcK,Kopsia dasyrachis,Kopsia dasyrachis,79494-1,79494-1,Species
76,Kopsia deverrei,"""['Kopsamine', '16-Epideacetylakuammiline']""",KNApSAcK,Kopsia deverrei,Kopsia deverrei,929492-1,929492-1,Species
77,Kopsia fruticosa,"""['(-)-Kopsinine', 'Pleiocarpamine', 'Mersicarpine', 'Kopsamine', 'Kopsine', 'Fruticosine', 'Kopsifoline A', 'Kopsifoline B', 'Kopsifoline C', 'Kopsifoline D', 'Kopsifoline E', 'Kopsifoline F', 'Kopsorinine', 'Lonicerine']""",KNApSAcK,Kopsia fruticosa,Kopsia fruticosa,79497-1,79497-1,Species
78,Kopsia griffithii,"""['Tetrahydroalstonine', 'Leuconoxine', '(-)-Kopsinine', 'Kopsamine', 'Pleiocarpine', '(+)-Eburnamonine', 'Kopsilongine', '12-Methoxypleiocarpine', '16-Epideacetylakuammiline', '(+)-Harmicine', '12-Methoxy-10-demethoxy-kopsidasinine', '16-epi-Deacetylakuammiline N(4)-oxide', 'Akuammiline N(4)-oxide']""",KNApSAcK,Kopsia griffithii,Kopsia griffithii,79499-1,79499-1,Species
79,Kopsia hainanensis,"""['(-)-Kopsinine', '(+)-Eburnamenine', 'Kopsinoline', '(+)-Kopsoffine']""",KNApSAcK,Kopsia hainanensis,Kopsia hainanensis,79500-1,79500-1,Species
80,Kopsia lapidilecta,"""['(-)-Venalstonine', '(-)-Lapidilectine A', '(+)-Lapidilectine B']""",KNApSAcK,Kopsia lapidilecta,Kopsia lapidilecta,79507-1,79507-1,Species
81,Kopsia larutensis,"""['(-)-Kopsinine']""",KNApSAcK,Kopsia larutensis,Kopsia larutensis,60436658-2,60436658-2,Species
82,Kopsia macrophylla,"""['Akuammiline', 'Deacetylakuammiline', '(-)-Norpleiomutine', '(+)-Kopsoffine', 'Dregamine', 'Tabernaemontanine']""",KNApSAcK,Kopsia macrophylla,Kopsia macrophylla,79511-1,79511-1,Species
83,Kopsia pauciflora,"""['(-)-Kopsinine', '(-)-Eburnamine', 'Kopsamine', 'Paucidactine B', '(+)-Eburnamonine', 'Kopsilongine', '12-Methoxy-10-demethoxy-kopsidasinine', '(-)-11,12-Dimethoxy-N-methoxycarbonyl-kopsinaline', 'Kopsamine N-oxide', 'Paucidactine A', 'Pauciflorine A', 'Pauciflorine B', '(+)-19-Oxoeburnamine', 'Kinabalurine A', 'Kinabalurine B', 'Kinabalurine C', 'Kinabalurine D', 'Kinabalurine E', 'Kinabalurine F']""",KNApSAcK,Kopsia pauciflora,Kopsia pauciflora,79516-1,79516-1,Species
84,Kopsia singapurensis,"""['Mersicarpine', 'Rhazinaline', '11,12-(Methylenedioxy)kopsaporine', 'Kopsingine', 'Singapurensine A', 'Singapurensine B', 'Singapurensine C', 'Singapurensine D', '16-Epikopsinine', 'Aspidophylline A', 'Kopsilongine-N-oxide', 'Kopsiloscine A', 'Kopsiloscine B', 'Kopsiloscine C', 'Kopsiloscine D', 'Kopsiloscine E', 'Kopsiloscine H', 'Kopsiloscine I', 'Kopsiloscine J', 'Kopsimaline A', 'Kopsimaline B', 'Kopsimaline C', 'Kopsimaline D', 'Kopsimaline E', 'Kopsinicine', 'Vincophylline']""",KNApSAcK,Kopsia singapurensis,Kopsia singapurensis,79524-1,79524-1,Species
85,Kopsia tenuis,"""['Lundurine A', 'Lundurine B', 'Lundurine C', 'Tenuisine A', 'Tenuisine B', 'Tenuisine C']""",KNApSAcK,Kopsia tenuis,Kopsia tenuis,79526-1,79526-1,Species
86,Kopsia teoi,"""['Akuammiline', 'Deacetylakuammiline', '11,12-(Methylenedioxy)kopsaporine', 'Kopsingine', 'Kopsaporine', 'Kopsidine A', 'Kopsidine B', 'Kopsidine C', 'Kopsinginine', 'Kopsinitarine A', 'Kopsinitarine B', 'Kopsinitarine C', 'Kopsinitarine D', 'Mersingine A', 'Mersingine B']""",KNApSAcK,Kopsia teoi,Kopsia teoi,972022-1,972022-1,Species
87,Leuconotis griffithii,"""['(-)-Eburnamine', '(-)-O-Methyleburnamine', '(+)-O-methylisoeburnamine']""",KNApSAcK,Leuconotis griffithii,Leuconotis griffithii,79773-1,79773-1,Species
88,Marsdenia rostrata,"""['Rostratamine']""",KNApSAcK,Marsdenia rostrata,Marsdenia rostrata,99275-1,99275-1,Species
89,Melodinus aeneus,"""['Lochnericine', '(-)-Hazuntine', '11-Methoxytabersonine', '(+)-14,15-Dehydro-16-epivincamine', '14,15-Dehydro-16-epi-vincine']""",KNApSAcK,Melodinus aeneus,Melodinus aeneus,80160-1,80160-1,Species
90,Melodinus balansae,"""['(-)-Venalstonidine', '(-)-Venalstonine', '(+)-Ajmaline', 'Paucivenine']""",KNApSAcK,Melodinus balansae,Melodinus balansae,80169-1,80169-1,Species
91,Melodinus fusiformis,"""['(-)-Kopsinine', '11-Methoxytabersonine', 'Vindoline', '(-)-Venalstonine', '11-Hydroxytabersonine', '(+)-Scandine', '10-Hydroxyscandine', '11,19R-Dihydroxytabersonine', '11-Hydroxy-14,15-epoxytabersonine', 'Scandine N-oxide']""",KNApSAcK,Melodinus fusiformis,Melodinus fusiformis,80201-1,80201-1,Species
92,Melodinus reticulatus,"""['(-)-Kopsinine', '11-Methoxytabersonine', '(-)-Venalstonidine', '(-)-Venalstonine', '19beta-Hydroxyvenalstonidine', '19beta-Hydroxyvenalstonine', '3-Oxovenalstonidine']""",KNApSAcK,Melodinus reticulatus,Melodinus reticulatus,80249-1,80249-1,Species
93,Melodinus scandens,"""['Lochnericine', '3-Oxotabersonine', '(+)-14,15-Dehydro-16-epivincamine', '(-)-Venalstonidine', '(-)-Venalstonine', '19R-Hydroxytabersonine', '(-)-Vincadifformine', '(+)-Scandine', '19S-Acetoxy-3-oxotabersonine', '19S-Acetoxytabersonine', 'Meloscandonine', 'Meloscine']""",KNApSAcK,Melodinus scandens,Melodinus scandens,80253-1,80253-1,Species
94,Melodinus tenuicaudatus,"""['(-)-Hazuntine', '11-Methoxytabersonine', 'Vindolinine', '11-Hydroxytabersonine', '19-Epivindolinine N-oxide', 'Vindolinine N-oxide', '(+)-Scandine', '10-Hydroxyscandine', '(+)-Tenuicausine']""",KNApSAcK,Melodinus tenuicaudatus,Melodinus tenuicaudatus,80259-1,80259-1,Species
95,Microplumeria anomala,"""['12-O-Methylanomaline', 'Demethoxyanomaline']""",KNApSAcK,Microplumeria anomala,Microplumeria anomala,80344-1,80344-1,Species
96,Ochrosia acuminata,"""['(+)-Quebrachidine', 'Isoreserpiline', 'Ellipticine', 'Reserpiline', 'Polyneuridine-N-oxide', '9-Methoxyellipticine', 'Voachalotine']""",KNApSAcK,Ochrosia acuminata,Ochrosia acuminata,80487-1,80487-1,Species
97,Ochrosia elliptica,"""['Norfluorocurarine', 'Tetrahydroalstonine', '(-)-Apparicine', 'Ellipticine', 'Pleiocarpamine']""",KNApSAcK,Ochrosia elliptica,Ochrosia elliptica,80500-1,80500-1,Species
98,Ochrosia lifuana,"""['Ochrolifuanine A']""",KNApSAcK,Ochrosia lifuana,Ochrosia lifuana,80519-1,80519-1,Species
