,taxa,knapsack_snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Alstonia angustifolia,"""['Affinisine', '(+)-Quebrachidine', '(-)-Vincamajine', 'Normacusine B', '16R,19E-Isositsirikine', 'Norfluorocurarine', 'Talcarpine', 'Alstonisine', '10-Methoxyaffinisine', 'Isoalstonisine', 'Macrogentine', 'Alstonoxine A', 'Alstonoxine B', 'Alstofoline', 'Affinisine oxindole', 'Lagumicine', 'Alstonerine', 'Alstophylline', 'N(4)-Methyl-N(4),21-seco-talpinine', '10-O-Methylsarpagine', 'Alstoumerine', 'Cathafoline', 'Cathafoline N(4)-oxide', '11-Hydroxystrictamine', '11-Methoxystrictamine', 'Vincorine', '10-Methoxyvincamajine', 'Sitsirikine', '11-Methoxyakuammicine', 'Alstovine', '19,20-Didehydro-10-methoxytalcarpine', 'Villalstonine', '10-Methoxycathafoline', 'Strictamine']""",KNApSAcK,Alstonia angustifolia,Alstonia angustifolia,105718-3,105718-3,Species
1,Alstonia angustiloba,"""['16R,19E-Isositsirikine', 'Condylocarpine', 'Stemmadenine', 'Angustilocine', 'Strictosidine', '4,21-Dehydrogeissoschizine', '(E)-Geissoschizine']""",KNApSAcK,Alstonia angustiloba,Alstonia angustiloba,76507-1,76507-1,Species
2,Alstonia congensis,"""['Echitamine', 'Echitamidine']""",KNApSAcK,Alstonia congensis,Alstonia congensis,76517-1,76517-1,Species
3,Alstonia constricta,"""['(+)-Quebrachidine', '(-)-Vincamajine', 'Alstonine', '(-)-Vincamedine', ""(-)-17-O-(3',4',5'-Trimethoxycinnamoyl)vincamajine""]""",KNApSAcK,Alstonia constricta,Alstonia constricta,76518-1,76518-1,Species
4,Alstonia coriacea,"""['(-)-Vincamajine']""",KNApSAcK,Alstonia coriacea,Alstonia coriacea,76520-1,76520-1,Species
5,Alstonia deplanchei,"""['(-)-Vincamajine', '(-)-Vincamedine']""",KNApSAcK,Alstonia deplanchei,Alstonia deplanchei,76527-1,76527-1,Species
6,Alstonia lanceolifera,"""[""(-)-17-O-(3',4',5'-Trimethoxycinnamoyl)vincamajine"", 'Lochnericine']""",KNApSAcK,Alstonia lanceolifera,Alstonia lanceolifera,76546-1,76546-1,Species
7,Alstonia legouixiae,"""['(-)-Vincamajine']""",KNApSAcK,Alstonia legouixiae,Alstonia legouixiae,76548-1,76548-1,Species
8,Alstonia lenormandii,"""['11-Methoxyakuammicine', 'Lochnericine', 'Akuammiline', 'Picraline']""",KNApSAcK,Alstonia lenormandii,Alstonia lenormandii,76549-1,76549-1,Species
9,Alstonia macrophylla,"""['Affinisine', '(+)-Quebrachidine', '(-)-Vincamajine', 'Talcarpine', 'Alstonisine', '10-Methoxyaffinisine', 'Alstonoxine B', 'Alstonerine', 'Alstophylline', 'N(4)-Methyl-N(4),21-seco-talpinine', '10-O-Methylsarpagine', 'Cathafoline', 'Vincorine', 'Villalstonine', '10-Methoxycathafoline', 'Vincamajine 17-O-veratrate', '19-Hydroxy-19,20-Dihydrovincamajine', '(+)-Alstomacroline', 'Alstomicine', '6-Oxoalstophylline', 'Macrodasine A', 'Macrodasine B', 'Macrocarpine A', 'Macrocarpine B', 'N1-Demethylalstophylline', 'Perhentinine', 'Alstomaline', '10,11-Dimethoxynareline', 'Alstohentine', 'Vincoridine', 'Quaternine', 'Volkensine', ""10,11-Dimethoxy-1-methyldeacetylpicraline-3',4',5'-trimethoxy-benzoate"", '6-Methoxy-4-methylquinoline', 'Alstiphyllanine A', 'Alstiphyllanine B', 'Alstiphyllanine C', 'Alstiphyllanine D']""",KNApSAcK,Alstonia macrophylla,Alstonia macrophylla,76556-1,76556-1,Species
