,taxa,AntiMal_Metabolites,AntiBac_Metabolites,antimal_snippet,antibac_snippet,Source
61,Allamanda puberula,,,"""[]""","""[]""",KNApSAcK
62,Allamanda schottii,,,"""[]""","""[]""",KNApSAcK
63,Allamanda setulosa,,,"""[]""","""[]""",KNApSAcK
64,Allamanda thevetifolia,,,"""[]""","""[]""",KNApSAcK
65,Allamanda weberbaueri,,,"""[]""","""[]""",KNApSAcK
66,Allomarkgrafia antioquiana,,,"""[]""","""[]""",KNApSAcK
67,Allomarkgrafia brenesiana,,,"""[]""","""[]""",KNApSAcK
68,Allomarkgrafia campanulata,,,"""[]""","""[]""",KNApSAcK
69,Allomarkgrafia ecuatoriana,,,"""[]""","""[]""",KNApSAcK
70,Allomarkgrafia foreroi,,,"""[]""","""[]""",KNApSAcK
71,Allomarkgrafia insignis,,,"""[]""","""[]""",KNApSAcK
72,Allomarkgrafia laxiflora,,,"""[]""","""[]""",KNApSAcK
73,Allomarkgrafia ovalis,,,"""[]""","""[]""",KNApSAcK
74,Allomarkgrafia plumeriiflora,,,"""[]""","""[]""",KNApSAcK
75,Allomarkgrafia tubiflora,,,"""[]""","""[]""",KNApSAcK
76,Allowoodsonia whitmorei,,,"""[]""","""[]""",KNApSAcK
77,Alstonia actinophylla,,,"""[]""","""[]""",KNApSAcK
78,Alstonia angustifolia,,,"""[]""","""[]""",KNApSAcK
79,Alstonia angustiloba,,,"""[]""","""[]""",KNApSAcK
80,Alstonia annamensis,,,"""[]""","""[]""",KNApSAcK
81,Alstonia balansae,,,"""[]""","""[]""",KNApSAcK
82,Alstonia beatricis,,,"""[]""","""[]""",KNApSAcK
83,Alstonia boonei,,,"""[]""","""[]""",KNApSAcK
84,Alstonia boulindaensis,,,"""[]""","""[]""",KNApSAcK
85,Alstonia breviloba,,,"""[]""","""[]""",KNApSAcK
86,Alstonia congensis,,,"""[]""","""[]""",KNApSAcK
87,Alstonia constricta,,,"""[]""","""[]""",KNApSAcK
88,Alstonia coriacea,,,"""[]""","""[]""",KNApSAcK
89,Alstonia costata,,,"""[]""","""[]""",KNApSAcK
90,Alstonia curtisii,,,"""[]""","""[]""",KNApSAcK
91,Alstonia deplanchei,,,"""[]""","""[]""",KNApSAcK
92,Alstonia deplanchei var. deplanchei,,,"""[]""","""[]""",KNApSAcK
93,Alstonia deplanchei var. ndokoaensis,,,"""[]""","""[]""",KNApSAcK
94,Alstonia guanxiensis,,,"""[]""","""[]""",KNApSAcK
95,Alstonia iwahigensis,,,"""[]""","""[]""",KNApSAcK
96,Alstonia lanceolata,,,"""[]""","""[]""",KNApSAcK
97,Alstonia lanceolifera,,,"""[]""","""[]""",KNApSAcK
98,Alstonia legouixiae,,,"""[]""","""[]""",KNApSAcK
99,Alstonia lenormandii,,,"""[]""","""[]""",KNApSAcK
100,Alstonia lenormandii var. lenormandii,,,"""[]""","""[]""",KNApSAcK
101,Alstonia lenormandii var. minutiflora,,,"""[]""","""[]""",KNApSAcK
102,Alstonia longifolia,,,"""[]""","""[]""",KNApSAcK
103,Alstonia macrophylla,,,"""[]""","""[]""",KNApSAcK
104,Alstonia mairei,,,"""[]""","""[]""",KNApSAcK
105,Alstonia muelleriana,,,"""[]""","""[]""",KNApSAcK
106,Alstonia neriifolia,,,"""[]""","""[]""",KNApSAcK
107,Alstonia odontophora,,,"""[]""","""[]""",KNApSAcK
108,Alstonia parkinsonii,,,"""[]""","""[]""",KNApSAcK
109,Alstonia parvifolia,,,"""[]""","""[]""",KNApSAcK
110,Alstonia penangiana,,,"""[]""","""[]""",KNApSAcK
111,Alstonia pneumatophora,,,"""[]""","""[]""",KNApSAcK
112,Alstonia quaternata,,,"""[]""","""[]""",KNApSAcK
113,Alstonia rostrata,,,"""[]""","""[]""",KNApSAcK
114,Alstonia rubiginosa,,,"""[]""","""[]""",KNApSAcK
115,Alstonia rupestris,,,"""[]""","""[]""",KNApSAcK
116,Alstonia scholaris,,,"""[]""","""[]""",KNApSAcK
117,Alstonia sebusi,,,"""[]""","""[]""",KNApSAcK
118,Alstonia spatulata,,,"""[]""","""[]""",KNApSAcK
119,Alstonia spectabilis,,,"""[]""","""[]""",KNApSAcK
120,Alstonia sphaerocapitata,,,"""[]""","""[]""",KNApSAcK
121,Alstonia venenata,,,"""[]""","""[]""",KNApSAcK
122,Alstonia vieillardii,,,"""[]""","""[]""",KNApSAcK
123,Alstonia vietnamensis,,,"""[]""","""[]""",KNApSAcK
124,Alstonia yunnanensis,,,"""[]""","""[]""",KNApSAcK
125,Alyxia acuminata,,,"""[]""","""[]""",KNApSAcK
126,Alyxia angustifolia,,,"""[]""","""[]""",KNApSAcK
127,Alyxia angustissima,,,"""[]""","""[]""",KNApSAcK
128,Alyxia annamensis,,,"""[]""","""[]""",KNApSAcK
129,Alyxia arfakensis,,,"""[]""","""[]""",KNApSAcK
130,Alyxia baillonii,,,"""[]""","""[]""",KNApSAcK
131,Alyxia balansae,,,"""[]""","""[]""",KNApSAcK
132,Alyxia bracteolosa,,,"""[]""","""[]""",KNApSAcK
133,Alyxia buxifolia,,,"""[]""","""[]""",KNApSAcK
134,Alyxia cacuminum,,,"""[]""","""[]""",KNApSAcK
135,Alyxia caletioides,,,"""[]""","""[]""",KNApSAcK
136,Alyxia celebica,,,"""[]""","""[]""",KNApSAcK
137,Alyxia clusiophylla,,,"""[]""","""[]""",KNApSAcK
138,Alyxia composita,,,"""[]""","""[]""",KNApSAcK
139,Alyxia concatenata,,,"""[]""","""[]""",KNApSAcK
140,Alyxia cylindrocarpa,,,"""[]""","""[]""",KNApSAcK
141,Alyxia defoliata,,,"""[]""","""[]""",KNApSAcK
142,Alyxia efatensis,,,"""[]""","""[]""",KNApSAcK
143,Alyxia erythrosperma,,,"""[]""","""[]""",KNApSAcK
144,Alyxia evansii,,,"""[]""","""[]""",KNApSAcK
145,Alyxia fascicularis,,,"""[]""","""[]""",KNApSAcK
146,Alyxia floribunda,,,"""[]""","""[]""",KNApSAcK
147,Alyxia funingensis,,,"""[]""","""[]""",KNApSAcK
148,Alyxia ganophylla,,,"""[]""","""[]""",KNApSAcK
149,Alyxia glaucophylla,,,"""[]""","""[]""",KNApSAcK
150,Alyxia globosa,,,"""[]""","""[]""",KNApSAcK
151,Alyxia graciliflora,,,"""[]""","""[]""",KNApSAcK
152,Alyxia gracilis,,,"""[]""","""[]""",KNApSAcK
153,Alyxia grandis,,,"""[]""","""[]""",KNApSAcK
154,Alyxia gynopogon,,,"""[]""","""[]""",KNApSAcK
155,Alyxia hainanensis,,,"""[]""","""[]""",KNApSAcK
156,Alyxia halmaheirae,,,"""[]""","""[]""",KNApSAcK
157,Alyxia hurlimannii,,,"""[]""","""[]""",KNApSAcK
158,Alyxia ilicifolia,,,"""[]""","""[]""",KNApSAcK
159,Alyxia kaalaensis,,,"""[]""","""[]""",KNApSAcK
160,Alyxia kabaenae,,,"""[]""","""[]""",KNApSAcK
161,Alyxia kendarica,,,"""[]""","""[]""",KNApSAcK
162,Alyxia kwalotabaa,,,"""[]""","""[]""",KNApSAcK
163,Alyxia lackii,,,"""[]""","""[]""",KNApSAcK
164,Alyxia lamii,,,"""[]""","""[]""",KNApSAcK
165,Alyxia laurina,,,"""[]""","""[]""",KNApSAcK
166,Alyxia leucogyne,,,"""[]""","""[]""",KNApSAcK
167,Alyxia linearis,,,"""[]""","""[]""",KNApSAcK
168,Alyxia loeseneriana,,,"""[]""","""[]""",KNApSAcK
169,Alyxia longiloba,,,"""[]""","""[]""",KNApSAcK
170,Alyxia luzoniensis,,,"""[]""","""[]""",KNApSAcK
171,Alyxia magnifolia,,,"""[]""","""[]""",KNApSAcK
172,Alyxia manusiana,,,"""[]""","""[]""",KNApSAcK
173,Alyxia margaretae,,,"""[]""","""[]""",KNApSAcK
174,Alyxia marginata,,,"""[]""","""[]""",KNApSAcK
175,Alyxia markgrafii,,,"""[]""","""[]""",KNApSAcK
176,Alyxia menglungensis,,,"""[]""","""[]""",KNApSAcK
177,Alyxia microphylla,,,"""[]""","""[]""",KNApSAcK
178,Alyxia minutiflora,,,"""[]""","""[]""",KNApSAcK
179,Alyxia monticola,,,"""[]""","""[]""",KNApSAcK
180,Alyxia mucronata,,,"""[]""","""[]""",KNApSAcK
181,Alyxia muguma,,,"""[]""","""[]""",KNApSAcK
182,Alyxia mujongensis,,,"""[]""","""[]""",KNApSAcK
183,Alyxia multistriata,,,"""[]""","""[]""",KNApSAcK
184,Alyxia nathoi,,,"""[]""","""[]""",KNApSAcK
185,Alyxia oblongata,,,"""[]""","""[]""",KNApSAcK
186,Alyxia obovatifolia,,,"""[]""","""[]""",KNApSAcK
187,Alyxia oleifolia,,,"""[]""","""[]""",KNApSAcK
188,Alyxia oppositifolia,,,"""[]""","""[]""",KNApSAcK
189,Alyxia orophila,,,"""[]""","""[]""",KNApSAcK
190,Alyxia oubatchensis,,,"""[]""","""[]""",KNApSAcK
191,Alyxia palawanensis,,,"""[]""","""[]""",KNApSAcK
192,Alyxia papuana,,,"""[]""","""[]""",KNApSAcK
193,Alyxia parvifolia,,,"""[]""","""[]""",KNApSAcK
194,Alyxia pilosa,,,"""[]""","""[]""",KNApSAcK
195,Alyxia podocarpa,,,"""[]""","""[]""",KNApSAcK
196,Alyxia poyaensis,,,"""[]""","""[]""",KNApSAcK
197,Alyxia pseudosinensis,,,"""[]""","""[]""",KNApSAcK
198,Alyxia pugio,,,"""[]""","""[]""",KNApSAcK
199,Alyxia pullei,,,"""[]""","""[]""",KNApSAcK
200,Alyxia punctata,,,"""[]""","""[]""",KNApSAcK
201,Alyxia purpureoclada,,,"""[]""","""[]""",KNApSAcK
202,Alyxia racemosa,,,"""[]""","""[]""",KNApSAcK
203,Alyxia reinwardtii,,,"""[]""","""[]""",KNApSAcK
204,Alyxia ridleyana,,,"""[]""","""[]""",KNApSAcK
205,Alyxia rostrata,,,"""[]""","""[]""",KNApSAcK
206,Alyxia royeniana,,,"""[]""","""[]""",KNApSAcK
207,Alyxia rubricaulis,,,"""[]""","""[]""",KNApSAcK
208,Alyxia ruscifolia,,,"""[]""","""[]""",KNApSAcK
209,Alyxia sarasinii,,,"""[]""","""[]""",KNApSAcK
210,Alyxia scabrida,,,"""[]""","""[]""",KNApSAcK
211,Alyxia schlechteri,,,"""[]""","""[]""",KNApSAcK
212,Alyxia semipallescens,,,"""[]""","""[]""",KNApSAcK
213,Alyxia siamensis,,,"""[]""","""[]""",KNApSAcK
214,Alyxia sinensis,,,"""[]""","""[]""",KNApSAcK
215,Alyxia sleumeri,,,"""[]""","""[]""",KNApSAcK
216,Alyxia sogerensis,,,"""[]""","""[]""",KNApSAcK
217,Alyxia solomonensis,,,"""[]""","""[]""",KNApSAcK
218,Alyxia spicata,,,"""[]""","""[]""",KNApSAcK
219,Alyxia squamulosa,,,"""[]""","""[]""",KNApSAcK
220,Alyxia stellata,,,"""[]""","""[]""",KNApSAcK
221,Alyxia sulana,,,"""[]""","""[]""",KNApSAcK
222,Alyxia tetanifolia,,,"""[]""","""[]""",KNApSAcK
223,Alyxia tetraquetra,,,"""[]""","""[]""",KNApSAcK
224,Alyxia thailandica,,,"""[]""","""[]""",KNApSAcK
225,Alyxia tisserantii,,,"""[]""","""[]""",KNApSAcK
226,Alyxia torquata,,,"""[]""","""[]""",KNApSAcK
227,Alyxia tropica,,,"""[]""","""[]""",KNApSAcK
228,Alyxia uniflora,,,"""[]""","""[]""",KNApSAcK
229,Alyxia veillonii,,,"""[]""","""[]""",KNApSAcK
230,Alyxia vera,,,"""[]""","""[]""",KNApSAcK
231,Amalocalyx microlobus,,,"""[]""","""[]""",KNApSAcK
232,Ambelania acida,,,"""[]""","""[]""",KNApSAcK
233,Ambelania duckei,,,"""[]""","""[]""",KNApSAcK
234,Ambelania occidentalis,,,"""[]""","""[]""",KNApSAcK
235,Ampelamus laevis,,,"""[]""","""[]""",KNApSAcK
236,Ampelamus ligulatus,,,"""[]""","""[]""",KNApSAcK
237,Ampelamus volubilis,,,"""[]""","""[]""",KNApSAcK
238,Amphineurion marginatum,,,"""[]""","""[]""",KNApSAcK
239,Amsonia ciliata,,,"""[]""","""[]""",KNApSAcK
240,Amsonia ciliata var. ciliata,,,"""[]""","""[]""",KNApSAcK
241,Amsonia ciliata var. filifolia,,,"""[]""","""[]""",KNApSAcK
242,Amsonia ciliata var. texana,,,"""[]""","""[]""",KNApSAcK
243,Amsonia elliptica,,,"""[]""","""[]""",KNApSAcK
244,Amsonia fugatei,,,"""[]""","""[]""",KNApSAcK
245,Amsonia grandiflora,,,"""[]""","""[]""",KNApSAcK
246,Amsonia hubrichtii,,,"""[]""","""[]""",KNApSAcK
247,Amsonia jonesii,,,"""[]""","""[]""",KNApSAcK
248,Amsonia kearneyana,,,"""[]""","""[]""",KNApSAcK
249,Amsonia longiflora,,,"""[]""","""[]""",KNApSAcK
250,Amsonia longiflora var. longiflora,,,"""[]""","""[]""",KNApSAcK
251,Amsonia longiflora var. salpignantha,,,"""[]""","""[]""",KNApSAcK
252,Amsonia ludoviciana,,,"""[]""","""[]""",KNApSAcK
253,Amsonia orientalis,,,"""[]""","""[]""",KNApSAcK
254,Amsonia palmeri,,,"""[]""","""[]""",KNApSAcK
255,Amsonia peeblesii,,,"""[]""","""[]""",KNApSAcK
256,Amsonia rigida,,,"""[]""","""[]""",KNApSAcK
257,Amsonia tabernaemontana,,,"""[]""","""[]""",KNApSAcK
258,Amsonia tabernaemontana var. illustris,,,"""[]""","""[]""",KNApSAcK
259,Amsonia tabernaemontana var. repens,,,"""[]""","""[]""",KNApSAcK
260,Amsonia tabernaemontana var. salicifolia,,,"""[]""","""[]""",KNApSAcK
261,Amsonia tabernaemontana var. tabernaemontana,,,"""[]""","""[]""",KNApSAcK
262,Amsonia tharpii,,,"""[]""","""[]""",KNApSAcK
263,Amsonia tomentosa,,,"""[]""","""[]""",KNApSAcK
264,Amsonia tomentosa var. stenophylla,,,"""[]""","""[]""",KNApSAcK
265,Amsonia tomentosa var. tomentosa,,,"""[]""","""[]""",KNApSAcK
266,Ancylobothrys amoena,,,"""[]""","""[]""",KNApSAcK
267,Ancylobothrys capensis,,,"""[]""","""[]""",KNApSAcK
268,Ancylobothrys petersiana,,,"""[]""","""[]""",KNApSAcK
269,Ancylobothrys pumila,,,"""[]""","""[]""",KNApSAcK
270,Ancylobothrys pyriformis,,,"""[]""","""[]""",KNApSAcK
271,Ancylobothrys robusta,,,"""[]""","""[]""",KNApSAcK
272,Ancylobothrys scandens,,,"""[]""","""[]""",KNApSAcK
273,Ancylobothrys tayloris,,,"""[]""","""[]""",KNApSAcK
274,Anechites nerium,,,"""[]""","""[]""",KNApSAcK
275,Anemotrochus eggersii,,,"""[]""","""[]""",KNApSAcK
276,Anemotrochus viridivenius,,,"""[]""","""[]""",KNApSAcK
277,Anemotrochus yamanigueyensis,,,"""[]""","""[]""",KNApSAcK
278,Angadenia berteroi,,,"""[]""","""[]""",KNApSAcK
279,Angadenia lindeniana,,,"""[]""","""[]""",KNApSAcK
280,Anisopus efulensis,,,"""[]""","""[]""",KNApSAcK
281,Anisopus mannii,,,"""[]""","""[]""",KNApSAcK
282,Anisotoma cordifolia,,,"""[]""","""[]""",KNApSAcK
283,Anisotoma natalensis,,,"""[]""","""[]""",KNApSAcK
284,Anisotoma pedunculata,,,"""[]""","""[]""",KNApSAcK
285,Anodendron affine,,,"""[]""","""[]""",KNApSAcK
286,Anodendron axillare,,,"""[]""","""[]""",KNApSAcK
287,Anodendron benthamianum,,,"""[]""","""[]""",KNApSAcK
288,Anodendron borneense,,,"""[]""","""[]""",KNApSAcK
289,Anodendron candolleanum,,,"""[]""","""[]""",KNApSAcK
290,Anodendron coriaceum,,,"""[]""","""[]""",KNApSAcK
291,Anodendron gracile,,,"""[]""","""[]""",KNApSAcK
292,Anodendron howii,,,"""[]""","""[]""",KNApSAcK
293,Anodendron nervosum,,,"""[]""","""[]""",KNApSAcK
294,Anodendron oblongifolium,,,"""[]""","""[]""",KNApSAcK
295,Anodendron parviflorum,,,"""[]""","""[]""",KNApSAcK
296,Anodendron pauciflorum,,,"""[]""","""[]""",KNApSAcK
297,Anodendron punctatum,,,"""[]""","""[]""",KNApSAcK
298,Anodendron seramense,,,"""[]""","""[]""",KNApSAcK
299,Anodendron tubulosum,,,"""[]""","""[]""",KNApSAcK
300,Anodendron whitmorei,,,"""[]""","""[]""",KNApSAcK
301,Anodendron wrayi,,,"""[]""","""[]""",KNApSAcK
302,Apocynum androsaemifolium,,,"""[]""","""[]""",KNApSAcK
303,Apocynum androsaemifolium subsp. androsaemifolium,,,"""[]""","""[]""",KNApSAcK
304,Apocynum androsaemifolium var. griseum,,,"""[]""","""[]""",KNApSAcK
305,Apocynum androsaemifolium var. incanum,,,"""[]""","""[]""",KNApSAcK
306,Apocynum androsaemifolium var. intermedium,,,"""[]""","""[]""",KNApSAcK
307,Apocynum androsaemifolium subsp. pumilum,,,"""[]""","""[]""",KNApSAcK
308,Apocynum androsaemifolium var. tomentellum,,,"""[]""","""[]""",KNApSAcK
309,Apocynum androsaemifolium var. woodsonii,,,"""[]""","""[]""",KNApSAcK
310,Apocynum cannabinum,,,"""[]""","""[]""",KNApSAcK
311,Apocynum pictum,,,"""[]""","""[]""",KNApSAcK
312,Apocynum venetum,,,"""[]""","""[]""",KNApSAcK
313,Apocynum venetum subsp. armenum,,,"""[]""","""[]""",KNApSAcK
314,Apocynum venetum subsp. basikurumon,,,"""[]""","""[]""",KNApSAcK
315,Apocynum venetum subsp. lancifolium,,,"""[]""","""[]""",KNApSAcK
316,Apocynum venetum subsp. russanovii,,,"""[]""","""[]""",KNApSAcK
317,Apocynum venetum subsp. sarmatiense,,,"""[]""","""[]""",KNApSAcK
318,Apocynum venetum subsp. scabrum,,,"""[]""","""[]""",KNApSAcK
319,Apocynum venetum subsp. tauricum,,,"""[]""","""[]""",KNApSAcK
320,Apocynum venetum subsp. venetum,,,"""[]""","""[]""",KNApSAcK
321,Apteranthes burchardii,,,"""[]""","""[]""",KNApSAcK
322,Apteranthes burchardii subsp. burchardii,,,"""[]""","""[]""",KNApSAcK
323,Apteranthes burchardii subsp. maura,,,"""[]""","""[]""",KNApSAcK
324,Apteranthes europaea,,,"""[]""","""[]""",KNApSAcK
325,Apteranthes europaea subsp. europaea,,,"""[]""","""[]""",KNApSAcK
326,Apteranthes europaea var. judaica,,,"""[]""","""[]""",KNApSAcK
327,Apteranthes europaea subsp. maroccana,,,"""[]""","""[]""",KNApSAcK
328,Apteranthes faucicola,,,"""[]""","""[]""",KNApSAcK
329,Apteranthes joannis,,,"""[]""","""[]""",KNApSAcK
330,Apteranthes munbyana,,,"""[]""","""[]""",KNApSAcK
331,Apteranthes staintonii,,,"""[]""","""[]""",KNApSAcK
332,Apteranthes tuberculata,,,"""[]""","""[]""",KNApSAcK
333,Araujia angustifolia,,,"""[]""","""[]""",KNApSAcK
334,Araujia brachystephana,,,"""[]""","""[]""",KNApSAcK
335,Araujia hassleriana,,,"""[]""","""[]""",KNApSAcK
336,Araujia herzogii,,,"""[]""","""[]""",KNApSAcK
337,Araujia megapotamica,,,"""[]""","""[]""",KNApSAcK
338,Araujia odorata,,,"""[]""","""[]""",KNApSAcK
339,Araujia plumosa,,,"""[]""","""[]""",KNApSAcK
340,Araujia scalae,,,"""[]""","""[]""",KNApSAcK
341,Araujia sericifera,,,"""[]""","""[]""",KNApSAcK
342,Araujia stormiana,,,"""[]""","""[]""",KNApSAcK
343,Araujia stuckertiana,,,"""[]""","""[]""",KNApSAcK
344,Araujia stuckertiana subsp. grandiflora,,,"""[]""","""[]""",KNApSAcK
345,Araujia stuckertiana subsp. stuckertiana,,,"""[]""","""[]""",KNApSAcK
346,Araujia subhastata,,,"""[]""","""[]""",KNApSAcK
347,Araujia variegata,,,"""[]""","""[]""",KNApSAcK
348,Artia amieuensis,,,"""[]""","""[]""",KNApSAcK
349,Artia balansae,,,"""[]""","""[]""",KNApSAcK
350,Artia brachycarpa,,,"""[]""","""[]""",KNApSAcK
351,Artia brachycarpa var. brachycarpa,,,"""[]""","""[]""",KNApSAcK
352,Artia brachycarpa var. coriacea,,,"""[]""","""[]""",KNApSAcK
353,Artia brachycarpa var. lanceolata,,,"""[]""","""[]""",KNApSAcK
354,Artia francii,,,"""[]""","""[]""",KNApSAcK
355,Artia lifuana,,,"""[]""","""[]""",KNApSAcK
356,Asclepias adscendens,,,"""[]""","""[]""",KNApSAcK
357,Asclepias albens,,,"""[]""","""[]""",KNApSAcK
358,Asclepias albicans,,,"""[]""","""[]""",KNApSAcK
359,Asclepias alpestris,,,"""[]""","""[]""",KNApSAcK
360,Asclepias amabilis,,,"""[]""","""[]""",KNApSAcK
361,Asclepias ameliae,,,"""[]""","""[]""",KNApSAcK
362,Asclepias amplexicaulis,,,"""[]""","""[]""",KNApSAcK
363,Asclepias angustifolia,,,"""[]""","""[]""",KNApSAcK
364,Asclepias apocynifolia,,,"""[]""","""[]""",KNApSAcK
365,Asclepias arenaria,,,"""[]""","""[]""",KNApSAcK
366,Asclepias asperula,,,"""[]""","""[]""",KNApSAcK
367,Asclepias asperula subsp. asperula,,,"""[]""","""[]""",KNApSAcK
368,Asclepias asperula subsp. capricornu,,,"""[]""","""[]""",KNApSAcK
369,Asclepias atroviolacea,,,"""[]""","""[]""",KNApSAcK
370,Asclepias aurea,,,"""[]""","""[]""",KNApSAcK
371,Asclepias auriculata,,,"""[]""","""[]""",KNApSAcK
372,Asclepias barjoniifolia,,,"""[]""","""[]""",KNApSAcK
373,Asclepias bartlettiana,,,"""[]""","""[]""",KNApSAcK
374,Asclepias baumii,,,"""[]""","""[]""",KNApSAcK
375,Asclepias bicuspis,,,"""[]""","""[]""",KNApSAcK
376,Asclepias bifida,,,"""[]""","""[]""",KNApSAcK
377,Asclepias boliviensis,,,"""[]""","""[]""",KNApSAcK
378,Asclepias brachystephana,,,"""[]""","""[]""",KNApSAcK
379,Asclepias bracteolata,,,"""[]""","""[]""",KNApSAcK
380,Asclepias breviantherae,,,"""[]""","""[]""",KNApSAcK
381,Asclepias breviantherae subsp. breviantherae,,,"""[]""","""[]""",KNApSAcK
382,Asclepias breviantherae subsp. minor,,,"""[]""","""[]""",KNApSAcK
383,Asclepias brevicuspis,,,"""[]""","""[]""",KNApSAcK
384,Asclepias brevipes,,,"""[]""","""[]""",KNApSAcK
385,Asclepias buchwaldii,,,"""[]""","""[]""",KNApSAcK
386,Asclepias californica,,,"""[]""","""[]""",KNApSAcK
387,Asclepias californica subsp. californica,,,"""[]""","""[]""",KNApSAcK
388,Asclepias californica subsp. greenei,,,"""[]""","""[]""",KNApSAcK
389,Asclepias candida,,,"""[]""","""[]""",KNApSAcK
390,Asclepias cinerea,,,"""[]""","""[]""",KNApSAcK
391,Asclepias circinalis,,,"""[]""","""[]""",KNApSAcK
392,Asclepias compressidens,,,"""[]""","""[]""",KNApSAcK
393,Asclepias concinna,,,"""[]""","""[]""",KNApSAcK
394,Asclepias connivens,,,"""[]""","""[]""",KNApSAcK
395,Asclepias constricta,,,"""[]""","""[]""",KNApSAcK
396,Asclepias conzattii,,,"""[]""","""[]""",KNApSAcK
397,Asclepias cooperi,,,"""[]""","""[]""",KNApSAcK
398,Asclepias cordifolia,,,"""[]""","""[]""",KNApSAcK
399,Asclepias coulteri,,,"""[]""","""[]""",KNApSAcK
400,Asclepias crassicoronata,,,"""[]""","""[]""",KNApSAcK
401,Asclepias crassinervis,,,"""[]""","""[]""",KNApSAcK
402,Asclepias crispa,,,"""[]""","""[]""",KNApSAcK
403,Asclepias crocea,,,"""[]""","""[]""",KNApSAcK
