,taxa,AntiMal_Metabolites,AntiBac_Metabolites,antimal_snippet,antibac_snippet,Source
0,Acokanthera laevigata,,,"""[]""","""[]""",KNApSAcK
1,Acokanthera oblongifolia,,,"""[]""","""[]""",KNApSAcK
2,Acokanthera oppositifolia,,,"""[]""","""[]""",KNApSAcK
3,Acokanthera rotundata,,,"""[]""","""[]""",KNApSAcK
4,Acokanthera schimperi,,,"""[]""","""[]""",KNApSAcK
5,Adenium boehmianum,,,"""[]""","""[]""",KNApSAcK
6,Adenium dhofarense,,,"""[]""","""[]""",KNApSAcK
7,Adenium multiflorum,,,"""[]""","""[]""",KNApSAcK
8,Adenium obesum,,,"""[]""","""[]""",KNApSAcK
9,Adenium oleifolium,,,"""[]""","""[]""",KNApSAcK
10,Adenium swazicum,,,"""[]""","""[]""",KNApSAcK
11,Aganosma breviloba,,,"""[]""","""[]""",KNApSAcK
12,Aganosma cymosa,,,"""[]""","""[]""",KNApSAcK
13,Aganosma cymosa var. conferta,,,"""[]""","""[]""",KNApSAcK
14,Aganosma cymosa var. cymosa,,,"""[]""","""[]""",KNApSAcK
15,Aganosma cymosa var. elegans,,,"""[]""","""[]""",KNApSAcK
16,Aganosma gracilis,,,"""[]""","""[]""",KNApSAcK
17,Aganosma heynei,,,"""[]""","""[]""",KNApSAcK
18,Aganosma lacei,,,"""[]""","""[]""",KNApSAcK
19,Aganosma petelotii,,,"""[]""","""[]""",KNApSAcK
20,Aganosma schlechteriana,,,"""[]""","""[]""",KNApSAcK
21,Aganosma siamensis,,,"""[]""","""[]""",KNApSAcK
22,Aganosma wallichii,,,"""[]""","""[]""",KNApSAcK
23,Alafia alba,,,"""[]""","""[]""",KNApSAcK
24,Alafia barteri,,,"""[]""","""[]""",KNApSAcK
25,Alafia benthamii,,,"""[]""","""[]""",KNApSAcK
26,Alafia berrieri,,,"""[]""","""[]""",KNApSAcK
27,Alafia calophylla,,,"""[]""","""[]""",KNApSAcK
28,Alafia caudata,,,"""[]""","""[]""",KNApSAcK
29,Alafia erythrophthalma,,,"""[]""","""[]""",KNApSAcK
30,Alafia falcata,,,"""[]""","""[]""",KNApSAcK
31,Alafia fuscata,,,"""[]""","""[]""",KNApSAcK
32,Alafia insularis,,,"""[]""","""[]""",KNApSAcK
33,Alafia intermedia,,,"""[]""","""[]""",KNApSAcK
34,Alafia landolphioides,,,"""[]""","""[]""",KNApSAcK
35,Alafia lucida,,,"""[]""","""[]""",KNApSAcK
36,Alafia microstylis,,,"""[]""","""[]""",KNApSAcK
37,Alafia multiflora,,,"""[]""","""[]""",KNApSAcK
38,Alafia nigrescens,,,"""[]""","""[]""",KNApSAcK
39,Alafia orientalis,,,"""[]""","""[]""",KNApSAcK
40,Alafia parciflora,,,"""[]""","""[]""",KNApSAcK
41,Alafia pauciflora,,,"""[]""","""[]""",KNApSAcK
42,Alafia perrieri,,,"""[]""","""[]""",KNApSAcK
43,Alafia perrieri var. parvifolia,,,"""[]""","""[]""",KNApSAcK
44,Alafia perrieri var. perrieri,,,"""[]""","""[]""",KNApSAcK
45,Alafia schumannii,,,"""[]""","""[]""",KNApSAcK
46,Alafia thouarsii,,,"""[]""","""[]""",KNApSAcK
47,Alafia vallium,,,"""[]""","""[]""",KNApSAcK
48,Alafia verschuerenii,,,"""[]""","""[]""",KNApSAcK
49,Alafia whytei,,,"""[]""","""[]""",KNApSAcK
50,Alafia zambesiaca,,,"""[]""","""[]""",KNApSAcK
51,Allamanda angustifolia,,,"""[]""","""[]""",KNApSAcK
52,Allamanda blanchetii,,,"""[]""","""[]""",KNApSAcK
53,Allamanda calcicola,,,"""[]""","""[]""",KNApSAcK
54,Allamanda cathartica,,,"""[]""","""[]""",KNApSAcK
55,Allamanda doniana,,,"""[]""","""[]""",KNApSAcK
56,Allamanda laevis,,,"""[]""","""[]""",KNApSAcK
57,Allamanda martii,,,"""[]""","""[]""",KNApSAcK
58,Allamanda nobilis,,,"""[]""","""[]""",KNApSAcK
59,Allamanda oenotherifolia,,,"""[]""","""[]""",KNApSAcK
60,Allamanda polyantha,,,"""[]""","""[]""",KNApSAcK
