org_id	org_name	org_tax_level	org_tax_id	subspecies_tax_id	subspecies_name	species_tax_id	species_name	genus_tax_id	genus_name	family_tax_id	family_name	kingdom_tax_id	kingdom_name	superkingdom_tax_id	superkingdom_name
NPO10475	Falkenbergia rufolanosa	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
NPO2250	Hylocomium splendens	Species	53007	n.a.	n.a.	53007	Hylocomium splendens	53006	Hylocomium	28466	Hylocomiaceae	33090	Viridiplantae	2759	Eukaryota
NPO21185	Manica rubida	Species	219785	n.a.	n.a.	219785	Manica rubida	219784	Manica	36668	Formicidae	33208	Metazoa	2759	Eukaryota
NPO13272	Ulva lactuca	Species	63410	n.a.	n.a.	63410	Ulva lactuca	3118	Ulva	3114	Ulvaceae	33090	Viridiplantae	2759	Eukaryota
NPO9728	Quercus acuta	Species	157796	n.a.	n.a.	157796	Quercus acuta	3511	Quercus	3503	Fagaceae	33090	Viridiplantae	2759	Eukaryota
NPO24443	Artemisia baldshuanica	Species	1287601	n.a.	n.a.	1287601	Artemisia baldshuanica	4219	Artemisia	4210	Asteraceae	33090	Viridiplantae	2759	Eukaryota
NPO32957	Acanthodendrilla sp.	Species	n.a.	n.a.	n.a.	n.a.	n.a.	558782	Acanthodendrilla	283990	Dictyodendrillidae	33208	Metazoa	2759	Eukaryota
NPO24350	Hammarbya paludosa	Species	1155243	n.a.	n.a.	1155243	Hammarbya paludosa	1155242	Hammarbya	4747	Orchidaceae	33090	Viridiplantae	2759	Eukaryota
NPO8092	Bouchea fluminensis	Species	42207	n.a.	n.a.	42207	Bouchea fluminensis	42206	Bouchea	21910	Verbenaceae	33090	Viridiplantae	2759	Eukaryota
NPO12942	Amphimedon terpenensis	Species	n.a.	n.a.	n.a.	n.a.	n.a.	178513	Amphimedon	178475	Niphatidae	33208	Metazoa	2759	Eukaryota
NPO21949	Cinnamomum bejolghota	Species	397101	n.a.	n.a.	397101	Cinnamomum bejolghota	13428	Cinnamomum	3433	Lauraceae	33090	Viridiplantae	2759	Eukaryota
NPO13440	Enterolobium cyclocarpum	Species	54878	n.a.	n.a.	54878	Enterolobium cyclocarpum	54877	Enterolobium	3803	Fabaceae	33090	Viridiplantae	2759	Eukaryota
NPO29927	Grevillea	Genus	n.a.	n.a.	n.a.	n.a.	n.a.	83716	Grevillea	4328	Proteaceae	33090	Viridiplantae	2759	Eukaryota
NPO23768	Camellia saluenensis	Species	319929	n.a.	n.a.	319929	Camellia saluenensis	4441	Camellia	27065	Theaceae	33090	Viridiplantae	2759	Eukaryota
NPO20002	Ledebouria graminifolia	Species	n.a.	n.a.	n.a.	n.a.	n.a.	16139	Ledebouria	44985	Hyacinthaceae	33090	Viridiplantae	2759	Eukaryota
NPO20194	Fritillaria puqiensis	Species	108545	n.a.	n.a.	108545	Fritillaria puqiensis	59070	Fritillaria	4677	Liliaceae	33090	Viridiplantae	2759	Eukaryota
NPO16259	Syringa reticulata	Species	126367	n.a.	n.a.	126367	Syringa reticulata	24208	Syringa	4144	Oleaceae	33090	Viridiplantae	2759	Eukaryota
NPO20412	Magnolia grandiflora	Species	3406	n.a.	n.a.	3406	Magnolia grandiflora	3402	Magnolia	3401	Magnoliaceae	33090	Viridiplantae	2759	Eukaryota
NPO6664	Kopsia officinalis	Species	2508339	n.a.	n.a.	2508339	Kopsia officinalis	21101	Kopsia	4056	Apocynaceae	33090	Viridiplantae	2759	Eukaryota
