,Accepted_Rank,Accepted_ID,Accepted_Name,Accepted_Species,Manual_snippet,Sources
0,Genus,2171-1,Acokanthera,,,Manual check
3,Genus,2182-1,Allamanda,,,Manual check
4,Genus,331333-2,Alstonia,,,Manual check
5,Genus,331334-2,Alyxia,,,Manual check
8,Genus,2217-1,Aspidosperma,,,Manual check
11,Genus,2250-1,Cascabela,,,Manual check
14,Genus,2260-1,Chilocarpus,,,Manual check
15,Genus,328988-2,Condylocarpon,,,Manual check
18,Genus,2301-1,Diplorhynchus,,,Manual check
19,Genus,2308-1,Dyera,,,Manual check
21,Genus,2340-1,Geissospermum,,,Manual check
24,Genus,2342-1,Gonioma,,,Manual check
26,Genus,328990-2,Hancornia,,,Manual check
28,Genus,30058664-2,Himatanthus,,,Manual check
30,Genus,2377-1,Hunteria,,,Manual check
32,Genus,328837-2,Kopsia,,,Manual check
33,Genus,331696-2,Landolphia,,,Manual check
35,Genus,2410-1,Leuconotis,,,Manual check
40,Genus,2461-1,Ochrosia,,,Manual check
41,Genus,2490-1,Parahancornia,,,Manual check
45,Genus,2513-1,Picralima,,,Manual check
46,Genus,2516-1,Pleiocarpa,,,Manual check
47,Genus,30001863-2,Plumeria,,,Manual check
48,Genus,328992-2,Rauvolfia,,,Manual check
49,Genus,2563-1,Schizozygia,,,Manual check
53,Genus,328993-2,Tabernaemontana,,,Manual check
55,Genus,2617-1,Vallesia,,,Manual check
57,Genus,2620-1,Voacanga,,,Manual check
58,Genus,60443770-2,Wrightia,,,Manual check
