,Accepted_Rank,Accepted_ID,Accepted_Name,Accepted_Species,Manual_snippet,Sources
1,Genus,2172-1,Adenium,,r,Manual check
2,Genus,2180-1,Alafia,,r,Manual check
6,Genus,2193-1,Amphineurion,,r,Manual check
7,Genus,3206-1,Apteranthes,,r,Manual check
9,Genus,30369062-2,Calotropis,,r,Manual check
12,Genus,2251-1,Catharanthus,,r,Manual check
13,Genus,986774-1,Caudanthera,,r,Manual check
16,Genus,3291-1,Cryptolepis,,r,Manual check
17,Genus,3319-1,Desmidorchis,,r,Manual check
20,Genus,295871-2,Funtumia,,r,Manual check
22,Genus,30051534-2,Gomphocarpus,,r,Manual check
23,Genus,3384-1,Gongronema,,r,Manual check
25,Genus,3398-1,Gymnema,,r,Manual check
27,Genus,3409-1,Hemidesmus,,r,Manual check
29,Genus,2371-1,Holarrhena,,r,Manual check
31,Genus,3453-1,Kanahia,,r,Manual check
34,Genus,3469-1,Leptadenia,,r,Manual check
36,Genus,331758-2,Marsdenia,,r,Manual check
37,Genus,3516-1,Mondia,,r,Manual check
38,Genus,986816-1,Monolluma,,r,Manual check
39,Genus,2442-1,Motandra,,r,Manual check
42,Genus,2502-1,Pentalinon,,r,Manual check
43,Genus,3585-1,Pergularia,,r,Manual check
44,Genus,3588-1,Periploca,,r,Manual check
50,Genus,30167675-2,Secamone,,r,Manual check
51,Genus,3733-1,Streptocaulon,,r,Manual check
52,Genus,2582-1,Strophanthus,,r,Manual check
54,Genus,2616-1,Vallaris,,r,Manual check
56,Genus,30010004-2,Vincetoxicum,,r,Manual check
59,Genus,3801-1,Xysmalobium,,r,Manual check
129,Genus,30028643-2,Pachypodium,,r,Manual check
130,Genus,3425-1,Hoodia,,r,Manual check
