,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Manual_snippet,Sources
8,Aspidosperma,,,2217-1,Genus,r/o/y,Manual check
16,Cryptolepis,,,3291-1,Genus,w/r,Manual check
18,Diplorhynchus,,,2301-1,Genus,w/y,Manual check
52,Strophanthus,,,2582-1,Genus,r/y/w,Manual check
