,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Manual_snippet,Sources
0,Acokanthera,,,2171-1,Genus,w,Manual check
1,Adenium,,,2172-1,Genus,c,Manual check
2,Alafia,,,2180-1,Genus,w,Manual check
3,Allamanda,,,2182-1,Genus,w,Manual check
4,Alstonia,,,331333-2,Genus,w,Manual check
5,Alyxia,,,331334-2,Genus,w,Manual check
6,Amphineurion,,,2193-1,Genus,w,Manual check
7,Apteranthes,,,3206-1,Genus,c,Manual check
9,Calotropis,,,30369062-2,Genus,w,Manual check
10,Carissa,,,2243-1,Genus,w,Manual check
11,Cascabela,,,2250-1,Genus,w,Manual check
12,Catharanthus,,,2251-1,Genus,w,Manual check
13,Caudanthera,,,986774-1,Genus,c,Manual check
14,Chilocarpus,,,2260-1,Genus,w,Manual check
15,Condylocarpon,,,328988-2,Genus,w,Manual check
17,Desmidorchis,,,3319-1,Genus,c,Manual check
19,Dyera,,,2308-1,Genus,w,Manual check
20,Funtumia,,,295871-2,Genus,w,Manual check
21,Geissospermum,,,2340-1,Genus,w,Manual check
22,Gomphocarpus,,,30051534-2,Genus,w,Manual check
23,Gongronema,,,3384-1,Genus,w,Manual check
24,Gonioma,,,2342-1,Genus,w,Manual check
25,Gymnema,,,3398-1,Genus,w,Manual check
26,Hancornia,,,328990-2,Genus,w,Manual check
27,Hemidesmus,,,3409-1,Genus,w,Manual check
28,Himatanthus,,,30058664-2,Genus,w,Manual check
29,Holarrhena,,,2371-1,Genus,w,Manual check
30,Hunteria,,,2377-1,Genus,w,Manual check
31,Kanahia,,,3453-1,Genus,w,Manual check
32,Kopsia,,,328837-2,Genus,w,Manual check
33,Landolphia,,,331696-2,Genus,w,Manual check
34,Leptadenia,,,3469-1,Genus,c,Manual check
35,Leuconotis,,,2410-1,Genus,w,Manual check
36,Marsdenia,,,331758-2,Genus,w,Manual check
37,Mondia,,,3516-1,Genus,w,Manual check
38,Monolluma,,,986816-1,Genus,c,Manual check
39,Motandra,,,2442-1,Genus,w,Manual check
40,Ochrosia,,,2461-1,Genus,w,Manual check
41,Parahancornia,,,2490-1,Genus,w,Manual check
42,Pentalinon,,,2502-1,Genus,w,Manual check
43,Pergularia,,,3585-1,Genus,w,Manual check
44,Periploca,,,3588-1,Genus,w,Manual check
45,Picralima,,,2513-1,Genus,w,Manual check
46,Pleiocarpa,,,2516-1,Genus,w,Manual check
48,Rauvolfia,,,328992-2,Genus,w,Manual check
49,Schizozygia,,,2563-1,Genus,w,Manual check
50,Secamone,,,30167675-2,Genus,w,Manual check
51,Streptocaulon,,,3733-1,Genus,w,Manual check
53,Tabernaemontana,,,328993-2,Genus,w,Manual check
54,Vallaris,,,2616-1,Genus,w,Manual check
55,Vallesia,,,2617-1,Genus,w,Manual check
56,Vincetoxicum,,,30010004-2,Genus,c,Manual check
57,Voacanga,,,2620-1,Genus,w,Manual check
58,Wrightia,,,60443770-2,Genus,w,Manual check
59,Xysmalobium,,,3801-1,Genus,w,Manual check
129,Pachypodium,,,30028643-2,Genus,c,Manual check
130,Hoodia,,,3425-1,Genus,c,Manual check
