"submitted","resolution_id"
"Strychnos usambarensis Gilg","547543-1"
"Strychnos ligustrina Blume. Wood","547295-1"
"Strychnos icaja Baillon","547240-1"
"Strychnos elaeocarpa Gilg ex Leeuwenberg","547178-1"
"Vangueria infausta Burch. subsp. infausta","77169958-1"
"Ambelania cf duckey Markgr","10947-2"
"Aspidosperma quebrado-blanco Schlechtd.","77440-1"
"Anthocephalus chinensis L.","745138-1"
"Anthocephalus chinensis (Lamk.)","745138-1"
