,taxa,knapsack_snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Alstonia scholaris,"""['Stigmasterol']""",KNApSAcK,Alstonia scholaris,Alstonia scholaris,60445977-2,60445977-2,Species
1,Apocynum venetum,"""['Strophanthidin']""",KNApSAcK,Apocynum venetum,Apocynum venetum,77279-1,77279-1,Species
2,Asclepias curassavica,"""['Asclepin', 'Calactin', 'Calotropin', 'Uscharidin']""",KNApSAcK,Asclepias curassavica,Asclepias curassavica,94213-1,94213-1,Species
3,Asclepias eriocarpa,"""['Eriocarpin', 'Labriformidin', 'Labriformin']""",KNApSAcK,Asclepias eriocarpa,Asclepias eriocarpa,94258-1,94258-1,Species
4,Asclepias labriformis,"""['Eriocarpin', 'Labriformidin', 'Labriformin']""",KNApSAcK,Asclepias labriformis,Asclepias labriformis,21220-2,21220-2,Species
5,Asclepias speciosa,"""['Aspecioside']""",KNApSAcK,Asclepias speciosa,Asclepias speciosa,94654-1,94654-1,Species
6,Asclepias syriaca,"""['Aspecioside']""",KNApSAcK,Asclepias syriaca,Asclepias syriaca,319076-2,319076-2,Species
7,Calotropis gigantea,"""['Calactin', 'Calotropin']""",KNApSAcK,Calotropis gigantea,Calotropis gigantea,95173-1,95173-1,Species
8,Calotropis procera,"""['Calactin', 'Calotropin', 'Uscharidin']""",KNApSAcK,Calotropis procera,Calotropis procera,1004515-2,1004515-2,Species
9,Catharanthus roseus,"""['Brassinolide', 'Castasterone', '6-Oxocampestanol', 'Cathasterone']""",KNApSAcK,Catharanthus roseus,Catharanthus roseus,77880-1,77880-1,Species
10,Cerbera floribunda,"""['Cerbertin']""",KNApSAcK,Cerbera floribunda,Cerbera floribunda,77893-1,77893-1,Species
11,Cerbera manghas,"""['Cerberin']""",KNApSAcK,Cerbera manghas,Cerbera manghas,77906-1,77906-1,Species
12,Cerbera odollam,"""['Thevetin A']""",KNApSAcK,Cerbera odollam,Cerbera odollam,77913-1,77913-1,Species
13,Cryptostegia grandiflora,"""['Digitalin']""",KNApSAcK,Cryptostegia grandiflora,Cryptostegia grandiflora,95962-1,95962-1,Species
14,Nerium oleander,"""['Adynerin']""",KNApSAcK,Nerium oleander,Nerium oleander,80460-1,80460-1,Species
15,Pergularia tomentosa,"""['Calactin']""",KNApSAcK,Pergularia tomentosa,Pergularia tomentosa,100411-1,100411-1,Species
16,Periploca aphylla,"""['beta-Sitosterol']""",KNApSAcK,Periploca aphylla,Periploca aphylla,100428-1,100428-1,Species
17,Strophanthus divaricatus,"""['Decoside', 'Divaricoside', 'Divostroside', 'Lokundjoside', 'Musaroside', 'Sarmentoloside']""",KNApSAcK,Strophanthus divaricatus,Strophanthus divaricatus,81877-1,81877-1,Species
18,Strophanthus gratus,"""['Ouabain']""",KNApSAcK,Strophanthus gratus,Strophanthus gratus,81895-1,81895-1,Species
19,Strophanthus kombe,"""['Strophanthidin', 'Musaroside', 'Cymarin']""",KNApSAcK,Strophanthus kombe,Strophanthus kombe,81909-1,81909-1,Species
20,Strophanthus sarmentosus,"""['Sarmentoloside', 'Bipindoside']""",KNApSAcK,Strophanthus sarmentosus,Strophanthus sarmentosus,81945-1,81945-1,Species
21,Strophanthus thollonii,"""['Bipindoside']""",KNApSAcK,Strophanthus thollonii,Strophanthus thollonii,81960-1,81960-1,Species
22,Tabernaemontana catharinensis,"""['beta-Sitosterol']""",KNApSAcK,Tabernaemontana catharinensis,Tabernaemontana catharinensis,82043-1,82043-1,Species
23,Adina pilulifera,"""['Stigmasterol']""",KNApSAcK,Adina pilulifera,Adina pilulifera,742927-1,742927-1,Species
24,Chione venosa,"""['beta-Sitosterol']""",KNApSAcK,Chione venosa,Chione venosa,56650-2,56650-2,Species
25,Coffea canephora,"""['beta-Sitosterol']""",KNApSAcK,Coffea canephora,Coffea canephora,747068-1,747068-1,Species
26,Coffea charrieriana,"""['beta-Sitosterol']""",KNApSAcK,Coffea charrieriana,Coffea charrieriana,77092347-1,77092347-1,Species
27,Coffea congensis,"""['beta-Sitosterol']""",KNApSAcK,Coffea congensis,Coffea congensis,747081-1,747081-1,Species
28,Coffea eugenioides,"""['beta-Sitosterol']""",KNApSAcK,Coffea eugenioides,Coffea eugenioides,747109-1,747109-1,Species
29,Coffea humblotiana,"""['beta-Sitosterol']""",KNApSAcK,Coffea humblotiana,Coffea humblotiana,747136-1,747136-1,Species
30,Coffea humilis,"""['beta-Sitosterol']""",KNApSAcK,Coffea humilis,Coffea humilis,747137-1,747137-1,Species
31,Coffea kapakata,"""['beta-Sitosterol']""",KNApSAcK,Coffea kapakata,Coffea kapakata,977414-1,977414-1,Species
32,Coffea liberica,"""['beta-Sitosterol']""",KNApSAcK,Coffea liberica,Coffea liberica,747169-1,747169-1,Species
33,Coffea pseudozanguebariae,"""['beta-Sitosterol']""",KNApSAcK,Coffea pseudozanguebariae,Coffea pseudozanguebariae,899522-1,899522-1,Species
34,Coffea racemosa,"""['beta-Sitosterol']""",KNApSAcK,Coffea racemosa,Coffea racemosa,747242-1,747242-1,Species
35,Coffea salvatrix,"""['beta-Sitosterol']""",KNApSAcK,Coffea salvatrix,Coffea salvatrix,747254-1,747254-1,Species
36,Coffea sessiliflora,"""['beta-Sitosterol']""",KNApSAcK,Coffea sessiliflora,Coffea sessiliflora,930028-1,930028-1,Species
