,taxa,knapsack_snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
0,Apocynum venetum,"""['Strophanthidin']""",KNApSAcK,Apocynum venetum,Apocynum venetum,77279-1,77279-1,Species
1,Asclepias curassavica,"""['Asclepin', 'Calactin', 'Calotropin', 'Uscharidin']""",KNApSAcK,Asclepias curassavica,Asclepias curassavica,94213-1,94213-1,Species
2,Asclepias eriocarpa,"""['Eriocarpin', 'Labriformidin', 'Labriformin']""",KNApSAcK,Asclepias eriocarpa,Asclepias eriocarpa,94258-1,94258-1,Species
3,Asclepias labriformis,"""['Eriocarpin', 'Labriformidin', 'Labriformin']""",KNApSAcK,Asclepias labriformis,Asclepias labriformis,21220-2,21220-2,Species
4,Asclepias speciosa,"""['Aspecioside']""",KNApSAcK,Asclepias speciosa,Asclepias speciosa,94654-1,94654-1,Species
5,Asclepias syriaca,"""['Aspecioside']""",KNApSAcK,Asclepias syriaca,Asclepias syriaca,319076-2,319076-2,Species
6,Calotropis gigantea,"""['Calactin', 'Calotropin']""",KNApSAcK,Calotropis gigantea,Calotropis gigantea,95173-1,95173-1,Species
7,Calotropis procera,"""['Calactin', 'Calotropin', 'Uscharidin']""",KNApSAcK,Calotropis procera,Calotropis procera,1004515-2,1004515-2,Species
8,Cerbera floribunda,"""['Cerbertin']""",KNApSAcK,Cerbera floribunda,Cerbera floribunda,77893-1,77893-1,Species
9,Cerbera manghas,"""['Cerberin']""",KNApSAcK,Cerbera manghas,Cerbera manghas,77906-1,77906-1,Species
10,Cerbera odollam,"""['Thevetin A']""",KNApSAcK,Cerbera odollam,Cerbera odollam,77913-1,77913-1,Species
11,Cryptostegia grandiflora,"""['Digitalin']""",KNApSAcK,Cryptostegia grandiflora,Cryptostegia grandiflora,95962-1,95962-1,Species
12,Nerium oleander,"""['Adynerin']""",KNApSAcK,Nerium oleander,Nerium oleander,80460-1,80460-1,Species
13,Pergularia tomentosa,"""['Calactin']""",KNApSAcK,Pergularia tomentosa,Pergularia tomentosa,100411-1,100411-1,Species
14,Strophanthus divaricatus,"""['Decoside', 'Divaricoside', 'Divostroside', 'Lokundjoside', 'Musaroside', 'Sarmentoloside']""",KNApSAcK,Strophanthus divaricatus,Strophanthus divaricatus,81877-1,81877-1,Species
15,Strophanthus gratus,"""['Ouabain']""",KNApSAcK,Strophanthus gratus,Strophanthus gratus,81895-1,81895-1,Species
16,Strophanthus kombe,"""['Strophanthidin', 'Musaroside', 'Cymarin']""",KNApSAcK,Strophanthus kombe,Strophanthus kombe,81909-1,81909-1,Species
17,Strophanthus sarmentosus,"""['Sarmentoloside', 'Bipindoside']""",KNApSAcK,Strophanthus sarmentosus,Strophanthus sarmentosus,81945-1,81945-1,Species
18,Strophanthus thollonii,"""['Bipindoside']""",KNApSAcK,Strophanthus thollonii,Strophanthus thollonii,81960-1,81960-1,Species
