,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,MPNS_Snippet,USDA_Snippet,POWO_Snippet,Wiki_Snippet,PPA_Snippet,SPP_Snippet,WEP_snippet,Sources
11,76360-1,Adenium boehmianum,Adenium boehmianum,76360-1,Species,boesmangif:bushman poison:echuja:eshuwo:impalalelie:!khores:ngava-ngava:okavole:oudiyo:oudyo:ouviyo:ouzuwo:pfeilgiftbusch:pfeilgiftpflanze:pylgif:rylgif:unguiu:uuzigo,,,,,,unguiu,MPNS:::::::::::::WEP (Wiersema 2013)
12,76366-1,Adenium multiflorum,Adenium multiflorum,76366-1,Species,impala lily:megoza:sabi star,,,,,,impala-lily:impala-lily,MPNS:::::::::::::WEP (Wiersema 2013)
13,76366-1,Adenium multiflorum,Adenium multiflorum,76366-1,Species,impala lily:megoza:sabi star,,,,,,megoza:sabi-star:sabi-star,MPNS:::::::::::::WEP (Wiersema 2013)
14,76369-1,Adenium obesum,Adenium obesum,76369-1,Species,adan:adana:baobab chacal:baobab du chacal:baobab of the jackal:baobá exótica:baobá-exótica:desert rose:desert-rose:djindje pété:djindje-pété:egales:faux baobab:feyid:gewöhnliche wüstenrose:halubu:impala lily:impala-lily:ipirintai:kaluny:koliya:lgandaiyu:lis des impalas:marud:mdagu:mdaguwande:mock azalea:muk-fadjie:mwandiga:mwanja:obbe:ökenros:oleteti:pied d'éléphant:rosa do deserto:rosa-do-deserto:rose du désert:seyfid:tulata:uba,desert-rose,,"['""Adenium obesum""']",,,mock azalea:mock azalea,MPNS:USDA Plants Database::Wiki (['en: List_of_plants_by_common_name']):::::CPCS toxic:::::WEP (Wiersema 2013)
15,76369-1,Adenium obesum,Adenium obesum,76369-1,Species,adan:adana:baobab chacal:baobab du chacal:baobab of the jackal:baobá exótica:baobá-exótica:desert rose:desert-rose:djindje pété:djindje-pété:egales:faux baobab:feyid:gewöhnliche wüstenrose:halubu:impala lily:impala-lily:ipirintai:kaluny:koliya:lgandaiyu:lis des impalas:marud:mdagu:mdaguwande:mock azalea:muk-fadjie:mwandiga:mwanja:obbe:ökenros:oleteti:pied d'éléphant:rosa do deserto:rosa-do-deserto:rose du désert:seyfid:tulata:uba,desert-rose,,"['""Adenium obesum""']",,,baobá-exótica,MPNS:USDA Plants Database::Wiki (['en: List_of_plants_by_common_name']):::::CPCS toxic:::::WEP (Wiersema 2013)
16,76369-1,Adenium obesum,Adenium obesum,76369-1,Species,adan:adana:baobab chacal:baobab du chacal:baobab of the jackal:baobá exótica:baobá-exótica:desert rose:desert-rose:djindje pété:djindje-pété:egales:faux baobab:feyid:gewöhnliche wüstenrose:halubu:impala lily:impala-lily:ipirintai:kaluny:koliya:lgandaiyu:lis des impalas:marud:mdagu:mdaguwande:mock azalea:muk-fadjie:mwandiga:mwanja:obbe:ökenros:oleteti:pied d'éléphant:rosa do deserto:rosa-do-deserto:rose du désert:seyfid:tulata:uba,desert-rose,,"['""Adenium obesum""']",,,"baobab chacal:desert-rose:djindje-pété:faux baobab:gewöhnliche Wüstenrose:lis des impalas:ørkenrose:pied d'éléphant:rosa-do-deserto:desert-rose:rose du désert:Wüstenrose, gewöhnliche Wüstenrose",MPNS:USDA Plants Database::Wiki (['en: List_of_plants_by_common_name']):::::CPCS toxic:::::WEP (Wiersema 2013)
17,76369-1,Adenium obesum,Adenium obesum,76369-1,Species,adan:adana:baobab chacal:baobab du chacal:baobab of the jackal:baobá exótica:baobá-exótica:desert rose:desert-rose:djindje pété:djindje-pété:egales:faux baobab:feyid:gewöhnliche wüstenrose:halubu:impala lily:impala-lily:ipirintai:kaluny:koliya:lgandaiyu:lis des impalas:marud:mdagu:mdaguwande:mock azalea:muk-fadjie:mwandiga:mwanja:obbe:ökenros:oleteti:pied d'éléphant:rosa do deserto:rosa-do-deserto:rose du désert:seyfid:tulata:uba,desert-rose,,"['""Adenium obesum""']",,,ökenros,MPNS:USDA Plants Database::Wiki (['en: List_of_plants_by_common_name']):::::CPCS toxic:::::WEP (Wiersema 2013)
18,76370-1,Adenium oleifolium,Adenium oleifolium,76370-1,Species,bitterkambro:ouheip:pylgif,,,,,,,MPNS:::::::::::::
19,76388-1,Aganosma cymosa,Aganosma cymosa,76388-1,Species,anaikaita:anakkayyerram:chidaralanabilu:chithra leena balli:citrelinaballi:manimalaankodi:paarivengipatchilai:sellakkodi:tsjeria-pu-pal-valli,,,,,,,MPNS:::::::::::::
20,77125846-1,Aganosma heynei,Aganosma heynei,77125846-1,Species,asanamallika:asphota:bhadramunja:bhadravalli:cerupaval:cherupaval:chitraleena balli:eri yadalalli:gudapalathige:gudapalatige:gurapalatige:jati:kavettavalli:kayerravalli:kemettivalli:kemmatti balli:maalathi:maalathi latha:maalathi lathe:malajiti:malathi lathe:malati:malatilata:mogari:paalamalle:palamalle:pala malle:sna ma i me tog:srid sin:sri sin gi me tog:sumana:sumanaa:vasanti:visalyakrit:yuvati,,,,,,,MPNS:::::::::::::
21,76413-1,Aganosma wallichii,Aganosma wallichii,76413-1,Species,malati:palamalle,,,,,,,MPNS:::::::::::::
22,76417-1,Alafia barteri,Alafia barteri,76417-1,Species,agbari etu ,,,,,,,MPNS:::::::::::::
23,76468-1,Allamanda blanchetii,Allamanda blanchetii,76468-1,Species,leiteiro:quatro-patacas-foxa:rosa-mole,purple allamanda,,,,,purple allamanda:Purpur-Allamande:purple allamanda:Purpur-Allamande:purpurallamanda,MPNS:USDA Plants Database::::::::::::WEP (Wiersema 2013)
24,319065-2,Allamanda cathartica,Allamanda cathartica,319065-2,Species,allamaande gida:allamandagide:allemandatheega:arasinahu:arishina hoo:bothi:campanilla:dedal-de-dama:dumári raüwa:golden trumpet:haladi hoo:haladilu:kanagnee hoo:kolaambi:mittaayi hoo:saitanapu:the cup of gold:tumi lalahka:wel rukaththana:willow leaved allamanda:yellow alamanda:yellow bell:වැල් රුක්අත්තන,golden trumpet," <section id=""vernacular-names"" class=""c-article-section"">","['""Allamanda cathartica""']",,Golden trumpet vine:en,alamanda-amarela:allamanda:gylden allamanda:Allamande:common trumpetvine:dedal-de-dama:dedal-de-princesa:dedal-de-rainha:golden-trumpet:Goldtrompete:gylden allamanda:golden-trumpet:common trumpetvine:yellow allamanda,MPNS:USDA Plants Database:POWO pages(319065-2):Wiki (['sv: Lista_över_växter/A'])::SpeciesProfileVernacular::::::::WEP (Wiersema 2013)
25,319065-2,Allamanda cathartica,Allamanda cathartica,319065-2,Species,allamaande gida:allamandagide:allemandatheega:arasinahu:arishina hoo:bothi:campanilla:dedal-de-dama:dumári raüwa:golden trumpet:haladi hoo:haladilu:kanagnee hoo:kolaambi:mittaayi hoo:saitanapu:the cup of gold:tumi lalahka:wel rukaththana:willow leaved allamanda:yellow alamanda:yellow bell:වැල් රුක්අත්තන,golden trumpet," <section id=""vernacular-names"" class=""c-article-section"">","['""Allamanda cathartica""']",,Golden trumpet vine:en,yellow allamanda,MPNS:USDA Plants Database:POWO pages(319065-2):Wiki (['sv: Lista_över_växter/A'])::SpeciesProfileVernacular::::::::WEP (Wiersema 2013)
26,319065-2,Allamanda cathartica,Allamanda cathartica,319065-2,Species,allamaande gida:allamandagide:allemandatheega:arasinahu:arishina hoo:bothi:campanilla:dedal-de-dama:dumári raüwa:golden trumpet:haladi hoo:haladilu:kanagnee hoo:kolaambi:mittaayi hoo:saitanapu:the cup of gold:tumi lalahka:wel rukaththana:willow leaved allamanda:yellow alamanda:yellow bell:වැල් රුක්අත්තන,golden trumpet," <section id=""vernacular-names"" class=""c-article-section"">","['""Allamanda cathartica""']",,Golden trumpet vine:en,copa de oro,MPNS:USDA Plants Database:POWO pages(319065-2):Wiki (['sv: Lista_över_växter/A'])::SpeciesProfileVernacular::::::::WEP (Wiersema 2013)
27,76507-1,Alstonia angustiloba,Alstonia angustiloba,76507-1,Species,pulai,,,,,,pulai,MPNS:::::::::::::WEP (Wiersema 2013)
28,76511-1,Alstonia boonei,Alstonia boonei,76511-1,Species,adawura:alstonia:alstonia bark:alstonia boonei:awun:bakunin:boone's. alstonia:cheesewood:egbu:ekouk:emenle:emie:emien:nyamenlebaka:nyemi dua:onyame dua:osen-nuro:patternwood:pattern wood:siaketekre:sinduro:sinu:sinuro:stoolwood:stool wood:ukhu:ukpo,,,,,,alstonia:patternwood:stoolwood,MPNS:::::::::::::WEP (Wiersema 2013)
29,76511-1,Alstonia boonei,Alstonia boonei,76511-1,Species,adawura:alstonia:alstonia bark:alstonia boonei:awun:bakunin:boone's. alstonia:cheesewood:egbu:ekouk:emenle:emie:emien:nyamenlebaka:nyemi dua:onyame dua:osen-nuro:patternwood:pattern wood:siaketekre:sinduro:sinu:sinuro:stoolwood:stool wood:ukhu:ukpo,,,,,,cheesewood,MPNS:::::::::::::WEP (Wiersema 2013)
30,76511-1,Alstonia boonei,Alstonia boonei,76511-1,Species,adawura:alstonia:alstonia bark:alstonia boonei:awun:bakunin:boone's. alstonia:cheesewood:egbu:ekouk:emenle:emie:emien:nyamenlebaka:nyemi dua:onyame dua:osen-nuro:patternwood:pattern wood:siaketekre:sinduro:sinu:sinuro:stoolwood:stool wood:ukhu:ukpo,,,,,,ekouk,MPNS:::::::::::::WEP (Wiersema 2013)
31,76511-1,Alstonia boonei,Alstonia boonei,76511-1,Species,adawura:alstonia:alstonia bark:alstonia boonei:awun:bakunin:boone's. alstonia:cheesewood:egbu:ekouk:emenle:emie:emien:nyamenlebaka:nyemi dua:onyame dua:osen-nuro:patternwood:pattern wood:siaketekre:sinduro:sinu:sinuro:stoolwood:stool wood:ukhu:ukpo,,,,,,emien,MPNS:::::::::::::WEP (Wiersema 2013)
32,76517-1,Alstonia congensis,Alstonia congensis,76517-1,Species,ahun ,,,,,,Bokukabambale:songati,MPNS:::::::::::::WEP (Wiersema 2013)
33,76518-1,Alstonia constricta,Alstonia constricta,76518-1,Species,alstonia constricta:alstonia cortex:australian fever bark:australian fever bark tree:australian feverbark-tree:bitterbark:bitter bark:bitterrinde:devil's tree:dita bark:feverbark:fever bark:kaippup pattai:native quinine bark:peruvian-bark:quininebush:quininetree,,,,,,Australian feverbark-tree:Peruvian-bark:Bitterrinde:feverbark:Peruvian-bark:quininebush:Australian feverbark-tree,MPNS:::::::::::::WEP (Wiersema 2013)
34,76518-1,Alstonia constricta,Alstonia constricta,76518-1,Species,alstonia constricta:alstonia cortex:australian fever bark:australian fever bark tree:australian feverbark-tree:bitterbark:bitter bark:bitterrinde:devil's tree:dita bark:feverbark:fever bark:kaippup pattai:native quinine bark:peruvian-bark:quininebush:quininetree,,,,,,bitterbark,MPNS:::::::::::::WEP (Wiersema 2013)
35,76518-1,Alstonia constricta,Alstonia constricta,76518-1,Species,alstonia constricta:alstonia cortex:australian fever bark:australian fever bark tree:australian feverbark-tree:bitterbark:bitter bark:bitterrinde:devil's tree:dita bark:feverbark:fever bark:kaippup pattai:native quinine bark:peruvian-bark:quininebush:quininetree,,,,,,"feverbark-tree, Australian feverbark-tree",MPNS:::::::::::::WEP (Wiersema 2013)
36,76518-1,Alstonia constricta,Alstonia constricta,76518-1,Species,alstonia constricta:alstonia cortex:australian fever bark:australian fever bark tree:australian feverbark-tree:bitterbark:bitter bark:bitterrinde:devil's tree:dita bark:feverbark:fever bark:kaippup pattai:native quinine bark:peruvian-bark:quininebush:quininetree,,,,,,quininetree,MPNS:::::::::::::WEP (Wiersema 2013)
37,10153-2,Alstonia longifolia,Alstonia longifolia,10153-2,Species,quina,,,,,,,MPNS:::::::::::::
38,76556-1,Alstonia macrophylla,Alstonia macrophylla,76556-1,Species,batino:hard alstonia:hard milkwood:havari nuga:janthaala mara:match stick tree:seeme saptha parni:thungfaa,deviltree,,,,,hard alstonia:hard alstonia,MPNS:USDA Plants Database::::::::::::WEP (Wiersema 2013)
39,76556-1,Alstonia macrophylla,Alstonia macrophylla,76556-1,Species,batino:hard alstonia:hard milkwood:havari nuga:janthaala mara:match stick tree:seeme saptha parni:thungfaa,deviltree,,,,,hard milkwood:hard milkwood,MPNS:USDA Plants Database::::::::::::WEP (Wiersema 2013)
40,60445977-2,Alstonia scholaris,Alstonia scholaris,60445977-2,Species,aelele haale:ajan:alstonia:alstonia scholaris:ayugmachchhada:ayugmaparna:ayukachhada:azhilaip-palai:bahuparna:bantale:blackboardtree:blackboard tree:brihattvaka:brihatvaka:captaparanam:captaparani:chaitan:chataan:chatian:chatiana:chatim:chatin:chatiun:chatiyan:chatraparna:chattiyan:chbatiana:chhatamain:chhatan:chhataun:chhatium:chhativan:chhatiwan:chhityon:chitavan:chithon:daevasurippi:daivapala:daivaphal:daivappala:dalegandhi:deng tai ye:devasurippi:devavriksha:devil's tree:deviltree:devil tree:dhalthuna:dita:ditabark:dita bark:dita bark tree:dita-bark tree:doddapala:doddapale:echite:edaakulapaala:edaakulaponna:edakula:edakulaariti:edakula-ariti:edakulapala:edakula-pala:edakulaponna:edakula ponna:edakula-ponna:edakularati:elaaramu:elalaipalai:elaramu:elelebale:elelehale:elelepale:eleyalaga:elilaippalai:elilai-ppalai:elilai-p-palai:elilampala:elilapala:elilapalei:elilappalai:erilampala:ezhilai palai:ezhilai-palai:ezhilaip-palai:ezhilampala:ezhilapala:ezilampala:ezilampalai:gandhiparna:gas rukaththana:grahanasha:grahanashamaparna:grahashi:guchhapushpa:haale:haale mara:hale:jantala:jantale:janthaale mara:janthalla:janthalle:janthatthi:janthra haale:jantrahale:jivani:kaadu haale:kaadu saale:kadusaale:kadusale:kashim (chatim):kodaale:kodale:kodapala:kodu haale:koduhale:koduhale madale:konda ganneru:kotapala:kshatrya:lo ma bdun:madagandha:maddaale:maddale:madi haale:mangalapala:mangalappala:maranallari:milkwood-pine:milky-bean:milky pine:milky-pine:mokkanpala:mudhol:mudihale:mukampala:mukam-palei:mukkampala:mukkanbalai:mukkan-pala:munichhada:na:paalagaruda:paale:pala:palagaruda:pala-garuda:palai:pale:palegaruda:palegarudu:pale jambu:palembu:palimara:palimari:pali-mari:palmira alstonia:payasya:pelai:pulai:purbo:saitan:saitankajhad:saitian gach:saittan ka jat:saptacchada:saptacchadah:saptachadah:saptachhada:saptahva:saptāhvā:saptanga:saptaparna:sapta-parna:saptaparnachal:saptaparnah:saptaparṇa (stem bark):saptaparni:saptaparṅī:sapthaparni:saptha parni:sarada:satanna:satawana:sathi:sathuin:sathvin:sathwin:satiun:satni:sat patia:satuin:satvana:satveen:satvin:satwin:shaitanwood:shalmalipatraka:sharada:sharadipushpa:shirarujam:shuktiparna:sotian:sringiritika:suparnaka:sutipatra:taisan:tang jiao shu:teufelsbaum:thengnu:tirunamappalai:vadirasi:vidha:vinada:vinyaka:visalatvak:visaltvak:visamacchada:vishalatvaka:vishamachhada:wallun:white cheesewood:white-pine:yaksippala:yedakulapala:yelelebaale mara:ঠেঙনু:ගස් රුක්අත්තන,,,,,,palmira alstonia:milky-bean:deviltree:ditabark:milky-bean:milky-pine:pali-mari:palmira alstonia:milkwood-pine:milky-pine:Teufelsbaum:糖胶树 (tang jiao shu),MPNS:::::::::::::WEP (Wiersema 2013)
41,60445977-2,Alstonia scholaris,Alstonia scholaris,60445977-2,Species,aelele haale:ajan:alstonia:alstonia scholaris:ayugmachchhada:ayugmaparna:ayukachhada:azhilaip-palai:bahuparna:bantale:blackboardtree:blackboard tree:brihattvaka:brihatvaka:captaparanam:captaparani:chaitan:chataan:chatian:chatiana:chatim:chatin:chatiun:chatiyan:chatraparna:chattiyan:chbatiana:chhatamain:chhatan:chhataun:chhatium:chhativan:chhatiwan:chhityon:chitavan:chithon:daevasurippi:daivapala:daivaphal:daivappala:dalegandhi:deng tai ye:devasurippi:devavriksha:devil's tree:deviltree:devil tree:dhalthuna:dita:ditabark:dita bark:dita bark tree:dita-bark tree:doddapala:doddapale:echite:edaakulapaala:edaakulaponna:edakula:edakulaariti:edakula-ariti:edakulapala:edakula-pala:edakulaponna:edakula ponna:edakula-ponna:edakularati:elaaramu:elalaipalai:elaramu:elelebale:elelehale:elelepale:eleyalaga:elilaippalai:elilai-ppalai:elilai-p-palai:elilampala:elilapala:elilapalei:elilappalai:erilampala:ezhilai palai:ezhilai-palai:ezhilaip-palai:ezhilampala:ezhilapala:ezilampala:ezilampalai:gandhiparna:gas rukaththana:grahanasha:grahanashamaparna:grahashi:guchhapushpa:haale:haale mara:hale:jantala:jantale:janthaale mara:janthalla:janthalle:janthatthi:janthra haale:jantrahale:jivani:kaadu haale:kaadu saale:kadusaale:kadusale:kashim (chatim):kodaale:kodale:kodapala:kodu haale:koduhale:koduhale madale:konda ganneru:kotapala:kshatrya:lo ma bdun:madagandha:maddaale:maddale:madi haale:mangalapala:mangalappala:maranallari:milkwood-pine:milky-bean:milky pine:milky-pine:mokkanpala:mudhol:mudihale:mukampala:mukam-palei:mukkampala:mukkanbalai:mukkan-pala:munichhada:na:paalagaruda:paale:pala:palagaruda:pala-garuda:palai:pale:palegaruda:palegarudu:pale jambu:palembu:palimara:palimari:pali-mari:palmira alstonia:payasya:pelai:pulai:purbo:saitan:saitankajhad:saitian gach:saittan ka jat:saptacchada:saptacchadah:saptachadah:saptachhada:saptahva:saptāhvā:saptanga:saptaparna:sapta-parna:saptaparnachal:saptaparnah:saptaparṇa (stem bark):saptaparni:saptaparṅī:sapthaparni:saptha parni:sarada:satanna:satawana:sathi:sathuin:sathvin:sathwin:satiun:satni:sat patia:satuin:satvana:satveen:satvin:satwin:shaitanwood:shalmalipatraka:sharada:sharadipushpa:shirarujam:shuktiparna:sotian:sringiritika:suparnaka:sutipatra:taisan:tang jiao shu:teufelsbaum:thengnu:tirunamappalai:vadirasi:vidha:vinada:vinyaka:visalatvak:visaltvak:visamacchada:vishalatvaka:vishamachhada:wallun:white cheesewood:white-pine:yaksippala:yedakulapala:yelelebaale mara:ঠেঙনু:ගස් රුක්අත්තන,,,,,,blackboardtree,MPNS:::::::::::::WEP (Wiersema 2013)
42,60445977-2,Alstonia scholaris,Alstonia scholaris,60445977-2,Species,aelele haale:ajan:alstonia:alstonia scholaris:ayugmachchhada:ayugmaparna:ayukachhada:azhilaip-palai:bahuparna:bantale:blackboardtree:blackboard tree:brihattvaka:brihatvaka:captaparanam:captaparani:chaitan:chataan:chatian:chatiana:chatim:chatin:chatiun:chatiyan:chatraparna:chattiyan:chbatiana:chhatamain:chhatan:chhataun:chhatium:chhativan:chhatiwan:chhityon:chitavan:chithon:daevasurippi:daivapala:daivaphal:daivappala:dalegandhi:deng tai ye:devasurippi:devavriksha:devil's tree:deviltree:devil tree:dhalthuna:dita:ditabark:dita bark:dita bark tree:dita-bark tree:doddapala:doddapale:echite:edaakulapaala:edaakulaponna:edakula:edakulaariti:edakula-ariti:edakulapala:edakula-pala:edakulaponna:edakula ponna:edakula-ponna:edakularati:elaaramu:elalaipalai:elaramu:elelebale:elelehale:elelepale:eleyalaga:elilaippalai:elilai-ppalai:elilai-p-palai:elilampala:elilapala:elilapalei:elilappalai:erilampala:ezhilai palai:ezhilai-palai:ezhilaip-palai:ezhilampala:ezhilapala:ezilampala:ezilampalai:gandhiparna:gas rukaththana:grahanasha:grahanashamaparna:grahashi:guchhapushpa:haale:haale mara:hale:jantala:jantale:janthaale mara:janthalla:janthalle:janthatthi:janthra haale:jantrahale:jivani:kaadu haale:kaadu saale:kadusaale:kadusale:kashim (chatim):kodaale:kodale:kodapala:kodu haale:koduhale:koduhale madale:konda ganneru:kotapala:kshatrya:lo ma bdun:madagandha:maddaale:maddale:madi haale:mangalapala:mangalappala:maranallari:milkwood-pine:milky-bean:milky pine:milky-pine:mokkanpala:mudhol:mudihale:mukampala:mukam-palei:mukkampala:mukkanbalai:mukkan-pala:munichhada:na:paalagaruda:paale:pala:palagaruda:pala-garuda:palai:pale:palegaruda:palegarudu:pale jambu:palembu:palimara:palimari:pali-mari:palmira alstonia:payasya:pelai:pulai:purbo:saitan:saitankajhad:saitian gach:saittan ka jat:saptacchada:saptacchadah:saptachadah:saptachhada:saptahva:saptāhvā:saptanga:saptaparna:sapta-parna:saptaparnachal:saptaparnah:saptaparṇa (stem bark):saptaparni:saptaparṅī:sapthaparni:saptha parni:sarada:satanna:satawana:sathi:sathuin:sathvin:sathwin:satiun:satni:sat patia:satuin:satvana:satveen:satvin:satwin:shaitanwood:shalmalipatraka:sharada:sharadipushpa:shirarujam:shuktiparna:sotian:sringiritika:suparnaka:sutipatra:taisan:tang jiao shu:teufelsbaum:thengnu:tirunamappalai:vadirasi:vidha:vinada:vinyaka:visalatvak:visaltvak:visamacchada:vishalatvaka:vishamachhada:wallun:white cheesewood:white-pine:yaksippala:yedakulapala:yelelebaale mara:ঠেঙনু:ගස් රුක්අත්තන,,,,,,echite,MPNS:::::::::::::WEP (Wiersema 2013)
