,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,MPNS_Snippet,USDA_Snippet,POWO_Snippet,Wiki_Snippet,PPA_Snippet,SPP_Snippet,WEP_snippet,Sources
0,77164695-1,Acokanthera oblongifolia,Acokanthera oblongifolia,77164695-1,Species,dune poison bush:wintersweet,,,,,,African wintersweet:afrikanisches Schöngift:Hottentot's-poison:poison-arrow-plant:Hottentot's-poison:poison-arrow-plant:dune-poisonbush:afrikanisches Schöngift:vintersöta:African wintersweet,MPNS:::::::::::::WEP (Wiersema 2013)
1,77164695-1,Acokanthera oblongifolia,Acokanthera oblongifolia,77164695-1,Species,dune poison bush:wintersweet,,,,,,"arrow-plant, poison-arrow-plant",MPNS:::::::::::::WEP (Wiersema 2013)
2,77164695-1,Acokanthera oblongifolia,Acokanthera oblongifolia,77164695-1,Species,dune poison bush:wintersweet,,,,,,dune-poisonbush,MPNS:::::::::::::WEP (Wiersema 2013)
3,76349-1,Acokanthera oppositifolia,Acokanthera oppositifolia,76349-1,Species,arrow-poison tree:boesmansgif:buschmanns schöngift:bushman poison:bushman's-poison:common poison bush:common-poisonbush:ibai:intlungunyembe:kikweo:kiururu:msungusungu:msunguti:mubai:mukweu:mururu:musungusungu:muva-wa-ngo:ngweo:olmorijoi:rumbara:ubuhlungu:ubuhlungu benamba:ubuhlungu benyoka:ubuhlungu bomthwa:usungu:wintersweet,,,,,,boesmansgif:buschmanns Schöngift,MPNS:::::::::::::WEP (Wiersema 2013)
4,76349-1,Acokanthera oppositifolia,Acokanthera oppositifolia,76349-1,Species,arrow-poison tree:boesmansgif:buschmanns schöngift:bushman poison:bushman's-poison:common poison bush:common-poisonbush:ibai:intlungunyembe:kikweo:kiururu:msungusungu:msunguti:mubai:mukweu:mururu:musungusungu:muva-wa-ngo:ngweo:olmorijoi:rumbara:ubuhlungu:ubuhlungu benamba:ubuhlungu benyoka:ubuhlungu bomthwa:usungu:wintersweet,,,,,,buschmanns Schöngift,MPNS:::::::::::::WEP (Wiersema 2013)
5,76349-1,Acokanthera oppositifolia,Acokanthera oppositifolia,76349-1,Species,arrow-poison tree:boesmansgif:buschmanns schöngift:bushman poison:bushman's-poison:common poison bush:common-poisonbush:ibai:intlungunyembe:kikweo:kiururu:msungusungu:msunguti:mubai:mukweu:mururu:musungusungu:muva-wa-ngo:ngweo:olmorijoi:rumbara:ubuhlungu:ubuhlungu benamba:ubuhlungu benyoka:ubuhlungu bomthwa:usungu:wintersweet,,,,,,bushman's-poison,MPNS:::::::::::::WEP (Wiersema 2013)
6,76349-1,Acokanthera oppositifolia,Acokanthera oppositifolia,76349-1,Species,arrow-poison tree:boesmansgif:buschmanns schöngift:bushman poison:bushman's-poison:common poison bush:common-poisonbush:ibai:intlungunyembe:kikweo:kiururu:msungusungu:msunguti:mubai:mukweu:mururu:musungusungu:muva-wa-ngo:ngweo:olmorijoi:rumbara:ubuhlungu:ubuhlungu benamba:ubuhlungu benyoka:ubuhlungu bomthwa:usungu:wintersweet,,,,,,common-poisonbush:common-poisonbush,MPNS:::::::::::::WEP (Wiersema 2013)
8,60447729-2,Acokanthera schimperi,Acokanthera schimperi,60447729-2,Species,acokanthera:arrow-poison plant:arrow-poison tree:arrow-poison-tree:common poison bush:common-poisonbush:ilmorijoi:k'arraaru:karraru:kelion:keliot:kelyon:kelyot:kivai:marid:msungu:msunguti:muricu:mururu:olmorijoi:pfeilspitzen-schöngift,,,,,,arrow-poison-tree,MPNS:::::::::::USDA(Duke)::WEP (Wiersema 2013)
9,60447729-2,Acokanthera schimperi,Acokanthera schimperi,60447729-2,Species,acokanthera:arrow-poison plant:arrow-poison tree:arrow-poison-tree:common poison bush:common-poisonbush:ilmorijoi:k'arraaru:karraru:kelion:keliot:kelyon:kelyot:kivai:marid:msungu:msunguti:muricu:mururu:olmorijoi:pfeilspitzen-schöngift,,,,,,Pfeilspitzen-Schöngift,MPNS:::::::::::USDA(Duke)::WEP (Wiersema 2013)
10,60447729-2,Acokanthera schimperi,Acokanthera schimperi,60447729-2,Species,acokanthera:arrow-poison plant:arrow-poison tree:arrow-poison-tree:common poison bush:common-poisonbush:ilmorijoi:k'arraaru:karraru:kelion:keliot:kelyon:kelyot:kivai:marid:msungu:msunguti:muricu:mururu:olmorijoi:pfeilspitzen-schöngift,,,,,,arrow-poison-tree:Pfeilspitzen-Schöngift:arrow-poison-tree,MPNS:::::::::::USDA(Duke)::WEP (Wiersema 2013)
