,accepted,author,kingdom,Family,name,rank,powo_Snippet,Source,fqId,images
0,True,(L.) G.Don,Plantae,Apocynaceae,Catharanthus roseus,Species, <b>Use</b>: Some of the <em>alkaloids</em> of C. roseus are used,POWO pages(/taxon/urn:lsid:ipni.org:names:77880-1),77880-1,"[{'thumbnail': '//storage.googleapis.com/powop-assets/kew_profiles/Catharanthus_roseus_flwr_EXP_CH98_149_main_web_2015_thumbnail.jpg', 'fullsize': '//storage.googleapis.com/powop-assets/kew_profiles/Catharanthus_roseus_flwr_EXP_CH98_149_main_web_2015_fullsize.jpg', 'caption': 'Catharanthus roseus (Madagascar periwinkle)'}, {'thumbnail': '//storage.googleapis.com/powop-assets/kew_profiles/Catharanthus_roseus_bush_EXP_CH98_150_MED_web_thumbnail.jpg', 'fullsize': '//storage.googleapis.com/powop-assets/kew_profiles/Catharanthus_roseus_bush_EXP_CH98_150_MED_web_fullsize.jpg', 'caption': 'Catharanthus roseus'}, {'thumbnail': '//storage.googleapis.com/powop-assets/kew_profiles/Catharanthus_roseus_insitu_6_AMcR_MED_web_thumbnail.jpg', 'fullsize': '//storage.googleapis.com/powop-assets/kew_profiles/Catharanthus_roseus_insitu_6_AMcR_MED_web_fullsize.jpg', 'caption': 'Catharanthus roseus'}]"
1,True,(L.) G.Don,Plantae,Apocynaceae,Catharanthus roseus,Species, <b>Use</b>: Some of the <em>alkaloids</em> of C. roseus are used,POWO pages(/taxon/urn:lsid:ipni.org:names:77880-1),77880-1,"[{'thumbnail': '//storage.googleapis.com/powop-assets/kew_profiles/Catharanthus_roseus_flwr_EXP_CH98_149_main_web_2015_thumbnail.jpg', 'fullsize': '//storage.googleapis.com/powop-assets/kew_profiles/Catharanthus_roseus_flwr_EXP_CH98_149_main_web_2015_fullsize.jpg', 'caption': 'Catharanthus roseus (Madagascar periwinkle)'}, {'thumbnail': '//storage.googleapis.com/powop-assets/kew_profiles/Catharanthus_roseus_bush_EXP_CH98_150_MED_web_thumbnail.jpg', 'fullsize': '//storage.googleapis.com/powop-assets/kew_profiles/Catharanthus_roseus_bush_EXP_CH98_150_MED_web_fullsize.jpg', 'caption': 'Catharanthus roseus'}, {'thumbnail': '//storage.googleapis.com/powop-assets/kew_profiles/Catharanthus_roseus_insitu_6_AMcR_MED_web_thumbnail.jpg', 'fullsize': '//storage.googleapis.com/powop-assets/kew_profiles/Catharanthus_roseus_insitu_6_AMcR_MED_web_fullsize.jpg', 'caption': 'Catharanthus roseus'}]"
2,True,Stapf,Plantae,Apocynaceae,Adenium oleifolium,Species, <b>Appearance</b>:  very <em>bitter</em>-tasting rootstock 50–80 x 15–30 cm.,POWO pages(/taxon/urn:lsid:ipni.org:names:76370-1),76370-1,"[{'thumbnail': '//d2seqvvyy3b8p2.cloudfront.net/f8cc421ca12c79e8bffe4c3c0cd719cc.jpg', 'fullsize': '//d2seqvvyy3b8p2.cloudfront.net/e6f05e6a9061b2ee3a3babf34645d316.jpg', 'caption': ""A specimen from Kew's Herbarium""}]"
