,Accepted_Name,Language
0,Acokanthera laevigata,['en']
1,Acokanthera oblongifolia,"['es', 'en', 'fr']"
2,Acokanthera oppositifolia,"['es', 'en', 'fr']"
3,Acokanthera rotundata,['en']
4,Acokanthera schimperi,"['es', 'en', 'fr']"
5,Adenium boehmianum,"['es', 'en']"
6,Adenium multiflorum,['en']
7,Adenium obesum,"['es', 'en', 'fr', 'pt']"
8,Adenium oleifolium,['en']
9,Adenium swazicum,['en']
10,Aganosma cymosa,['en']
11,Alafia alba,['pt']
12,Alafia barteri,['en']
13,Alafia caudata,['en']
14,Alafia landolphioides,['en']
15,Alafia lucida,['en']
16,Alafia multiflora,['en']
17,Alafia orientalis,['en']
18,Alafia parciflora,['fr']
19,Alafia zambesiaca,['en']
20,Allamanda angustifolia,"['es', 'en']"
21,Allamanda blanchetii,"['en', 'fr', 'pt']"
22,Allamanda cathartica,"['es', 'en', 'fr', 'pt']"
23,Allamanda polyantha,['en']
24,Allamanda puberula,['en']
25,Allamanda schottii,"['es', 'en', 'fr']"
26,Allomarkgrafia ecuatoriana,['en']
27,Allomarkgrafia plumeriiflora,['es']
28,Allowoodsonia whitmorei,"['es', 'en', 'pt']"
29,Alstonia angustifolia,"['en', 'fr']"
30,Alstonia angustiloba,['en']
31,Alstonia annamensis,"['en', 'fr']"
32,Alstonia beatricis,"['en', 'fr']"
33,Alstonia boonei,"['es', 'en', 'fr']"
34,Alstonia breviloba,"['en', 'fr']"
35,Alstonia congensis,"['en', 'fr']"
36,Alstonia constricta,"['es', 'en']"
37,Alstonia costata,['es']
38,Alstonia iwahigensis,['en']
39,Alstonia longifolia,['en']
40,Alstonia macrophylla,"['es', 'en', 'fr']"
41,Alstonia penangiana,"['en', 'fr']"
42,Alstonia pneumatophora,['en']
43,Alstonia rubiginosa,"['en', 'fr']"
44,Alstonia rupestris,['en']
45,Alstonia scholaris,"['es', 'en', 'fr']"
46,Alstonia spatulata,['en']
47,Alstonia spectabilis,['es']
48,Alstonia venenata,['en']
49,Alyxia bracteolosa,['en']
50,Alyxia buxifolia,"['es', 'en']"
51,Alyxia gynopogon,['es']
52,Alyxia menglungensis,['en']
53,Alyxia ruscifolia,['en']
54,Alyxia sinensis,['en']
55,Alyxia spicata,['en']
56,Alyxia squamulosa,['en']
57,Alyxia stellata,['en']
58,Alyxia tisserantii,['fr']
59,Amalocalyx microlobus,"['es', 'en']"
60,Ambelania acida,"['fr', 'pt']"
61,Ampelamus laevis,['en']
62,Amphineurion marginatum,"['es', 'en']"
63,Amsonia ciliata,['en']
64,Amsonia hubrichtii,['en']
65,Amsonia kearneyana,['en']
66,Amsonia orientalis,['en']
67,Amsonia tabernaemontana,"['en', 'fr']"
68,Amsonia tharpii,['en']
69,Amsonia tomentosa,['en']
70,Ancylobothrys capensis,['en']
71,Ancylobothrys petersiana,['en']
