,Accepted_Name,Language
72,Ancylobothrys scandens,['fr']
73,Anechites nerium,['es']
74,Angadenia berteroi,['en']
75,Anisopus mannii,['en']
76,Apocynum androsaemifolium,"['es', 'en', 'fr']"
77,Apocynum cannabinum,"['es', 'en', 'fr']"
78,Apocynum × floribundum,['en']
79,Apocynum venetum,"['en', 'fr', 'it']"
80,Apteranthes burchardii,"['es', 'en']"
81,Araujia angustifolia,['fr']
82,Araujia sericifera,"['es', 'en', 'fr', 'it', 'pt']"
83,Asclepias albicans,"['es', 'en', 'fr']"
84,Asclepias amplexicaulis,"['es', 'en']"
85,Asclepias angustifolia,"['es', 'en']"
86,Asclepias asperula,"['es', 'en']"
87,Asclepias californica,"['es', 'en']"
88,Asclepias connivens,['en']
89,Asclepias cordifolia,"['es', 'en']"
90,Asclepias cryptoceras,"['es', 'en']"
91,Asclepias curassavica,"['es', 'en', 'fr', 'pt']"
92,Asclepias curtissii,['en']
93,Asclepias elata,['es']
94,Asclepias eriocarpa,"['es', 'en']"
95,Asclepias erosa,"['es', 'en']"
96,Asclepias exaltata,['en']
97,Asclepias fascicularis,"['es', 'en']"
98,Asclepias feayi,['en']
99,Asclepias glaucescens,['es']
100,Asclepias hirtella,['en']
101,Asclepias humistrata,"['es', 'en']"
102,Asclepias incarnata,"['es', 'en', 'fr', 'it']"
103,Asclepias involucrata,['en']
104,Asclepias kamerunensis,['fr']
105,Asclepias lanceolata,"['en', 'fr']"
106,Asclepias lanuginosa,['en']
107,Asclepias linaria,"['es', 'en']"
108,Asclepias longifolia,"['es', 'en']"
109,Asclepias meadii,['en']
110,Asclepias mexicana,"['es', 'en']"
111,Asclepias nivea,['en']
112,Asclepias nyctaginifolia,"['es', 'en']"
113,Asclepias oenotheroides,['en']
114,Asclepias pedicellata,['en']
115,Asclepias perennis,['en']
116,Asclepias purpurascens,"['es', 'en']"
117,Asclepias quadrifolia,['en']
118,Asclepias solanoana,['en']
119,Asclepias speciosa,"['es', 'en']"
120,Asclepias stenophylla,['en']
121,Asclepias subulata,"['es', 'en']"
122,Asclepias subverticillata,"['en', 'fr']"
123,Asclepias sullivantii,"['es', 'en']"
124,Asclepias syriaca,"['es', 'en', 'fr']"
125,Asclepias texana,['en']
126,Asclepias tomentosa,['en']
127,Asclepias tuberosa,"['es', 'en', 'fr']"
128,Asclepias uncialis,"['en', 'fr']"
129,Asclepias variegata,['en']
130,Asclepias verticillata,"['es', 'en']"
131,Asclepias vestita,['en']
132,Asclepias viridiflora,['en']
133,Asclepias viridis,['en']
134,Asclepias viridula,['en']
135,Asclepias welshii,['en']
136,Aspidosperma australe,"['en', 'pt']"
137,Aspidosperma carapanauba,['pt']
138,Aspidosperma cylindrocarpon,"['es', 'en', 'pt']"
139,Aspidosperma darienense,['en']
140,Aspidosperma desmanthum,['pt']
141,Aspidosperma discolor,['en']
142,Aspidosperma duckei,['en']
143,Aspidosperma eteanum,['pt']
144,Aspidosperma excelsum,['en']
145,Aspidosperma leucocymosum,['pt']
146,Aspidosperma limae,['pt']
147,Aspidosperma macrocarpon,['en']
148,Aspidosperma megalocarpon,"['es', 'en', 'fr']"
149,Aspidosperma obscurinervium,['pt']
150,Aspidosperma olivaceum,['en']
151,Aspidosperma parvifolium,"['en', 'pt']"
152,Aspidosperma polyneuron,"['es', 'en', 'fr', 'pt']"
153,Aspidosperma pyricollum,['en']
154,Aspidosperma pyrifolium,['pt']
155,Aspidosperma quebracho-blanco,"['es', 'en', 'fr', 'it', 'pt']"
156,Aspidosperma ramiflorum,"['en', 'pt']"
157,Aspidosperma spruceanum,"['es', 'en', 'pt']"
158,Aspidosperma steinbachii,['es']
159,Aspidosperma subincanum,['en']
160,Aspidosperma tomentosum,['en']
161,Aspidosperma triternatum,"['es', 'en']"
162,Aspidosperma ulei,"['en', 'pt']"
163,Asterostemma repandum,['es']
164,Australluma peschii,['en']
165,Baharuia gracilis,"['es', 'en']"
166,Baissea axillaris,['en']
167,Baissea multiflora,['en']
168,Baissea ochrantha,['fr']
169,Baynesia lophophora,"['es', 'en']"
170,Boucerosia frerei,['en']
171,Callichilia barteri,['en']
172,Callichilia monopodialis,"['en', 'fr']"
173,Calocrater preussii,"['es', 'en']"
174,Calotropis gigantea,"['es', 'en']"
175,Calotropis procera,"['es', 'en', 'fr', 'pt']"
176,Cameraria microphylla,"['es', 'en', 'it']"
177,Campestigma purpurea,"['es', 'en']"
178,Caralluma adscendens,"['en', 'fr']"
179,Caralluma fimbriata,"['es', 'en', 'pt']"
180,Carissa bispinosa,['en']
181,Carissa carandas,"['es', 'en', 'fr']"
182,Carissa macrocarpa,"['es', 'en', 'fr', 'pt']"
183,Carissa spinarum,"['en', 'fr', 'pt']"
184,Carissa tetramera,['en']
185,Cascabela balsaensis,['fr']
186,Cascabela gaumeri,"['es', 'fr']"
187,Cascabela ovata,"['es', 'fr']"
188,Cascabela pinifolia,['fr']
189,Cascabela thevetia,"['es', 'en', 'fr']"
190,Cascabela thevetioides,['fr']
191,Catharanthus coriaceus,['en']
192,Catharanthus lanceus,"['en', 'pt']"
193,Catharanthus longifolius,['en']
194,Catharanthus ovalis,"['en', 'pt']"
195,Catharanthus pusillus,"['en', 'pt']"
196,Catharanthus roseus,"['es', 'en', 'fr', 'it', 'pt']"
197,Catharanthus scitulus,['en']
198,Catharanthus trichophyllus,['en']
199,Caudanthera edulis,['fr']
200,Cerbera floribunda,['en']
201,Cerbera inflata,['en']
202,Cerbera manghas,"['es', 'en', 'fr']"
203,Cerbera odollam,"['es', 'en', 'fr']"
204,Cerberiopsis candelabra,"['en', 'fr']"
205,Cerberiopsis neriifolia,['en']
206,Cerberiopsis obtusifolia,['en']
207,Ceropegia anjanerica,['en']
208,Ceropegia aridicola,['en']
209,Ceropegia candelabrum,['en']
210,Ceropegia collaricorona,['es']
211,Ceropegia decidua,['en']
212,Ceropegia dichotoma,"['es', 'en', 'fr']"
213,Ceropegia dinteri,['en']
214,Ceropegia elegans,['en']
215,Ceropegia evansii,['en']
216,Ceropegia fusca,"['es', 'en', 'fr']"
217,Ceropegia gardneri,['en']
218,Ceropegia huberi,['en']
219,Ceropegia jainii,['en']
220,Ceropegia linearis,['en']
221,Ceropegia neo-omissa,['fr']
222,Ceropegia radicans,['en']
223,Ceropegia rhynchantha,['en']
224,Ceropegia sandersonii,"['en', 'fr']"
225,Ceropegia stapeliiformis,['en']
226,Ceropegia striata,['en']
227,Ceropegia woodii,"['es', 'en', 'fr']"
228,Chamaeclitandra henriquesiana,"['es', 'en']"
229,Chilocarpus beccarianus,['en']
230,Chilocarpus conspicuus,['en']
231,Chonemorpha fragrans,"['es', 'en']"
232,Cionura erecta,"['es', 'en']"
233,Clitandra cymulosa,"['es', 'en']"
234,Condylocarpon guyanense,['fr']
235,Condylocarpon intermedium,['es']
236,Conomitra linearis,"['es', 'en']"
237,Cordylogyne globosa,['en']
238,Couma guianensis,"['es', 'fr', 'pt']"
239,Couma macrocarpa,"['es', 'en', 'pt']"
240,Couma rigida,['pt']
241,Couma utilis,"['es', 'en', 'pt']"
242,Craspidospermum verticillatum,"['es', 'en']"
243,Crioceras dipladeniiflorus,['en']
244,Cryptolepis buchananii,['en']
245,Cryptolepis cryptolepioides,['en']
246,Cryptolepis oblongifolia,['en']
247,Cryptolepis sanguinolenta,"['es', 'en']"
248,Cryptolepis sinensis,['en']
249,Cryptostegia grandiflora,"['en', 'fr']"
250,Cryptostegia madagascariensis,['en']
251,Cycladenia humilis,"['es', 'en']"
252,Cycladenia humilis var. humilis,['es']
253,Cyclocotyla congolensis,"['es', 'en']"
254,Cylindropsis parvifolia,"['es', 'en']"
255,Cynanchum acidum,['en']
256,Cynanchum acutum,"['es', 'en', 'fr', 'pt']"
257,Cynanchum acutum subsp. acutum,['pt']
258,Cynanchum daltonii,['en']
259,Cynanchum elegans,['en']
260,Cynanchum ellipticum,['en']
261,Cynanchum gracillimum,['en']
262,Cynanchum guehoi,['en']
263,Cynanchum hooperianum,['en']
264,Cynanchum macrolobum,['en']
265,Cynanchum pulchellum,['en']
266,Cynanchum staubii,"['en', 'pt']"
267,Cynanchum viminale,"['en', 'it']"
268,Decalepis arayalpathra,['en']
269,Decalepis hamiltonii,"['es', 'en']"
270,Decalepis salicifolia,['en']
271,Dewevrella cochliostema,"['es', 'en']"
272,Dictyophleba setosa,['fr']
273,Diplorhynchus condylocarpon,"['es', 'en']"
274,Dischidanthus urceolatus,['en']
275,Dischidia major,['en']
276,Dischidia nummularia,['en']
277,Dischidia oiantha,['en']
278,Dischidia ovata,['en']
279,Dischidia ruscifolia,['en']
280,Dischidia tonkinensis,['en']
281,Dischidia vidalii,['en']
282,Dolichopetalum kwangsiense,"['es', 'en']"
283,Dregea sinensis,"['en', 'fr']"
284,Duvalia caespitosa,['en']
285,Duvalia elegans,['en']
286,Duvalia vestita,['en']
287,Duvaliandra dioscoridis,"['es', 'en']"
288,Dyera costulata,"['es', 'en', 'fr']"
289,Dyera polyphylla,['en']
290,Echites panduratus,['es']
291,Echites umbellatus,['en']
292,Echites woodsonianus,['es']
293,Echites yucatanensis,['es']
294,Ecua moluccensis,"['es', 'en']"
295,Edithcolea grandis,"['es', 'en']"
296,Elytropus chilensis,"['es', 'en']"
297,Emicocarpus fissifolius,"['es', 'en']"
298,Epigynum auritum,['en']
299,Epistemma decurrens,['fr']
300,Epistemma rupestre,['fr']
301,Eucorymbia alba,"['es', 'en']"
302,Fanninia caloglossa,"['es', 'en']"
303,Farquharia elliptica,"['es', 'en']"
304,Fockea edulis,"['es', 'en', 'pt']"
305,Fockea multiflora,['en']
306,Forsteronia myriantha,['es']
307,Forsteronia pycnothyrsus,['en']
308,Forsteronia spicata,['es']
309,Forsteronia umbellata,['fr']
310,Funastrum clausum,"['es', 'en']"
311,Funastrum cynanchoides,"['en', 'fr']"
312,Funastrum glaucum,['es']
313,Funastrum hirtellum,['en']
314,Funtumia africana,"['en', 'fr']"
315,Funtumia elastica,"['en', 'fr']"
316,Geissospermum laeve,['pt']
317,Geissospermum sericeum,['pt']
318,Gomphocarpus fruticosus,"['es', 'en', 'fr', 'it', 'pt']"
319,Gomphocarpus physocarpus,"['es', 'en', 'fr', 'pt']"
320,Gomphocarpus purpurascens,['en']
321,Gomphocarpus tomentosus,['es']
322,Goniostemma punctatum,['en']
323,Gonolobus arizonicus,['en']
324,Gonolobus barbatus,['en']
325,Gonolobus campii,['en']
326,Gonolobus saraguranus,['en']
327,Gonolobus suberosus,['en']
328,Gunnessia pepo,"['es', 'en']"
329,Gymnanthera oblonga,['en']
330,Gymnema elegans,['en']
331,Gymnema sylvestre,"['es', 'en', 'fr', 'it']"
332,Gyrostelma oxypetaloides,['en']
333,Hancornia speciosa,"['es', 'en', 'pt']"
334,Haplophyton crooksii,"['es', 'en']"
335,Hemidesmus indicus,"['es', 'en', 'pt']"
336,Hemipogon abietoides,['pt']
337,Heynella lactea,"['es', 'en']"
338,Himatanthus bracteatus,['en']
339,Himatanthus obovatus,['en']
340,Himatanthus revolutus,['en']
341,Holarrhena floribunda,"['en', 'fr']"
342,Holarrhena mitis,['en']
343,Holarrhena pubescens,"['en', 'fr']"
344,Hoodia alstonii,['en']
345,Hoodia currorii,['en']
346,Hoodia flava,['en']
347,Hoodia gordonii,"['es', 'en', 'fr', 'it']"
348,Hoodia juttae,['en']
349,Hoodia officinalis,['en']
350,Hoodia ruschii,['en']
351,Hoodia triebneri,['en']
352,Hoya aldrichii,"['en', 'fr']"
353,Hoya archboldiana,['en']
354,Hoya aurigueana,['en']
355,Hoya australis,"['es', 'en']"
356,Hoya bella,['en']
357,Hoya benstoneana,['en']
358,Hoya bicolensis,['en']
359,Hoya bilobata,['en']
360,Hoya carnosa,"['es', 'en', 'fr', 'it', 'pt']"
361,Hoya cinnamomifolia,"['es', 'en']"
362,Hoya coronaria,['en']
363,Hoya curtisii,['en']
364,Hoya cutis-porcelana,['en']
365,Hoya gaoligongensis,['en']
366,Hoya imbricata,['en']
367,Hoya indaysarae,['en']
368,Hoya kerrii,"['en', 'fr']"
369,Hoya lanceolata,['en']
370,Hoya linearis,['en']
371,Hoya macgillivrayi,['en']
372,Hoya macrophylla,['en']
373,Hoya megalaster,"['en', 'pt']"
374,Hoya meliflua,['en']
375,Hoya multiflora,['en']
376,Hoya obscura,['en']
377,Hoya pandurata,['en']
378,Hoya persicina,['en']
379,Hoya polyneura,['en']
380,Hoya pubicalyx,"['en', 'fr']"
381,Hoya retusa,['en']
382,Hoya serpens,['en']
383,Hoya shepherdii,['en']
384,Hoya siamica,['en']
385,Hoya wayetii,['en']
386,Huernia aspera,['es']
387,Huernia boleana,['es']
388,Huernia guttata,"['es', 'en']"
389,Huernia hallii,['en']
390,Huernia hislopii,['es']
391,Huernia hystrix,['en']
392,Huernia macrocarpa,"['es', 'en']"
393,Huernia occulta,['fr']
394,Huernia piersii,['es']
395,Huernia pillansii,"['es', 'en']"
396,Huernia plowesii,"['es', 'en']"
397,Huernia quinta,['es']
398,Huernia thuretii,"['es', 'en']"
399,Huernia zebrina,"['es', 'en']"
400,Hunteria camerunensis,['fr']
401,Hunteria congolana,['en']
402,Hunteria ghanensis,"['en', 'fr']"
403,Hunteria umbellata,['en']
404,Hunteria zeylanica,['en']
405,Hypolobus infractus,"['es', 'en']"
406,Ichnocarpus frutescens,"['es', 'en']"
407,Ischnolepis graminifolia,['en']
408,Ischnolepis natalensis,['en']
409,Ixodonerium annamense,"['es', 'en']"
410,Kerbera eichleri,['en']
411,Kibatalia arborea,['en']
412,Kibatalia borneensis,['en']
413,Kibatalia elmeri,"['en', 'fr']"
414,Kibatalia gitingensis,"['en', 'fr']"
415,Kibatalia longifolia,"['en', 'fr']"
416,Kibatalia macgregorii,['fr']
417,Kibatalia maingayi,['en']
418,Kibatalia merrilliana,"['en', 'fr']"
419,Kibatalia puberula,"['en', 'fr']"
420,Kibatalia stenopetala,"['en', 'fr']"
421,Kibatalia villosa,['en']
422,Kopsia arborea,['en']
423,Kopsia dasyrachis,['en']
424,Kopsia larutensis,['en']
425,Kopsia pauciflora,['en']
426,Kopsia profunda,['en']
427,Kopsia rajangensis,['en']
428,Kopsia singapurensis,"['en', 'fr']"
429,Kopsia tenuis,['en']
430,Lacmellea edulis,['en']
431,Lacmellea oblongata,['en']
432,Lacmellea panamensis,['en']
433,Landolphia angustisepala,['en']
434,Landolphia axillaris,['fr']
435,Landolphia buchananii,['en']
436,Landolphia dulcis,['en']
437,Landolphia flavidiflora,['fr']
438,Landolphia heudelotii,"['en', 'fr']"
439,Landolphia kirkii,['en']
440,Landolphia lanceolata,['fr']
441,Landolphia mannii,['en']
442,Landolphia maxima,['fr']
443,Landolphia owariensis,"['es', 'en', 'fr']"
444,Landolphia togolana,['fr']
445,Landolphia uniflora,['fr']
446,Larryleachia cactiformis,['en']
447,Larryleachia marlothii,['en']
448,Larryleachia perlata,['en']
449,Larryleachia tirasmontana,['en']
450,Lavrania haagnerae,['en']
451,Lepinia taitensis,['en']
452,Leptadenia lanceolata,['fr']
453,Leptadenia madagascariensis,['en']
454,Leptadenia pyrotechnica,"['en', 'fr']"
455,Maclaudia felixii,['en']
456,Macoubea guianensis,['es']
457,Mahawoa montana,"['es', 'en']"
458,Malouetia barbata,['fr']
459,Malouetia tamaquarina,['fr']
460,Mandevilla boliviensis,"['en', 'fr']"
461,Mandevilla brachysiphon,['en']
462,Mandevilla caurensis,['fr']
463,Mandevilla equatorialis,['en']
464,Mandevilla jamesonii,['en']
465,Mandevilla laxa,"['es', 'en', 'fr']"
466,Mandevilla sanderi,"['es', 'en', 'fr']"
467,Mandevilla splendens,['en']
468,Margaretta rosea,['en']
469,Marsdenia australis,"['es', 'en']"
470,Marsdenia cundurango,['en']
471,Marsdenia elliptica,['en']
472,Marsdenia flavescens,['en']
473,Marsdenia geminata,['fr']
474,Marsdenia lloydii,['en']
475,Marsdenia mackeeorum,['en']
476,Marsdenia oblanceolata,['en']
477,Marsdenia robusta,['en']
478,Marsdenia rostrata,['en']
479,Marsdenia suaveolens,['en']
480,Marsdenia tubulosa,['en']
481,Matelea alabamensis,['en']
482,Matelea baldwyniana,['en']
483,Matelea carolinensis,['en']
484,Matelea chimboracensis,['en']
485,Matelea cynanchoides,['en']
486,Matelea decipiens,['en']
487,Matelea ecuadorensis,['en']
488,Matelea floridana,['en']
489,Matelea harlingii,['en']
490,Matelea honorana,['en']
491,Matelea jaramilloi,['en']
492,Matelea lhotzkyana,['en']
493,Matelea obliqua,['en']
494,Matelea orthoneura,['en']
495,Matelea parvifolia,['en']
496,Matelea pastazana,['en']
497,Matelea porphyrocephala,['en']
498,Matelea reticulata,['en']
499,Matelea sintenisii,['en']
500,Matelea sprucei,['en']
501,Melodinus acutiflorus,['en']
502,Melodinus axillaris,['en']
503,Melodinus fusiformis,['en']
504,Metastelma anegadense,['en']
505,Metastelma arizonicum,['en']
506,Metastelma purpurascens,['en']
507,Microloma calycinum,['en']
508,Microloma sagittatum,['en']
509,Microloma tenuifolium,['en']
510,Microplumeria anomala,['en']
511,Minaria hemipogonoides,['pt']
512,Mondia whitei,['en']
513,Monolluma quadrangula,['en']
514,Mortoniella pittieri,"['es', 'en']"
515,Myriopteron extensum,['en']
516,Nautonia nummularia,"['es', 'en']"
517,Neobracea bahamensis,['en']
518,Neoschumannia cardinea,['es']
519,Neoschumannia kamerunensis,"['en', 'fr']"
520,Nerium oleander,"['es', 'en', 'fr', 'it', 'pt']"
521,Notechidnopsis tessellata,"['es', 'en']"
522,Ochrosia ackeringae,['en']
523,Ochrosia borbonica,"['en', 'fr']"
524,Ochrosia elliptica,"['en', 'fr']"
525,Ochrosia fatuhivensis,['en']
526,Ochrosia glomerata,['en']
527,Ochrosia grandiflora,['en']
528,Ochrosia haleakalae,['en']
529,Ochrosia hexandra,['en']
530,Ochrosia inventorum,['fr']
531,Ochrosia kauaiensis,['en']
532,Ochrosia kilaueaensis,['en']
533,Ochrosia moorei,['en']
534,Ochrosia oppositifolia,"['en', 'fr']"
535,Ochrosia poweri,['en']
536,Odontadenia geminata,['en']
537,Oncinema lineare,['en']
538,Oncinotis glabrata,['en']
539,Oncinotis tenuiloba,['en']
540,Ophionella arcuata,['en']
541,Orbea ciliata,['en']
542,Orbea decaisneana,['fr']
543,Orbea lutea subsp. vaga,['es']
544,Orbea paradoxa,['es']
545,Orbea schweinfurthii,['es']
546,Orbea variegata,"['es', 'en', 'fr']"
547,Oreosparte celebica,"['es', 'en']"
548,Orthosia mollis,['en']
549,Oxypetalum coeruleum,['en']
550,Oxystelma esculentum,['en']
551,Pachycarpus medusonema,['fr']
552,Pachypodium ambongense,"['en', 'it']"
553,Pachypodium baronii,"['es', 'en', 'it']"
554,Pachypodium bispinosum,"['en', 'it']"
555,Pachypodium brevicaule,"['en', 'it']"
556,Pachypodium decaryi,['en']
557,Pachypodium densiflorum,"['en', 'it']"
558,Pachypodium geayi,"['en', 'it']"
559,Pachypodium horombense,"['en', 'it']"
560,Pachypodium lamerei,"['es', 'en', 'fr', 'it']"
561,Pachypodium lealii,"['es', 'en', 'fr', 'it']"
562,Pachypodium namaquanum,"['es', 'en', 'fr', 'it']"
563,Pachypodium rosulatum,"['es', 'en', 'fr', 'it']"
564,Pachypodium rutenbergianum,"['en', 'it']"
565,Pachypodium saundersii,"['en', 'it']"
566,Pachypodium succulentum,"['en', 'it']"
567,Papuechites aambe,"['es', 'en']"
568,Parahancornia fasciculata,"['es', 'en']"
569,Parahancornia peruviana,['en']
570,Parepigynum funingense,"['es', 'en']"
571,Parsonsia alboflavescens,['en']
572,Parsonsia brownii,['en']
573,Parsonsia capsularis,['en']
574,Parsonsia curvisepala,['en']
575,Parsonsia diaphanophlebia,['en']
576,Parsonsia eucalyptophylla,['en']
577,Parsonsia heterophylla,['en']
578,Parsonsia howeana,['en']
579,Parsonsia straminea,['en']
580,Parsonsia velutina,['en']
581,Pentalinon luteum,['en']
582,Pergularia daemia,"['es', 'en']"
583,Periploca angustifolia,['es']
584,Periploca aphylla,['it']
585,Periploca graeca,"['es', 'en', 'fr', 'it']"
586,Periploca laevigata,"['en', 'pt']"
587,Periploca sepium,['fr']
588,Petchia africana,['fr']
589,Petchia madagascariensis,['en']
590,Picralima nitida,"['es', 'en', 'fr']"
591,Pinochia monteverdensis,['en']
592,Pleiocarpa mutica,['en']
593,Pleiocarpa pycnantha,['en']
594,Pleioceras barteri,['en']
595,Pleioceras orientale,"['en', 'fr']"
596,Plumeria alba,"['es', 'en', 'fr', 'it', 'pt']"
597,Plumeria clusioides,['en']
598,Plumeria obtusa,"['es', 'en', 'fr', 'pt']"
599,Plumeria pudica,"['en', 'fr', 'pt']"
600,Plumeria rubra,"['es', 'en', 'fr', 'it', 'pt']"
601,Prestonia amazonica,['en']
602,Prestonia parvifolia,['en']
603,Prestonia peregrina,['en']
604,Prestonia rotundifolia,['en']
605,Prestonia schumanniana,['en']
606,Pseudolithos cubiformis,"['es', 'en']"
607,Pseudolithos horwoodii,['es']
608,Pteralyxia kauaiensis,['en']
609,Pteralyxia laurifolia,['en']
610,Pycnobotrya nitida,"['es', 'en']"
611,Pycnorhachis maingayi,['en']
612,Raphionacme madiensis,['es']
613,Rauvolfia caffra,"['es', 'en']"
614,Rauvolfia cambodiana,"['es', 'en']"
615,Rauvolfia mannii,"['en', 'fr']"
616,Rauvolfia media,['en']
617,Rauvolfia micrantha,['en']
618,Rauvolfia nukuhivensis,['en']
619,Rauvolfia sachetiae,"['es', 'en']"
620,Rauvolfia sandwicensis,"['es', 'en']"
621,Rauvolfia serpentina,"['es', 'en', 'fr', 'it']"
622,Rauvolfia sumatrana,['en']
623,Rauvolfia tetraphylla,"['es', 'en']"
624,Rauvolfia verticillata,"['es', 'en']"
625,Rauvolfia viridis,['fr']
626,Rauvolfia vomitoria,"['en', 'fr']"
627,Rhazya stricta,['en']
628,Rhigospira quadrangularis,"['es', 'en']"
629,Rhyssolobium dumosum,"['es', 'en']"
630,Richtersveldia columnaris,['es']
631,Rojasia gracilis,['en']
632,Saba comorensis,"['es', 'en', 'fr']"
633,Saba senegalensis,"['en', 'fr', 'it']"
634,Sarcolobus globosus,"['es', 'en']"
635,Schistonema weberbaueri,['en']
636,Schubertia grandiflora,['es']
637,Secamone alpini,['en']
638,Secamone cuneifolia,['en']
639,Secamone elliptica,['en']
640,Secamone racemosa,['en']
641,Secamone schatzii,['en']
642,Secamone socotrana,"['es', 'en']"
643,Secamone volubilis,['en']
644,Secamonopsis madagascariensis,['en']
645,Secamonopsis microphylla,['en']
646,Skytanthus acutus,['es']
647,Socotrella dolichocnema,['en']
648,Spirolobium cambodianum,"['es', 'en']"
649,Spongiosperma macrophyllum,['en']
650,Stapelia flavopurpurea,['en']
651,Stapelia gigantea,"['es', 'en', 'pt']"
652,Stapelia grandiflora,['en']
653,Stapelia hirsuta,"['en', 'fr']"
654,Stapelia leendertziae,['en']
655,Stapelia pearsonii,['en']
656,Stapelianthus decaryi,['fr']
657,Stelmagonum hahnianum,['en']
658,Stephanostegia capuronii,['en']
659,Stephanostema stenocarpum,"['es', 'en']"
660,Stephanotis floribunda,"['en', 'fr', 'it']"
661,Stipecoma peltigera,"['es', 'en']"
662,Strempeliopsis arborea,['en']
663,Strophanthus amboensis,['en']
664,Strophanthus boivinii,"['es', 'en']"
665,Strophanthus caudatus,"['es', 'en']"
666,Strophanthus courmontii,['en']
667,Strophanthus divaricatus,['en']
668,Strophanthus eminii,['en']
669,Strophanthus gratus,"['es', 'en', 'fr', 'it']"
670,Strophanthus hispidus,"['es', 'en', 'fr', 'it']"
671,Strophanthus kombe,"['es', 'en', 'fr']"
672,Strophanthus nicholsonii,['en']
673,Strophanthus petersianus,['en']
674,Strophanthus preussii,['en']
675,Strophanthus sarmentosus,"['en', 'fr']"
676,Strophanthus speciosus,['en']
677,Strophanthus thollonii,['en']
678,Strophanthus welwitschii,['en']
679,Tabernaemontana africana,['en']
680,Tabernaemontana alba,['en']
681,Tabernaemontana alternifolia,['en']
682,Tabernaemontana amplifolia,['en']
683,Tabernaemontana amygdalifolia,['en']
684,Tabernaemontana angulata,['en']
685,Tabernaemontana antheonycta,"['en', 'fr']"
686,Tabernaemontana apoda,['en']
687,Tabernaemontana arborea,['en']
688,Tabernaemontana attenuata,['en']
689,Tabernaemontana aurantiaca,['en']
690,Tabernaemontana bouquetii,['en']
691,Tabernaemontana bovina,['en']
692,Tabernaemontana brachyantha,['en']
693,Tabernaemontana bufalina,['en']
694,Tabernaemontana calcarea,['en']
695,Tabernaemontana capuronii,['en']
696,Tabernaemontana catharinensis,"['es', 'en', 'pt']"
697,Tabernaemontana cerea,['en']
698,Tabernaemontana cerifera,['en']
699,Tabernaemontana chocoensis,['en']
700,Tabernaemontana ciliata,['en']
701,Tabernaemontana citrifolia,"['en', 'fr']"
702,Tabernaemontana coffeoides,['en']
703,Tabernaemontana columbiensis,['en']
