Plant_number,Latin_plant_name,German_plant_name,English_plant_name,Plant_genus,Plant_family,Global_spatial_distribution,Swiss_frequency,Swiss_appearance,Vegetation_type,Blooming_period,Toxic_plant_part,Human_toxicity,Animal_toxicity,Invasive_foreign,Garden_plant,Agricultural_plant
P1,Huperzia selago (L.) Schrank & Mart.,Tannenbaerlapp,Fir clubmoss,Huperzia ,Lycopodiaceae,global,69,domestic,Forest plant,Jul.-Oct.,Aerial part (or whole plant),toxic,,,,
P2,Lycopodium clavatum L. s.l. (L. clavatum L. s.str. and L. clavatum subsp. Monostachyon (Grev. & Hook.) Selander),Keule-Baerlapp,Running clubmoss,Lycopodium,Lycopodiaceae,global,30,domestic,Forest plant,Jul.-Sep.,Whole plant,toxic,,,,
P3,Lycopodium annotinum L.,Wald-Baerlapp,Stiff clubmoss,Lycopodium,Lycopodiaceae,global,50,domestic,Forest plant,Jun.-Sep.,Whole plant,weak toxic,,,,
P4,Equisetum hyemale L.,Winter-Schatelhalm,Rough horsetail,Equisetum,Equisetaceae,Asia and America,41,domestic,Forest plant,May-Jul.,Aerial part (or whole plant),toxic,weak toxic,,,
P5,Equisetum arvense L.,Acker-Schachtelhalm,Field horsetail,Equisetum,Equisetaceae,"Europe, Asia and North America",64,domestic,Weed and ruderal plant,Mar.-May,Aerial part (or whole plant),toxic,weak toxic,,,
P6,Equisetum telmateia Ehrh.,Riesen-Schachtelhalm,Great horsetail,Equisetum,Equisetaceae,Europe and Western Asia,45,domestic,Forest plant,Mar.-May,Aerial part (or whole plant),toxic,weak toxic,,,
P7,Equisetum sylvaticum L.,Wald-Schachtelhalm,Wood horsetail,Equisetum,Equisetaceae,"Europe, Asia and North America",49,domestic,Forest plant,Apr.-May,Aerial part (or whole plant),toxic,weak toxic,,,
P8,Equisetum pratense Erh.,Wiesen-Schachtelhalm,Meadow horsetail,Equisetum,Equisetaceae,"Europe, Asia and North America",6,domestic,Shore- and marsh plant,May-Jun.,Aerial part (or whole plant),toxic,strong toxic,,,
P9,Equisetum ramosissimum Desf.,Aestiger Schachtelhalm,Branched horsetail,Equisetum,Equisetaceae,global,12,domestic,Pioneer plant,May-Jun.,Aerial part (or whole plant),toxic,toxic,,,
P10,Equisetum variegatum Schleich.,Bunter Schachtelhalm,Variegated horsetail,Equisetum,Equisetaceae,"Europe, Asia and North America",52,domestic,Pioneer plant,May-Aug.,Aerial part (or whole plant),toxic,weak toxic,,,
P11,Equisetum x trachyodon A. Braun,Rauzaehniger Schachtelhalm,Mackay's horsetail,Equisetum,Equisetaceae,Europe,2,domestic,Pioneer plant,Jul.-Aug.,Aerial part (or whole plant),toxic,weak toxic,,,
P12,Equisetum palustre L.,Sumpf-Schachtelhalm,Marsh horsetail,Equisetum,Equisetaceae,"Europe, Asia and North America",74,domestic,Shore- and marsh plant,Jun.-Sep.,Aerial part (or whole plant),toxic,strong toxic,,,
P13,Equisetum fluviatile L.,Schlamm-Schachtelhalm,Water horsetail,Equisetum,Equisetaceae,"Europe, Asia and North America",43,domestic,Fresh water plant,May-Jul.,Aerial part (or whole plant),toxic,weak toxic,,,
P14,Pteridium aquilinum (L.) Kuhn,Adlerfarn,Bracken fern,Pteridium,Dennstaedtiaceae,global,52,domestic,Forest plant,Jul.-Sep.,Whole plant,toxic,very strong toxic,,,
P15,Dryopteris filix-mas (L.) Schott,Echter Wurmfarn,Male fern,Dryopteris ,Dryopteridaceae,global,88,domestic,Forest plant,Jul.-Sep.,Whole plant,strong toxic,toxic,,,
P16,Dryopteris affinis (Lowe) Fraser-Jenk.,Schuppiger Wurmfarn,Scaly male fern,Dryopteris ,Dryopteridaceae,Europe and Asia,40,domestic,Forest plant,Jul.-Sep.,Whole plant,strong toxic,toxic,,,
P17,Dryopteris carthusiana (Vill.) H. P. Fuchs,Dorniger Wurmfarn,Narrow buckler fern,Dryopteris ,Dryopteridaceae,"Europe, Asia and North America",51,domestic,Forest plant,Jul.-Aug.,Whole plant,strong toxic,toxic,,,
P18,Dryopteris cristata (L.) A. Gray,Kamm-Wurmfarn,Crested buckler fern,Dryopteris ,Dryopteridaceae,"Europe, Asia and North America",3,domestic,Forest plant,Jul.-Sep.,Whole plant,strong toxic,toxic,,,
P19,Dryopteris dilatata (Hoffm.) A. Gray,Breiter Wumfarn,Broad buckler fern,Dryopteris ,Dryopteridaceae,Europe and Siberia,79,domestic,Forest plant,Jul.-Aug.,Whole plant,strong toxic,toxic,,,
P20,Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy,Alpen-Wurmfarn,Northern buckler fern,Dryopteris ,Dryopteridaceae,Europe and Siberia,20,domestic,Forest plant,Jul.-Sep.,Whole plant,strong toxic,toxic,,,
P21,Dryopteris remota (Doell) Druce,Entferntfiedriger Wurmfarn,Scaly buckler fern,Dryopteris ,Dryopteridaceae,Europe and Asia,3,domestic,Forest plant,Jul.-Aug.,Whole plant,strong toxic,toxic,,,
P22,Dryopteris villarii (Bellardi) Schinz & Thell.,Villars' Wurmfarn,Villars'buckler fern,Dryopteris ,Dryopteridaceae,Southern and Central Europe,23,domestic,Mountain plant,Jul.-Aug.,Whole plant,strong toxic,toxic,,,
P23,Ephedra helvetica C. A. Mey.,Schweizer Meertraeubchen,,Ephedra,Ephedraceae,Alps,1.5,domestic,Pioneer plant,Apr.-May,Aerial part (or whole plant),toxic,,,,
P24,Abies alba Mill.,Weisstanne,Silver fir,Abies,Pinaceae,Southern and Central Europe,58,domestic,Forest plant,May,Aerial part,"allergenic, skin-irritating",weak toxic,,,
P25,Abies nordmanniana (Stev.) Spach,Nordmanntanne,Nordmann fir,Abies,Pinaceae,Asia,rarely introduced,alien,Forest plant,May,Aerial part,"allergenic, skin-irritating",weak toxic,,,
P26,Abies pinsapo Boiss.,Spanische Tanne,Spanish fir,Abies,Pinaceae,Europe,0,alien,Forest plant,Apr.-May,Aerial part,"allergenic, skin-irritating",weak toxic,,,
P27,Pseudotsuga menziesii (Mirb.) Franco,Douglasfichte,Douglas fir,Pseudotsuga,Pinaceae,North America,6,alien,Forest plant,May,,weak toxic,weak toxic,,,
P28,Picea abies (L.) H. Karst.,Fichte,European spruce,Picea,Pinaceae,Northern and Central Europe,86,domestic,Forest plant,May,Whole plant,weak toxic,weak toxic,,,
P29,Pinus cembra L.,Arve,Swiss pine,Pinus,Pinaceae,Alps,38,domestic,Forest plant,Jun.-Aug.,Aerial part,weak toxic,weak toxic,,,
P30,Pinus sylvestris L.,Wald-Foehre,Scots pine,Pinus,Pinaceae,Europe and Siberia,54,domestic,Forest plant,May,Aerial part,weak toxic,weak toxic,,,
P31,Pinus nigra J. F. Arnold,Schwarz-Foehre,Black pine,Pinus,Pinaceae,Southern Europe,occasionally introduced ,alien,Forest plant,May-Jun.,Aerial part,weak toxic,weak toxic,,,
P32,Pinus mugo Turra,Berg-Foehre,Mountain pine,Pinus,Pinaceae,Southern and Central Europe,34,domestic,Forest plant,Jun.-Jul.,Aerial part,weak toxic,weak toxic,,,
P33,Larix decidua Mill.,Laerche,European larch,Larix,Pinaceae,Alps,77,domestic,Mountain plant,May-Jun.,Aerial part,weak toxic,weak toxic,,,
P34,Taxus baccata L. ,Eibe,English yew,Taxus,Taxaceae,Europe and Western Asia,45,domestic,Forest plant,Mar.-Apr.,Whole plant without aril (red seed coat),strong toxic,very strong toxic,,,
P35,Cupressus sempervirens L.,Echte Zypresse,Mediterraneanean cypress,Cupressus,Cupressaceae,Mediterranean,rarely introduced,alien,Ornamental garden plant,Feb.-Apr.,Whole plant,allergenic,toxic,,yes,
P36,Thuja occidentalis L.,Amerikanischer Lebensbaum,White cedar,Thuja,Cupressaceae,North America,occasionally introduced ,alien,Ornamental garden plant,Apr.,Seed (or whole plant),toxic,very strong toxic,,yes,
P37,Thuja orientalis L. ,Orientalischer Lebensbaum,Chinese thuja,Thuja,Cupressaceae,Eastern Asia,occasionally introduced ,alien,Ornamental garden plant,Apr.,Seed (or whole plant),toxic,very strong toxic,,yes,
P38,Thuja plicata D. Don,Riesen-Lebensbaum,Western redcedar,Thuja,Cupressaceae,North America,rarely introduced,alien,Ornamental garden plant,Apr.,Seed (or whole plant),toxic,,,yes,
P39,Juniperus communis L. s.l. (J. communis L. s.str. and J. communis subsp. alpina Celak.),Echter Wacholder,Common juniper,Juniperus,Cupressaceae,"Europe, Asia and North America",62,domestic,Forest and mountain plant,Apr.-Aug.,"Fruit, leaf (or whole plant)",toxic,toxic,,,
