Plant_number,Latin_plant_name,German_plant_name,English_plant_name,Plant_genus,Plant_family,Global_spatial_distribution,Swiss_frequency,Swiss_appearance,Vegetation_type,Blooming_period,Toxic_plant_part,Human_toxicity,Animal_toxicity,Invasive_foreign,Garden_plant,Agricultural_plant
P40,Juniperus sabina L.,Sefistrauch,Savin juniper,Juniperus,Cupressaceae,Europe and Asia,12,domestic,Xerophyte,Apr.-May,"Fruit, leaf (or whole plant)",toxic,very strong toxic,,,
P41,Chamaecyparis lawsoniana (A. Murray bis) Parl.,Lawsons Zypresse (Scheinzypresse),Port orford cedar,Chamaecyparis,Cupressaceae,North America,rarely introduced,alien,Ornamental garden plant,Apr.,Whole plant,toxic,toxic,,yes,
P42,Nymphaea alba L.,Weise Seerose,White water lily,Nymphaea,Nymphaeaceae,Europe,23,domestic,Fresh water plant,Jun.-Aug.,"Flower, rhizome (or whole plant)",toxic,toxic,,,
P43,Nuphar lutea (L.) Sm.,Grosse Teichrose,Yellow water-lily,Nuphar,Nymphaeaceae,Europe and Asia,18,domestic,Fresh water plant,Jun.-Aug.,"Whole plant, highest concentrations in root",toxic,toxic,,,
P44,Nuphar pumila (Timm) DC. ,Kleine Teichrose,Least water-lily,Nuphar,Nymphaeaceae,Europe and Siberia,1,domestic,Fresh water plant,Jul.-Aug.,"Whole plant, highest concentrations in root",toxic,weak toxic,,,
P45,Laurus nobilis L.,Edel-Lorbeer,Bay laurel,Laurus,Lauraceae,Mediterranean,3,alien,Forest plant,Apr.,"Fruit, leaf",allergenic,,,,
P46,Asarum europaeum L.,Europaeischer Haselwurz,Hazelwort,Asarum,Aristolochiaceae,Europe and Siberia,25,domestic,Forest plant,Apr.-May,Whole plant,toxic,,,,
P47,Aristolochia clematitis L.,Echte Osterluzei,European birthwort,Aristolochia,Aristolochiaceae,Southern Europe,6,domestic,Weed and ruderal plant,May-Aug.,Whole plant,toxic,,,,
P48,Aristolochia rotunda L. ,Rundknollige Osterluzei,Round birthwort,Aristolochia,Aristolochiaceae,Mediterranean,0.3,domestic,Xerophyte,May,Whole plant,toxic,,,,
P49,Helleborus foetidus L. ,Stinkende Nieswurz,Setter wort,Helleborus,Ranunculaceae,South-western Europe,24,domestic,Forest plant,Mar.-Apr.,Aerial part (or whole plant),very strong toxic,strong toxic,,,
P50,Helleborus viridis L.,Gruene Nieswurz,Bear's foot,Helleborus,Ranunculaceae,Central Europe,9,domestic,Forest plant,Feb.-Apr.,Aerial part (or whole plant),very strong toxic,very strong toxic,,,
P51,Helleborus niger L.,Christrose,Christmas rose,Helleborus,Ranunculaceae,South-eastern Europe,1,domestic,Forest plant,Dec.-Mar.,Aerial part (or whole plant),very strong toxic,very strong toxic,,,
P52,Helleborus orientalis Lam.,Oestliche Nieswurz,Lenten rose,Helleborus,Ranunculaceae,Asia,rarely introduced,alien,Ornamental garden plant,Mar.-Apr.,Aerial part (or whole plant),very strong toxic,very strong toxic,,yes,
P53,Eranthis hyemalis (L.) Salisb.,Winterling,Winter aconite,Eranthis,Ranunculaceae,Southern Europe,9,alien,Forest plant,Jan.-Mar.,"Whole plant, highest concentrations in root",strong toxic,,,yes,
P54,Trollius europaeus L. ,Europaeische Trollblume,Globeflower,Trollius,Ranunculaceae,Europe and Siberia,76,domestic,Shore- and marsh plant,May-Jun.,Whole plant,toxic,,,,
P55,Isopyrum thalictroides L.,Muschelbluemchen,,Isopyrum,Ranunculaceae,Southern Europe,0.8,domestic,Forest plant,Apr.-May,,strong toxic,,,,
P56,Actaea spicata L.,Christophskraut,Bane berry,Actaea,Ranunculaceae,Europe and Asia,55,domestic,Forest plant,May-Jul.,Whole plant,toxic,,,,
P57,Caltha palustris L.,Sumpf-Dotterblume,Common marsh marigold,Caltha,Ranunculaceae,"Europe, Asia and North America",77,domestic,Shore- and marsh plant,Mar.-May,Whole plant,toxic,toxic,,,
P58,Aconitum napellus aggr. (A. compactum (Rchb.) Gayer and A. neomontanum Wulfen),Blauer Eisenhut,Blue Monkshood,Aconitum,Ranunculaceae,Europe,64,domestic,Mountain plant,Jun.-Aug.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,,
P59,"Aconitum variegatum L. s.l. (A. variegatum L. s.str., A. variegatum subsp. rostratum (DC.) Gayer and A. variegatum subsp. paniculatum (Arcang.) Negodi)",Gescheckter Eisenhut,Manchurian monkshood,Aconitum,Ranunculaceae,Europe,20,domestic,Mountain plant,Jul.-Sep.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,,
P60,Aconitum anthora L.,Giftheil-Eisenhut,Yellow monkshood,Aconitum,Ranunculaceae,Southern and Central Europe,0.5,domestic,Mountain plant,Aug.-Sep.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,,
P61,"Aconitum vulparia aggr. (A. altissimum Mill., A. lamarckii Rchb., A. penninum (Ser.) Gayer and A. x platanifolium Degen & Gayer)",Gelber Eisenhut,Yellow wolfsbane,Aconitum,Ranunculaceae,Europe,34,domestic,Mountain plant,Jun.-Aug.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,,
P62,Aconitum carmichaelii Debeaux,Herbsteisenhut,Carmichael's monkshood,Aconitum,Ranunculaceae,Asia,0,alien,Ornamental garden plant,Aug.-Oct.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,yes,
P63,Delphinium elatum L. ,Hoher Rittersporn,Bee larkspur,Delphinium,Ranunculaceae,Europe and Siberia,13,domestic,Mountain plant,Jul.-Aug.,Whole plant,very strong toxic,very strong toxic,,,
P64,Delphinium staphisagria L.,Mittelmeer-Rittersporn,Stavesacre,Delphinium,Ranunculaceae,Mediterranean,0,alien,Ornamental garden plant,Jun.-Jul.,Whole plant,very strong toxic,very strong toxic,,yes,
P65,Consolida ajacis (L.) Schur,Garten-Rittersporn,Rocket larkspur,Consolida,Ranunculaceae,Southern Europe and Western Asia,10,alien,Ornamental garden plant,Jun.-Aug.,"Whole plant, highest concentrations in seed",very strong toxic,very strong toxic,,yes,
P66,Consolida regalis Gray,Acker-Rittersporn,Forking larkspur,Consolida,Ranunculaceae,Southern Europe,12,domestic,Weed and ruderal plant,Jun.-Sep.,"Whole plant, highest concentrations in seed",very strong toxic,very strong toxic,,,
P67,Anemone ranunculoides L.,Gelbes Windroeschen,Yellow anemone,Anemone,Ranunculaceae,Europe,26,domestic,Forest plant,Apr.,Aerial part (or whole plant),toxic,strong toxic,,,
P68,Anemone nemorosa L.,Busch-Windroeschen,Wood anemone,Anemone,Ranunculaceae,Europe,52,domestic,Forest plant,Mar.-May,Aerial part (or whole plant),toxic,toxic,,,
P69,Anemone baldensis L.,Monte Baldo Windroeschen,Monte Baldo anemone,Anemone,Ranunculaceae,Central and Southern Europe,6,domestic,Mountain plant,Jul.-Aug.,Aerial part (or whole plant),weak toxic,toxic,,,
P70,Anemone narcissiflora L.,Narzissen-Windroeschen,Narcissus anemone,Anemone,Ranunculaceae,"Europe, Asia and North America",40,domestic,Mountain plant,May-Jul.,Aerial part (or whole plant),weak toxic,toxic,,,
P71,Hepatica nobilis Schreb.,Leberbluemchen,Lever leaf,Hepatica,Ranunculaceae,Europe,45,domestic,Forest plant,Mar.-May,Aerial part (or whole plant),toxic,,,,
P72,Pulsatilla alpina (L.) Delarbre s.l. (P. alpina (L.) Delarbre s.str. and P. alpina subsp. apiifolia (Scop.) Nyman),Alpen-Anemone,Alpine pasqueflower,Pulsatilla,Ranunculaceae,Southern and Central Europe,60,domestic,Mountain plant,May-Jul.,Aerial part (or whole plant),toxic,,,,
P73,Pulsatilla vernalis (L.) Mill.,Fruehlings-Anemone,Spring pasqueflower,Pulsatilla,Ranunculaceae,Europe,42,domestic,Mountain plant,Apr.-Jul.,Aerial part (or whole plant),toxic,,,,
P74,Pulsatilla vulgaris Mill.,Gemeine Kuhschelle,Common pasqueflower,Pulsatilla,Ranunculaceae,Europe,4,domestic,Xerophyte,Mar.-Apr.,Aerial part (or whole plant),toxic,,,,
P75,Pulsatilla halleri (All.) Willd. ,Hallers Anemone,Haller's pasqueflower,Pulsatilla,Ranunculaceae,Southern and Central Europe,0.8,domestic,Mountain plant,May-Jul.,Aerial part (or whole plant),toxic,,,,
P76,Pulsatilla x bolzanensis Murr,Bozen-Anemone,,Pulsatilla,Ranunculaceae,Europe,0.3,domestic,Mountain plant,Apr.-May,Aerial part (or whole plant),toxic,,,,
P77,Pulsatilla montana (Hoppe) Rchb.,Berg-Anemone,Mountain pasqueflower,Pulsatilla,Ranunculaceae,Southern and Central Europe,5,domestic,Xerophyte,Mar.-May,Aerial part (or whole plant),toxic,,,,
P78,Clematis vitalba L.,Gemeine Waldrebe,Traveller's joy,Clematis,Ranunculaceae,Europe,53,domestic,Forest plant,Jul.-Aug.,Whole plant,toxic,toxic,,,
P79,Clematis recta L.,Aufrechte Waldrebe,Ground clematis,Clematis,Ranunculaceae,Eastern Europe,3,domestic,Xerophyte,May-Jul.,Whole plant,toxic,toxic,,,
P80,Clematis alpina (L.) Mill.,Alpen-Waldrebe,Alpine clematis,Clematis,Ranunculaceae,Southern and Central Europe,7,domestic,Mountain plant,May-Jul.,Whole plant,toxic,toxic,,,
P81,Clematis tangutica (Maxim.) Korsh.,Mongolische Waldrebe,Gold clematis,Clematis,Ranunculaceae,Eastern Asia,rarely introduced,alien,Mountain plant,May-Jul.,Whole plant,toxic,toxic,,yes,
P82,Adonis vernalis L.,Fruehlings-Adonis,Spring pheasant's eye,Adonis,Ranunculaceae,Eastern Europe and Western Asia,1,domestic,Xerophyte,Apr.-May,Whole plant,strong toxic,strong toxic,,,
P83,Adonis annua L. ,Herbst-Blusttroepfchen,Pheasant's eye,Adonis,Ranunculaceae,Southern Europe and Western Asia,1,domestic,Weed and ruderal plant,Jun.-Jul.,Whole plant,strong toxic,strong toxic,,,
P84,Adonis flammea Jacq.,Feuerrotes Blutstroepfchen,Flame pheasant's eye,Adonis,Ranunculaceae,Southern Europe and Western Asia,2,domestic,Weed and ruderal plant,May-Jul.,Whole plant,strong toxic,strong toxic,,,
P85,Adonis aestivalis L.,Sommer-Blutstroepfchen,Summer pheasant's eye,Adonis,Ranunculaceae,Southern Europe and Western Asia,5,domestic,Weed and ruderal plant,May-Jul.,Whole plant,strong toxic,strong toxic,,,
P86,"Ranunculus nemorosus aggr. (R. polyanthemophyllus W. Koch & H. E. Hess, R. tuberosus Lapeyr. and R. serpens Schrank)",Hain-Hahnenfuss,,Ranunculus,Ranunculaceae,Europe,72,domestic,Forest plant,May-Jul.,Whole plant,toxic,,,,
P87,Ranunculus repens L.,Kriechender Hahnenfuss,Creeping buttercup,Ranunculus,Ranunculaceae,Europe and Asia,69,domestic,Weed and ruderal plant,May-Sep.,Whole plant,toxic,weak toxic,,,
P88,Ranunculus lanuginosus L. ,Wolliger Hahnenfuss,Woolly buttercup,Ranunculus,Ranunculaceae,Europe,49,domestic,Forest plant,May-Aug.,Whole plant,toxic,,,,
P89,Ranunculus auricomus aggr.,Gold-Hahnenfuss,Goldilocks buttercup,Ranunculus,Ranunculaceae,Europe and Siberia,31,domestic,Forest plant,Apr.-Jun.,Whole plant,toxic,,,,
P90,Ranunculus acris L. s.l. (R. acris L. s.str. and R. acris subsp. friesianus (Jord.) Syme),Scharfer Hahnenfuss,Meadow buttercup,Ranunculus,Ranunculaceae,Europe and Asia,85,domestic,Meadow plant,Apr.-Sep.,Whole plant,toxic,toxic,,,
P91,"Ranunculus montanus aggr. (R. breyninus Crantz, R. montanus Willd., R. carinthiacus Hoppe and R. villarsii DC.)",Berg-Hanenfuss,Mountain buttercup,Ranunculus,Ranunculaceae,Southern and Central Europe,65,domestic,Mountain plant,May-Aug.,Whole plant,toxic,,,,
P92,Ranunculus bulbosus L.,Knolliger Hanenfuss,Bulbous buttercup,Ranunculus,Ranunculaceae,Europe,58,domestic,Xerophyte,May-Jul.,Whole plant,toxic,toxic,,,
P93,Ranunculus sardous Crantz,Sardischer Hahnenfuss,Hairy buttercup,Ranunculus,Ranunculaceae,Mediterranean,5,domestic,Weed and ruderal plant,May-Jul.,Whole plant,toxic,toxic,,,
P94,Ranunculus muricatus L.,Stachefruechtiger Hahnenfuss,Spinyfruit buttercup,Ranunculus,Ranunculaceae,Mediterranean,1.5,domestic,Shore- and marsh plant,Apr.-May,Whole plant,toxic,,,,
P95,Ranunculus arvensis L.,Acker-Hahnenfuss,Corn buttercup,Ranunculus,Ranunculaceae,Mediterranean,23,domestic,Weed and ruderal plant,May-Jul.,Whole plant,toxic,toxic,,,
P96,Ranunculus pygmaeus Wahlenb.,Zwerg-Hahnenfuss,Pygmy buttercup,Ranunculus,Ranunculaceae,Alps and Arctic,0.2,domestic,Mountain plant,Jul.-Aug.,Whole plant,toxic,,,,
P97,Ranunculus sceleratus L.,Gift-Hahnenfuss,Celery-leaved buttercup,Ranunculus,Ranunculaceae,Europe and Asia,10,domestic,Weed and ruderal plant,Jun.-Aug.,Whole plant,strong toxic,strong toxic,,,
P98,Ranunculus ficaria L.,Scharbockskraut,Fig buttercup,Ranunculus,Ranunculaceae,Europe and Asia,50,domestic,Forest plant,Mar.-Apr.,Whole plant,toxic,toxic,,,
P99,Ranunculus thora L.,Schildblaettriger Hahnenfuss,Thora buttercup,Ranunculus,Ranunculaceae,Southern and Central Europe,4,domestic,Mountain plant,May-Jul.,Whole plant,strong toxic,,,,
P100,Ranunculus flammula L.,Kleiner Sumpf-Hahnenfuss,Lesser spearwort,Ranunculus,Ranunculaceae,"Europe, Asia and North America",27,domestic,Shore- and marsh plant,Jun.-Aug.,Whole plant,toxic,toxic,,,
P101,Ranunculus reptans L.,Wurzelnder Sumpf-Hahnenfuss,Greater creeping spearwort,Ranunculus,Ranunculaceae,"Europe, Asia and North America",7,domestic,Shore- and marsh plant,May-Sep.,Whole plant,toxic,,,,
P102,Ranunculus lingua L.,Grosser Sumpf-Hahnenfuss,Greater buttercup,Ranunculus,Ranunculaceae,Europe and Asia,13,domestic,Fresh water plant,Jun.-Aug.,Whole plant,toxic,toxic,,,
P103,Ranunculus gramineus L.,Grasblaettriger Hahnenfuss,Grassy-leaved buttercup,Ranunculus,Ranunculaceae,Western Europe,0.7,domestic,Xerophyte,Apr.-May,Whole plant,toxic,,,,
P104,Ranunculus alpestris L. ,Alpen-Hahnenfuss,Alpine buttercup,Ranunculus,Ranunculaceae,Southern and Central Europe,44,domestic,Mountain plant,Jun.-Aug.,Whole plant,toxic,,,,
P105,Ranunculus seguieri Vill.,Seguiers Hahnenfuss,Seguier's buttercup,Ranunculus,Ranunculaceae,Alps,0.2,domestic,Mountain plant,May-Jul.,Whole plant,toxic,,,,
P106,Ranunculus glacialis L.,Gletscher-Hahnenfuss,Glacier buttercup,Ranunculus,Ranunculaceae,Alps and Arctic,26,domestic,Mountain plant,Jul.-Aug.,Whole plant,toxic,,,,
P107,Ranunculus parnassiifolius L.,Herzblatt-Hahnenfuss,,Ranunculus,Ranunculaceae,Alps and Pyrenees,6,domestic,Mountain plant,Jul.,Whole plant,strong toxic,,,,
P108,Ranunculus aconitifolius L.,Eisenhutblaettriger Hahnenfuss,Aconite-leaf buttercup,Ranunculus,Ranunculaceae,Southern and Central Europe,70,domestic,Shore- and marsh plant,May-Jul.,Whole plant,toxic,weak toxic,,,
P109,Ranunculus platanifolius L.,Platanenblaettriger Hahnenfuss,Large white buttercup,Ranunculus,Ranunculaceae,Europe,40,domestic,Forest plant,Jun.-Jul.,Whole plant,toxic,,,,
P110,Ranunculus kuepferi Greuter & Burdet,Wegerich-Hahnenfuss,,Ranunculus,Ranunculaceae,Southern and Central Europe,23,domestic,Mountain plant,Jun.-Jul.,Whole plant,toxic,,,,
P111,Ranunculus fluitans Lam.,Flutender Wasserhahnenfuss,River water crowfoot,Ranunculus,Ranunculaceae,Western Europe,7,domestic,Fresh water plant,Jun.-Aug.,Whole plant,toxic,,,,
P112,"Ranunculus aquatilis aggr. (R. peltatus Schrank, R. penicillatus (Dumort.) Bab. and R. aquatilis L.)",Gemeiner Wasserhahnenfuss,Common water crowfoot,Ranunculus,Ranunculaceae,Europe,5,domestic,Fresh water plant,May-Sep.,Whole plant,toxic,,,,
P113,Ranunculus circinatus Sibth.,Spreizender Wasserhahnenfuss,Fan-leaved water crowfoot,Ranunculus,Ranunculaceae,Europe and Western Asia,11,domestic,Fresh water plant,May-Aug.,Whole plant,toxic,,,,
P114,Ranunculus trichophyllus Chaix s.l. (R. trichophyllus Chaix s.str. and R. trichophyllus subsp. eradicatus (Laest.) C. D. K. Cook),Haar-Wasserhahnenfuss,Thora buttercup,Ranunculus,Ranunculaceae,"Europe, Asia and North America",38,domestic,Fresh water plant,May-Aug.,Whole plant,toxic,,,,
P115,Ranunculus rionii Lagger,Rions Wasserhahnenfuss,Water crowfoot,Ranunculus,Ranunculaceae,Europe and Asia,0.5,domestic,Fresh water plant,May-Aug.,Whole plant,toxic,,,,
P116,Aquilegia vulgaris L.,Gemeine Akelei,Common columbine,Aquilegia,Ranunculaceae,Europe and Asia,42,domestic,Forest plant,May-Jul.,"Whole plant, highest concentrations in seed",toxic,,,,
P117,Aquilegia atrata W. D. J. Koch,Dunkle Akelei,Dark columbine,Aquilegia,Ranunculaceae,South-western Europe,42,domestic,Mountain plant,Jun.-Jul.,"Whole plant, highest concentrations in seed",toxic,,,,
P118,Aquilegia alpina L.,Alpen-Akelei,Alpine columbine,Aquilegia,Ranunculaceae,Alps,20,domestic,Mountain plant,Jul.-Sep.,"Whole plant, highest concentrations in seed",toxic,,,,
P119,Berberis vulgaris L.,Gemeine Berberitze,Barberry,Berberis,Berberidaceae,Southern Europe and Western Asia,65,domestic,Forest plant,May-Jun.,Root (or whole plant without fruit),weak toxic,weak toxic,,,
P120,Mahonia aquifolium (Pursh) Nutt.,Mahonie,Blue barberry,Mahonia,Berberidaceae,North America,7,alien,Ornamental garden plant,Apr.-May,"Whole plant, highest concentrations in bark, root",toxic,,yes,yes,
P121,Podophyllum peltatum L.,Fussblatt,Mandrake,Podophyllum,Berberidaceae,North America,0,alien,Ornamental garden plant,,Whole plant,strong toxic,,,yes,
P122,Papaver rhoeas L.,Klatsch-Mohn,Common poppy,Papaver,Papaveraceae,Mediterranean,43,domestic,Weed and ruderal plant,May-Sep.,"Whole plant, highest concentrations in capsule, latex (without seed)",toxic,toxic,,,
P123,Papaver dubium L.,Saat-Mohn,Longheaded poppy,Papaver,Papaveraceae,Mediterranean,33,domestic,Weed and ruderal plant,May-Jul.,"Whole plant, highest concentrations in capsule, latex (without seed)",toxic (unknown strength),,,,
P124,Papaver somniferum L.,Schlaf-Mohn,Opium poppy,Papaver,Papaveraceae,global,5,alien,Weed and ruderal plant,May-Jul.,"Whole plant, highest concentrations in capsule, latex (without seed)",strong toxic,strong toxic,,,
P125,Papaver argemone L.,Sand-Mohn,Long procklyhead poppy,Papaver,Papaveraceae,Mediterranean,9,domestic,Weed and ruderal plant,Apr.-Jun.,"Whole plant, highest concentrations in capsule, latex (without seed)",toxic (unknown strength),,,,
P126,Papaver croceum Ledeb.,Altaischer Mohn,Ice poppy,Papaver,Papaveraceae,Asia,6,alien,Mountain plant,Jul.-Aug.,"Whole plant, highest concentrations in capsule, latex (without seed)",toxic (unknown strength),,,,
