Latin name provided,latinNameNoAuthor
Abacopteris multilineata,Abacopteris multilineata
Abarema jiringa,Abarema jiringa
Abatia tomentosa,Abatia tomentosa
Abelia uniflora,Abelia uniflora
Abelia x grandiflora,Abelia x grandiflora
Abelmoschus,Abelmoschus
Abelmoschus esculentus,Abelmoschus esculentus
Abelmoschus moschatus,Abelmoschus moschatus
Abies,Abies
Abies alba,Abies alba
Abies amabillis,Abies amabillis
Abies balsamae,Abies balsamae
Abies balsamea,Abies balsamea
Abies excelsa,Abies excelsa
Abies grandis,Abies grandis
Abies magnifica,Abies magnifica
Abies neprolexis,Abies neprolexis
Abies nordmanniana,Abies nordmanniana
Abies pectinata,Abies pectinata
Abies pindrow,Abies pindrow
Abies pinsapo,
Abies webbiana,Abies webbiana
Abietaceae,Abietaceae
Abroma angusta,Abroma angusta
Abronia fragrans,Abronia fragrans
Abrus,Abrus
Abrus an 'abrin',Abrus an 'abrin'
Abrus canescens,Abrus canescens
Abrus melanospermum,Abrus melanospermum
Abrus melanospermus,Abrus melanospermus
Abrus praecatorius,Abrus praecatorius
Abrus precatorious,Abrus precatorious
Abrus precatorius,Abrus precatorius
Abrus precatorius as 'rosary pea',Abrus precatorius as 'rosary pea'
Abrus precatorius ssp. africanus,Abrus precatorius ssp. africanus
Abrus precatorius ssp. precatorius,Abrus precatorius ssp. precatorius
Abrus pulchellus,Abrus pulchellus
Abrus schimperi,Abrus schimperi
Abrus tenuiflorus,Abrus tenuiflorus
Absidia,Absidia
Absidia corymbifera,Absidia corymbifera
Abuta,Abuta
Abuta grisebachii,Abuta grisebachii
Abuta imene,Abuta imene
Abuta rufescens,Abuta rufescens
Abuta splendida,Abuta splendida
Abutilon,Abutilon
Abutilon hybridum,Abutilon hybridum
Abutilon indicum,Abutilon indicum
Abutilon otocarpum,Abutilon otocarpum
Abutilon oxycarpum,Abutilon oxycarpum
Abutilon theophrasti,Abutilon theophrasti
Abutilon x hybridum,Abutilon x hybridum
Abutua imene,Abutua imene
Abutua rufescens,Abutua rufescens
Acacia,Acacia
Acacia acuminata,Acacia acuminata
Acacia acuminata var. latifolia,Acacia acuminata var. latifolia
Acacia adsurgens,Acacia adsurgens
Acacia albida,Acacia albida
Acacia amputata,Acacia amputata
Acacia aneura,Acacia aneura
Acacia angustissima,Acacia angustissima
Acacia anthelminthica,Acacia anthelminthica
