,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,knapsack_snippet,Sources
0,77880-1,Catharanthus roseus,Catharanthus roseus,77880-1,Species, <b>Use</b>: Some of the <em>alkaloids</em> of C. roseus are used,"""['16R,19E-Isositsirikine', '10-O-Methylsarpagine', 'Sitsirikine', 'Stemmadenine', 'Strictosidine', '4,21-Dehydrogeissoschizine', '(E)-Geissoschizine', 'Alstonine', 'Lochnericine', 'Tetrahydroalstonine', '(-)-Akuammicine:Akuammicine', 'Tabersonine', '(-)-Hazuntine', '11-Methoxytabersonine', '19R-Hydroxy-11-methoxy-tabersonine', 'Leurosine', 'Cathovaline', 'Vindoline', 'Vindolinine', '(-)-Venalstonine', '19-Epivindolinine', '19R-Hydroxytabersonine', 'Vindorosine', 'L-Phenylalanine', 'Tryptamine', 'Ajmalicine', 'Catharanthine', '(-)-Coronaridine', 'Ibogamine', 'Leurosidine', 'Mitraphylline', 'Serpentine', 'Vinblastine', 'Vincamine', 'Vincristine', '(+)-Minovincinine', '(-)-Vincadifformine', '11-Hydroxytabersonine', '14,15-Didehydro-epivincadine', '19-Epivindolinine N-oxide', 'Bannucine', 'Deacetylvindoline', 'Vincoline', 'Vindolinine N-oxide', 'Voacangine', 'Pericyclivine', 'Perivine', 'Pleiocarpamine', 'Isoleurosine', 'Lochneridine', '16-Methoxy-2,3-dihydro-3hydro-3-hydroxytabersoine', 'Minovincinine', ""3',4'-Anhydrovinblastine"", 'Cathenamine', 'Desacetoxyvindoline', 'Epicathenamine', '(16R)-Z-Isositsirikine', 'Echitovenine', 'Vinorelbine', 'hoerhammericine']""",POWO pages(/taxon/urn:lsid:ipni.org:names:77880-1):KNApSAcK
1,105718-3,Alstonia angustifolia,Alstonia angustifolia,105718-3,Species,,"""['Affinisine', '(+)-Quebrachidine', '(-)-Vincamajine', 'Normacusine B', '16R,19E-Isositsirikine', 'Norfluorocurarine', 'Talcarpine', 'Alstonisine', '10-Methoxyaffinisine', 'Isoalstonisine', 'Macrogentine', 'Alstonoxine A', 'Alstonoxine B', 'Alstofoline', 'Affinisine oxindole', 'Lagumicine', 'Alstonerine', 'Alstophylline', 'N(4)-Methyl-N(4),21-seco-talpinine', '10-O-Methylsarpagine', 'Alstoumerine', 'Cathafoline', 'Cathafoline N(4)-oxide', '11-Hydroxystrictamine', '11-Methoxystrictamine', 'Vincorine', '10-Methoxyvincamajine', 'Sitsirikine', '11-Methoxyakuammicine', 'Alstovine', '19,20-Didehydro-10-methoxytalcarpine', 'Villalstonine', '10-Methoxycathafoline', 'Strictamine']""",:KNApSAcK
2,76507-1,Alstonia angustiloba,Alstonia angustiloba,76507-1,Species,,"""['16R,19E-Isositsirikine', 'Condylocarpine', 'Stemmadenine', 'Angustilocine', 'Strictosidine', '4,21-Dehydrogeissoschizine', '(E)-Geissoschizine']""",:KNApSAcK
3,76517-1,Alstonia congensis,Alstonia congensis,76517-1,Species,,"""['Echitamine', 'Echitamidine']""",:KNApSAcK
4,76518-1,Alstonia constricta,Alstonia constricta,76518-1,Species,,"""['(+)-Quebrachidine', '(-)-Vincamajine', 'Alstonine', '(-)-Vincamedine', ""(-)-17-O-(3',4',5'-Trimethoxycinnamoyl)vincamajine""]""",:KNApSAcK
5,76520-1,Alstonia coriacea,Alstonia coriacea,76520-1,Species,,"""['(-)-Vincamajine']""",:KNApSAcK
6,76527-1,Alstonia deplanchei,Alstonia deplanchei,76527-1,Species,,"""['(-)-Vincamajine', '(-)-Vincamedine']""",:KNApSAcK
7,76546-1,Alstonia lanceolifera,Alstonia lanceolifera,76546-1,Species,,"""[""(-)-17-O-(3',4',5'-Trimethoxycinnamoyl)vincamajine"", 'Lochnericine']""",:KNApSAcK
8,76548-1,Alstonia legouixiae,Alstonia legouixiae,76548-1,Species,,"""['(-)-Vincamajine']""",:KNApSAcK
9,76549-1,Alstonia lenormandii,Alstonia lenormandii,76549-1,Species,,"""['11-Methoxyakuammicine', 'Lochnericine', 'Akuammiline', 'Picraline']""",:KNApSAcK
10,76556-1,Alstonia macrophylla,Alstonia macrophylla,76556-1,Species,,"""['Affinisine', '(+)-Quebrachidine', '(-)-Vincamajine', 'Talcarpine', 'Alstonisine', '10-Methoxyaffinisine', 'Alstonoxine B', 'Alstonerine', 'Alstophylline', 'N(4)-Methyl-N(4),21-seco-talpinine', '10-O-Methylsarpagine', 'Cathafoline', 'Vincorine', 'Villalstonine', '10-Methoxycathafoline', 'Vincamajine 17-O-veratrate', '19-Hydroxy-19,20-Dihydrovincamajine', '(+)-Alstomacroline', 'Alstomicine', '6-Oxoalstophylline', 'Macrodasine A', 'Macrodasine B', 'Macrocarpine A', 'Macrocarpine B', 'N1-Demethylalstophylline', 'Perhentinine', 'Alstomaline', '10,11-Dimethoxynareline', 'Alstohentine', 'Vincoridine', 'Quaternine', 'Volkensine', ""10,11-Dimethoxy-1-methyldeacetylpicraline-3',4',5'-trimethoxy-benzoate"", '6-Methoxy-4-methylquinoline', 'Alstiphyllanine A', 'Alstiphyllanine B', 'Alstiphyllanine C', 'Alstiphyllanine D']""",:KNApSAcK
11,76557-1,Alstonia mairei,Alstonia mairei,76557-1,Species,,"""['Sarpagine', 'Skimmianine', 'Tetrahydroalstonine']""",:KNApSAcK
12,76562-1,Alstonia muelleriana,Alstonia muelleriana,76562-1,Species,,"""['(+)-Quebrachidine', 'Alstonisine', 'Alstonerine']""",:KNApSAcK
13,76565-1,Alstonia odontophora,Alstonia odontophora,76565-1,Species,,"""['(+)-Quebrachidine', '(-)-Vincamajine']""",:KNApSAcK
14,76580-1,Alstonia quaternata,Alstonia quaternata,76580-1,Species,,"""['(-)-Vincamajine', 'Quaternine', 'Quaternatine']""",:KNApSAcK
15,60445977-2,Alstonia scholaris,Alstonia scholaris,60445977-2,Species,,"""['Stemmadenine', 'Strictosidine', '4,21-Dehydrogeissoschizine', '(E)-Geissoschizine', 'Echitamine', 'Echitamidine', 'Akuammiline', 'Picraline', 'Tetrahydroalstonine', '(-)-Akuammicine:Akuammicine', 'Akuammidine', 'Salutaridine', 'Cantleyine', 'Leuconoxine', 'Hydroxy-19,20-dihydroakuammicine', 'N(4)-Demethylechitamine', 'Picrinine', 'Pseudoakuammigine', 'Tubotaiwine', '(+)-Dicentrine', 'Vallesamine', 'Vallesiachotamine', '(-)-Discretamine', 'Corypalmine', 'Deacetylakuammiline', '6,7-seco-Angustilobine B', 'Manilamine', 'Akuammicine N-oxide', 'Echitamidine N-oxide', 'Echitamidine-N-oxide 19-O-beta-D-glucopyranoside', 'Nb-Demethylalstogustine N-oxide', 'Isogentialutine']""",:KNApSAcK
16,76595-1,Alstonia spatulata,Alstonia spatulata,76595-1,Species,,"""['Echitamine']""",:KNApSAcK
17,76597-1,Alstonia spectabilis,Alstonia spectabilis,76597-1,Species,,"""['(+)-Quebrachidine', '(-)-Vincamajine', 'Echitamine']""",:KNApSAcK
18,76598-1,Alstonia sphaerocapitata,Alstonia sphaerocapitata,76598-1,Species,,"""['(+)-Quebrachidine', '(-)-Vincamedine', '(-)-10-Methoxyvincamedine', '(-)-10-Methoxyvincamedine N-oxide']""",:KNApSAcK
