,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,knapsack_snippet,Sources
19,76602-1,Alstonia venenata,Alstonia venenata,76602-1,Species,,"""['(+)-Raucaffrinoline', '(-)-Echitoveniline', '(-)-Kopsinine', '19-Epi-(+)-echitoveniline', 'Alstovenine', 'Venenatine', 'Venoxidine']""",:KNApSAcK
20,76604-1,Alstonia vieillardii,Alstonia vieillardii,76604-1,Species,,"""['Vincamajine 17-O-veratrate']""",:KNApSAcK
21,76608-1,Alstonia yunnanensis,Alstonia yunnanensis,76608-1,Species,,"""['Normacusine B', 'Lochnericine', 'Picraline', 'Sarpagine', 'Tetrahydroalstonine', 'Picrinine', 'Pseudoakuammigine', '(+)-Raucaffrinoline', '(-)-Echitoveniline', 'Reserpine', 'Tabersonine', '(+)-Perakine', '(-)-Vinorine', '(-)-Hazuntine', '11-Methoxytabersonine', '19R-Hydroxy-11-methoxy-tabersonine', '19-Epiajmalicine', 'Compactinervine', 'Vellosimine', '19-Acetoxy-11-methoxytabersonine', 'Alstoyunine A', 'Alstoyunine B', 'Alstoyunine C', 'Alstoyunine D', 'Alstoyunine E', 'Alstoyunine F', 'Alstoyunine G', 'Alstoyunine H', 'Echitoserpidine']""",:KNApSAcK
22,76906-1,Amsonia elliptica,Amsonia elliptica,76906-1,Species,,"""['3-Oxotabersonine', 'Tabersonine N-oxide', '(+)-14,15-Dehydro-16-epivincamine']""",:KNApSAcK
23,76931-1,Amsonia tabernaemontana,Amsonia tabernaemontana,76931-1,Species,,"""['Tabersonine', '(-)-Eburnamine', 'Vincadine']""",:KNApSAcK
24,30117279-2,Araujia sericifera,Araujia sericifera,30117279-2,Species,,"""['Rostratamine']""",:KNApSAcK
25,319076-2,Asclepias syriaca,Asclepias syriaca,319076-2,Species,,"""['Nicotine']""",:KNApSAcK
26,77325-1,Aspidosperma album,Aspidosperma album,77325-1,Species,,"""['(+)-Aspidospermidine', '(+)-Fendlerine', 'Alalakine', 'Aspidolimidine', 'Limaspermine', 'N-Acetylaspidospermidine']""",:KNApSAcK
27,290346-2,Aspidosperma carapanauba,Aspidosperma carapanauba,290346-2,Species,,"""['Carapanaubine']""",:KNApSAcK
28,21952-2,Aspidosperma cylindrocarpon,Aspidosperma cylindrocarpon,21952-2,Species,,"""['Cylindrocarpidine']""",:KNApSAcK
29,77354-1,Aspidosperma discolor,Aspidosperma discolor,77354-1,Species,,"""['Isoreserpiline']""",:KNApSAcK
30,77361-1,Aspidosperma eburneum,Aspidosperma eburneum,77361-1,Species,,"""['(-)-Apparicine']""",:KNApSAcK
31,77367-1,Aspidosperma excelsum,Aspidosperma excelsum,77367-1,Species,,"""['N-Acetylaspidospermidine', 'Excelsinine', 'O-Acetylyohimbine']""",:KNApSAcK
32,21994-2,Aspidosperma limae,Aspidosperma limae,21994-2,Species,,"""['Compactinervine', 'Aspidolimidine', 'Limaspermine']""",:KNApSAcK
33,77405-1,Aspidosperma megalocarpon,Aspidosperma megalocarpon,77405-1,Species,,"""['Aspidocarpine']""",:KNApSAcK
34,77410-1,Aspidosperma multiflorum,Aspidosperma multiflorum,77410-1,Species,,"""['(-)-Kopsinine', 'Compactinervine', '(-)-Apparicine']""",:KNApSAcK
35,22012-2,Aspidosperma nigricans,Aspidosperma nigricans,22012-2,Species,,"""['Compactinervine', 'Olivacine']""",:KNApSAcK
36,77418-1,Aspidosperma oblongum,Aspidosperma oblongum,77418-1,Species,,"""['10-Methoxy-17-epi-alloyohimbine', '10-Methoxy-alpha-yohimbine', '10-Methoxy-beta-yohimbine', '17-Epialloyohimbine', '19,20-Dehydro-alpha-yohimbine', '3,4-Dehydro-beta-yohimbine', 'beta-Yohimbine N-oxide']""",:KNApSAcK
37,22020-2,Aspidosperma olivaceum,Aspidosperma olivaceum,22020-2,Species,,"""['Compactinervine', '(-)-Apparicine', 'Olivacine']""",:KNApSAcK
38,77433-1,Aspidosperma polyneuron,Aspidosperma polyneuron,77433-1,Species,,"""['Normacusine B', 'Polyneuridine']""",:KNApSAcK
39,77437-1,Aspidosperma pyrifolium,Aspidosperma pyrifolium,77437-1,Species,,"""['(-)-Aspidospermine']""",:KNApSAcK
40,77440-1,Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco,77440-1,Species,,"""['(+)-Quebrachidine', '(-)-Aspidospermine', '(-)-Quebrachamine', 'Aspidochibine', '(+)-Eburnamenine', 'Aspidospermatine', 'Rhazidigenine Nb-oxide', 'Rhazidigenine']""",:KNApSAcK
41,77443-1,Aspidosperma ramiflorum,Aspidosperma ramiflorum,77443-1,Species,,"""['beta-Yohimbine', 'Ramiflorine A', 'Ramiflorine B']""",:KNApSAcK
42,22069-2,Aspidosperma spruceanum,Aspidosperma spruceanum,22069-2,Species,,"""['Compactinervine']""",:KNApSAcK
43,77465-1,Aspidosperma subincanum,Aspidosperma subincanum,77465-1,Species,,"""['Ellipticine', '(+/-)-Epiuleine']""",:KNApSAcK
44,77635-1,Callichilia barteri,Callichilia barteri,77635-1,Species,,"""['Callichiline']""",:KNApSAcK
45,77876-1,Catharanthus lanceus,Catharanthus lanceus,77876-1,Species,,"""['Leurosine', 'Cathovaline']""",:KNApSAcK
46,77877-1,Catharanthus longifolius,Catharanthus longifolius,77877-1,Species,,"""['Leurosine', 'Antirhine', 'Vindoline', 'Vindolinine']""",:KNApSAcK
47,77878-1,Catharanthus ovalis,Catharanthus ovalis,77878-1,Species,,"""['Leurosine', 'Cathovaline', 'Vindoline', 'Vindolinine', '(-)-Venalstonidine', '(-)-Venalstonine', '14-Hydroxycathovaline', '19-Epivindolinine', '19R-Hydroxytabersonine', '19S-Hydroxytabersonine', 'Cathovalinine', 'Deacetylcathovaline', 'Kitraline', 'Kitramine', 'Vindorosine']""",:KNApSAcK
48,77879-1,Catharanthus pusillus,Catharanthus pusillus,77879-1,Species,,"""['Lochnericine', 'Leurosine', 'Vindoline', 'Vindorosine']""",:KNApSAcK
49,77882-1,Catharanthus trichophyllus,Catharanthus trichophyllus,77882-1,Species,,"""['Lochnericine', '(-)-Echitoveniline', 'Vindolinine', '19-Epivindolinine', '(+)-Minovincinine', 'Trichophylline']""",:KNApSAcK
50,78180-1,Craspidospermum verticillatum,Craspidospermum verticillatum,78180-1,Species,,"""['(-)-Craspidospermine', '(+)-Andrangine', '14,15-Dehydro-16-epi-vincine']""",:KNApSAcK
51,78181-1,Crioceras dipladeniiflorus,Crioceras dipladeniiflorus,78181-1,Species,,"""['(+)-14,15-Dehydro-16-epivincamine', '(+)-Andrangine', '(-)-Criocerine', '14,15-Dehydro-12-methoxyvincamine']""",:KNApSAcK
52,95951-1,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,95951-1,Species,,"""['Cryptolepine', '5-Methyl-5H-indolo[2,3-b]quinoline', 'Isocryptolepine', '11-Isopropylcryptolepine', 'Cryptomisrine', 'Biscryptolepine', '11-Hydroxycryptolepine', 'Cryptoheptine', 'Cryptospirolepine']""",:KNApSAcK
53,96460-1,Cynanchum otophyllum,Cynanchum otophyllum,96460-1,Species,,"""['Rostratamine']""",:KNApSAcK
54,96692-1,Cynanchum wallichii,Cynanchum wallichii,96692-1,Species,,"""['Rostratamine']""",:KNApSAcK
55,78310-1,Diplorhynchus condylocarpon,Diplorhynchus condylocarpon,78310-1,Species,,"""['Normacusine B', 'Norfluorocurarine', 'Condylocarpine', 'Stemmadenine']""",:KNApSAcK
56,78323-1,Dyera costulata,Dyera costulata,78323-1,Species,,"""['Ochrolifuanine A']""",:KNApSAcK
57,79099-1,Funtumia elastica,Funtumia elastica,79099-1,Species,,"""['Funtumine', 'Irehine']""",:KNApSAcK
58,108063-2,Geissospermum argenteum,Geissospermum argenteum,108063-2,Species,,"""['N-Acetylaspidospermidine', 'Aspidocarpine', '(-)-Aspidospermine']""",:KNApSAcK
59,1006780-1,Geissospermum sericeum,Geissospermum sericeum,1006780-1,Species,,"""['Geissoschizoline', 'Geissospermine', 'Flavopereirine', 'Geissoschizoline N4-oxide']""",:KNApSAcK
60,79133-1,Gonioma kamassi,Gonioma kamassi,79133-1,Species,,"""['Rhazidine']""",:KNApSAcK
61,79134-1,Gonioma malagasy,Gonioma malagasy,79134-1,Species,,"""['Goniomitine']""",:KNApSAcK
62,79244-1,Haplophyton cimicidum,Haplophyton cimicidum,79244-1,Species,,"""['(-)-Eburnamine', 'Cimicidine', 'Cimicine', 'Haplocidine', '(-)-O-Methyleburnamine', '(+)-Isoeburnamine', 'Haplophytine']""",:KNApSAcK
63,117868-2,Haplophyton crooksii,Haplophyton crooksii,117868-2,Species,,"""['Akuammidine', 'Tubotaiwine', 'beta-Yohimbine', 'Cimicidine', 'Cimicine', 'Haplophytine', 'Yohimbine', 'Crooksidine', '10-Methoxy-Na-methylpericyclivine', '16-Decarbomethoxyvinervinine', '19alpha,20alpha-Epoxyakuammicine', 'Crooksiine', 'Lanceomigine']""",:KNApSAcK
64,98277-1,Heterostemma brownii,Heterostemma brownii,98277-1,Species,,"""['Heteromine D', 'Heteromine E', 'Heteromine F', 'Heteromine G', 'Heteromine H']""",:KNApSAcK
65,79294-1,Holarrhena congolensis,Holarrhena congolensis,79294-1,Species,,"""['Funtumine', 'Conessine', 'Kisantamine']""",:KNApSAcK
66,79297-1,Holarrhena curtisii,Holarrhena curtisii,79297-1,Species,,"""['Holacurtine', '15alpha-Hydroxyholamine', '17-epi-holacurtine', 'Holamine', 'N-Demethylholacurtine']""",:KNApSAcK
67,79302-1,Holarrhena floribunda,Holarrhena floribunda,79302-1,Species,,"""['Conessine', 'Holamine', 'Holadienine', 'Holaline', 'Holaphyllidine', 'Holaromine', 'Holarrheline', 'Holarrhesine']""",:KNApSAcK
68,79311-1,Holarrhena mitis,Holarrhena mitis,79311-1,Species,,"""['Mitiphylline', 'N-Demethylmitiphylline']""",:KNApSAcK
69,79318-1,Holarrhena pubescens,Holarrhena pubescens,79318-1,Species,,"""['Conessine', 'Kurchessine', 'Isoconessimine']""",:KNApSAcK
70,79342-1,Hunteria congolana,Hunteria congolana,79342-1,Species,,"""['(-)-Eburnamine', '(+)-Eburnamenine', '(-)-Vincadifformine', '(+)-Isoeburnamine', '(-)-Umbellamine']""",:KNApSAcK
71,79368-1,Hunteria umbellata,Hunteria umbellata,79368-1,Species,,"""['(-)-Umbellamine']""",:KNApSAcK
72,79369-1,Hunteria zeylanica,Hunteria zeylanica,79369-1,Species,,"""['(-)-Kopsinine', '(-)-Eburnamine', '(+)-Eburnamenine', 'Perivine', '(-)-O-Methyleburnamine', '(+)-Isoeburnamine', 'Vobasine', 'Tuboxenine', '(-)-Norpleiomutine', 'Bisnicalaterine A']""",:KNApSAcK
73,79454-1,Kibatalia gitingensis,Kibatalia gitingensis,79454-1,Species,,"""['Gitingensine', 'Lanitine']""",:KNApSAcK
74,79490-1,Kopsia arborea,Kopsia arborea,79490-1,Species,,"""['Mersicarpine', 'Prunifoline D', 'Prunifoline F', '19(R)-Methoxytubotaiwine', '19(S)-Methoxytubotaiwine', 'Arboflorine', 'Arboloscine', 'Arbophylline', 'Arboricine', 'Arboricinine', 'Kopsamidine A', 'Kopsamidine B', 'Kopsinidine A', 'Kopsinidine B', 'Paucidactine C', 'Pericine N-oxide', 'Rhazinaline', 'Valparicine', 'Kopsiyunnanine C1', 'Kopsiyunnanine C2', 'Kopsiyunnanine C3', 'Kopsiyunnanine D']""",:KNApSAcK
75,79494-1,Kopsia dasyrachis,Kopsia dasyrachis,79494-1,Species,,"""['Tetrahydroalstonine', 'Leuconoxine', '(-)-Kopsinine', 'Pleiocarpamine', '(+)-Isoeburnamine', '(-)-Norpleiomutine', 'Rhazinaline', 'Kopsirachine', 'Kopsamine', 'Kopsidasine', 'Kopsidasine N-oxide', 'Kopsidasinine', 'Paucidactine B', 'Pleiocarpine', '(+)-Eburnamonine', 'Kopsilongine', '(-)-Demethylnorpleiomutine', '11,12-Methylenedioxykopsine', '11-Methoxykopsilongine N(4)-oxide', '12-Methoxypleiocarpine', 'Danuphylline', 'Dasyrachine', 'Decarbomethoxykopsifine', 'Kinabalurine G', 'Kopsifine', 'Kopsiflorine', 'Kopsiflorine N(4)-oxide', 'Kopsinarine', 'Kopsine']""",:KNApSAcK
76,929492-1,Kopsia deverrei,Kopsia deverrei,929492-1,Species,,"""['Kopsamine', '16-Epideacetylakuammiline']""",:KNApSAcK
77,79497-1,Kopsia fruticosa,Kopsia fruticosa,79497-1,Species,,"""['(-)-Kopsinine', 'Pleiocarpamine', 'Mersicarpine', 'Kopsamine', 'Kopsine', 'Fruticosine', 'Kopsifoline A', 'Kopsifoline B', 'Kopsifoline C', 'Kopsifoline D', 'Kopsifoline E', 'Kopsifoline F', 'Kopsorinine', 'Lonicerine']""",:KNApSAcK
78,79499-1,Kopsia griffithii,Kopsia griffithii,79499-1,Species,,"""['Tetrahydroalstonine', 'Leuconoxine', '(-)-Kopsinine', 'Kopsamine', 'Pleiocarpine', '(+)-Eburnamonine', 'Kopsilongine', '12-Methoxypleiocarpine', '16-Epideacetylakuammiline', '(+)-Harmicine', '12-Methoxy-10-demethoxy-kopsidasinine', '16-epi-Deacetylakuammiline N(4)-oxide', 'Akuammiline N(4)-oxide']""",:KNApSAcK
79,79500-1,Kopsia hainanensis,Kopsia hainanensis,79500-1,Species,,"""['(-)-Kopsinine', '(+)-Eburnamenine', 'Kopsinoline', '(+)-Kopsoffine']""",:KNApSAcK
80,79507-1,Kopsia lapidilecta,Kopsia lapidilecta,79507-1,Species,,"""['(-)-Venalstonine', '(-)-Lapidilectine A', '(+)-Lapidilectine B']""",:KNApSAcK
81,60436658-2,Kopsia larutensis,Kopsia larutensis,60436658-2,Species,,"""['(-)-Kopsinine']""",:KNApSAcK
82,79511-1,Kopsia macrophylla,Kopsia macrophylla,79511-1,Species,,"""['Akuammiline', 'Deacetylakuammiline', '(-)-Norpleiomutine', '(+)-Kopsoffine', 'Dregamine', 'Tabernaemontanine']""",:KNApSAcK
83,79516-1,Kopsia pauciflora,Kopsia pauciflora,79516-1,Species,,"""['(-)-Kopsinine', '(-)-Eburnamine', 'Kopsamine', 'Paucidactine B', '(+)-Eburnamonine', 'Kopsilongine', '12-Methoxy-10-demethoxy-kopsidasinine', '(-)-11,12-Dimethoxy-N-methoxycarbonyl-kopsinaline', 'Kopsamine N-oxide', 'Paucidactine A', 'Pauciflorine A', 'Pauciflorine B', '(+)-19-Oxoeburnamine', 'Kinabalurine A', 'Kinabalurine B', 'Kinabalurine C', 'Kinabalurine D', 'Kinabalurine E', 'Kinabalurine F']""",:KNApSAcK
84,79524-1,Kopsia singapurensis,Kopsia singapurensis,79524-1,Species,,"""['Mersicarpine', 'Rhazinaline', '11,12-(Methylenedioxy)kopsaporine', 'Kopsingine', 'Singapurensine A', 'Singapurensine B', 'Singapurensine C', 'Singapurensine D', '16-Epikopsinine', 'Aspidophylline A', 'Kopsilongine-N-oxide', 'Kopsiloscine A', 'Kopsiloscine B', 'Kopsiloscine C', 'Kopsiloscine D', 'Kopsiloscine E', 'Kopsiloscine H', 'Kopsiloscine I', 'Kopsiloscine J', 'Kopsimaline A', 'Kopsimaline B', 'Kopsimaline C', 'Kopsimaline D', 'Kopsimaline E', 'Kopsinicine', 'Vincophylline']""",:KNApSAcK
85,79526-1,Kopsia tenuis,Kopsia tenuis,79526-1,Species,,"""['Lundurine A', 'Lundurine B', 'Lundurine C', 'Tenuisine A', 'Tenuisine B', 'Tenuisine C']""",:KNApSAcK
86,972022-1,Kopsia teoi,Kopsia teoi,972022-1,Species,,"""['Akuammiline', 'Deacetylakuammiline', '11,12-(Methylenedioxy)kopsaporine', 'Kopsingine', 'Kopsaporine', 'Kopsidine A', 'Kopsidine B', 'Kopsidine C', 'Kopsinginine', 'Kopsinitarine A', 'Kopsinitarine B', 'Kopsinitarine C', 'Kopsinitarine D', 'Mersingine A', 'Mersingine B']""",:KNApSAcK
87,79773-1,Leuconotis griffithii,Leuconotis griffithii,79773-1,Species,,"""['(-)-Eburnamine', '(-)-O-Methyleburnamine', '(+)-O-methylisoeburnamine']""",:KNApSAcK
88,99275-1,Marsdenia rostrata,Marsdenia rostrata,99275-1,Species,,"""['Rostratamine']""",:KNApSAcK
89,80160-1,Melodinus aeneus,Melodinus aeneus,80160-1,Species,,"""['Lochnericine', '(-)-Hazuntine', '11-Methoxytabersonine', '(+)-14,15-Dehydro-16-epivincamine', '14,15-Dehydro-16-epi-vincine']""",:KNApSAcK
90,80169-1,Melodinus balansae,Melodinus balansae,80169-1,Species,,"""['(-)-Venalstonidine', '(-)-Venalstonine', '(+)-Ajmaline', 'Paucivenine']""",:KNApSAcK
91,80201-1,Melodinus fusiformis,Melodinus fusiformis,80201-1,Species,,"""['(-)-Kopsinine', '11-Methoxytabersonine', 'Vindoline', '(-)-Venalstonine', '11-Hydroxytabersonine', '(+)-Scandine', '10-Hydroxyscandine', '11,19R-Dihydroxytabersonine', '11-Hydroxy-14,15-epoxytabersonine', 'Scandine N-oxide']""",:KNApSAcK
92,80249-1,Melodinus reticulatus,Melodinus reticulatus,80249-1,Species,,"""['(-)-Kopsinine', '11-Methoxytabersonine', '(-)-Venalstonidine', '(-)-Venalstonine', '19beta-Hydroxyvenalstonidine', '19beta-Hydroxyvenalstonine', '3-Oxovenalstonidine']""",:KNApSAcK
93,80253-1,Melodinus scandens,Melodinus scandens,80253-1,Species,,"""['Lochnericine', '3-Oxotabersonine', '(+)-14,15-Dehydro-16-epivincamine', '(-)-Venalstonidine', '(-)-Venalstonine', '19R-Hydroxytabersonine', '(-)-Vincadifformine', '(+)-Scandine', '19S-Acetoxy-3-oxotabersonine', '19S-Acetoxytabersonine', 'Meloscandonine', 'Meloscine']""",:KNApSAcK
94,80259-1,Melodinus tenuicaudatus,Melodinus tenuicaudatus,80259-1,Species,,"""['(-)-Hazuntine', '11-Methoxytabersonine', 'Vindolinine', '11-Hydroxytabersonine', '19-Epivindolinine N-oxide', 'Vindolinine N-oxide', '(+)-Scandine', '10-Hydroxyscandine', '(+)-Tenuicausine']""",:KNApSAcK
95,80344-1,Microplumeria anomala,Microplumeria anomala,80344-1,Species,,"""['12-O-Methylanomaline', 'Demethoxyanomaline']""",:KNApSAcK
96,80487-1,Ochrosia acuminata,Ochrosia acuminata,80487-1,Species,,"""['(+)-Quebrachidine', 'Isoreserpiline', 'Ellipticine', 'Reserpiline', 'Polyneuridine-N-oxide', '9-Methoxyellipticine', 'Voachalotine']""",:KNApSAcK
97,80500-1,Ochrosia elliptica,Ochrosia elliptica,80500-1,Species,,"""['Norfluorocurarine', 'Tetrahydroalstonine', '(-)-Apparicine', 'Ellipticine', 'Pleiocarpamine']""",:KNApSAcK
98,80519-1,Ochrosia lifuana,Ochrosia lifuana,80519-1,Species,,"""['Ochrolifuanine A']""",:KNApSAcK
99,80524-1,Ochrosia miana,Ochrosia miana,80524-1,Species,,"""['Ochrolifuanine A']""",:KNApSAcK
100,80527-1,Ochrosia moorei,Ochrosia moorei,80527-1,Species,,"""['(-)-Apparicine', 'Ellipticine', '9-Methoxyellipticine', 'Desoxycordifoline', 'Ochrosamine A', 'Ochrosamine B']""",:KNApSAcK
101,80538-1,Ochrosia poweri,Ochrosia poweri,80538-1,Species,,"""['Reserpiline', 'Poweridine', 'Powerine']""",:KNApSAcK
102,80868-1,Parsonsia alboflavescens,Parsonsia alboflavescens,80868-1,Species,,"""['Homospermidine']""",:KNApSAcK
103,80910-1,Parsonsia eucalyptophylla,Parsonsia eucalyptophylla,80910-1,Species,,"""['Lycopsamine']""",:KNApSAcK
104,80926-1,Parsonsia heterophylla,Parsonsia heterophylla,80926-1,Species,,"""['Parsonsine']""",:KNApSAcK
105,50061-3,Parsonsia straminea,Parsonsia straminea,50061-3,Species,,"""['Lycopsamine']""",:KNApSAcK
106,81104-1,Petchia ceylanica,Petchia ceylanica,81104-1,Species,,"""['Lochnericine', '19R-Hydroxypachysiphine', 'Petchicine']""",:KNApSAcK
107,81143-1,Pleiocarpa mutica,Pleiocarpa mutica,81143-1,Species,,"""['(-)-Kopsinine', '(+)-Eburnamenine', 'Pleiocarpamine', 'Pleiocarpine', 'Kopsinoline', '(-)-Pleiomutine']""",:KNApSAcK
108,81144-1,Pleiocarpa pycnantha,Pleiocarpa pycnantha,81144-1,Species,,"""['(-)-Eburnamine']""",:KNApSAcK
109,81326-1,Prestonia amazonica,Prestonia amazonica,81326-1,Species,,"""['N,N-Dimethyltryptamine']""",:KNApSAcK
